sample_id	DNA_kit	kit_code	replicate	matrix_type	kit_source_label	qPCR_species_label	taxon	taxonomic_rank	qPCR_value	qPCR_total	qPCR_relative_abundance	expected_abundance	qPCR_bias	qPCR_relative_deviation_pct
1D	DNeasy	D	1	mock_only	DNeasy Kit	C.albicans	Candida_albicans	Species	0.0052992	0.013967735399999999	0.3793886301712159	0.1	0.27938863017121585	279.3886301712158
1D	DNeasy	D	1	mock_only	DNeasy Kit	C.neoformans	Cryptococcus_neoformans	Species	0.004395	0.013967735399999999	0.3146537269026445	0.1	0.21465372690264448	214.65372690264445
1D	DNeasy	D	1	mock_only	DNeasy Kit	S.cerevisiae	Saccharomyces_cerevisiae	Species	0.0003244	0.013967735399999999	0.023224953130197474	0.1	-0.07677504686980254	-76.77504686980254
1D	DNeasy	D	1	mock_only	DNeasy Kit	N.glabratus	Nakaseomyces_glabratus	Species	0.001004	0.013967735399999999	0.07187994125375542	0.1	-0.028120058746244583	-28.12005874624458
1D	DNeasy	D	1	mock_only	DNeasy Kit	C.dermatis	Cutaneotrichosporon_dermatis	Species	0.000631	0.013967735399999999	0.04517554076804749	0.1	-0.05482445923195252	-54.82445923195252
1D	DNeasy	D	1	mock_only	DNeasy Kit	P.chrysogenum	Penicillium_chrysogenum	Species	0.000725	0.013967735399999999	0.05190533606471383	0.1	-0.04809466393528618	-48.09466393528618
1D	DNeasy	D	1	mock_only	DNeasy Kit	F.keratoplasticum	Fusarium_keratoplasticum	Species	9.998e-06	0.013967735399999999	0.0007157924827241502	0.1	-0.09928420751727586	-99.28420751727586
1D	DNeasy	D	1	mock_only	DNeasy Kit	T.interdigitale	Trichophyton_interdigitale	Species	6.81938e-05	0.013967735399999999	0.004882237388317079	0.1	-0.09511776261168292	-95.11776261168292
1D	DNeasy	D	1	mock_only	DNeasy Kit	A.fumigatus	Aspergillus_fumigatus	Species	0.00148	0.013967735399999999	0.10595847913900203	0.1	0.005958479139002021	5.958479139002021
1D	DNeasy	D	1	mock_only	DNeasy Kit	M.globosa	Malassezia_globosa	Species	3.09436e-05	0.013967735399999999	0.002215362699382178	0.1	-0.09778463730061783	-97.78463730061783
2D	DNeasy	D	2	mock_only	DNeasy Kit	C.albicans	Candida_albicans	Species	0.0046777	0.012535072999999999	0.37316894763995395	0.1	0.2731689476399539	273.1689476399539
2D	DNeasy	D	2	mock_only	DNeasy Kit	C.neoformans	Cryptococcus_neoformans	Species	0.004044	0.012535072999999999	0.32261479450498615	0.1	0.22261479450498614	222.61479450498612
2D	DNeasy	D	2	mock_only	DNeasy Kit	S.cerevisiae	Saccharomyces_cerevisiae	Species	0.0003752	0.012535072999999999	0.02993201555347943	0.1	-0.07006798444652057	-70.06798444652057
2D	DNeasy	D	2	mock_only	DNeasy Kit	N.glabratus	Nakaseomyces_glabratus	Species	0.00071	0.012535072999999999	0.056641074208343266	0.1	-0.04335892579165674	-43.35892579165674
2D	DNeasy	D	2	mock_only	DNeasy Kit	C.dermatis	Cutaneotrichosporon_dermatis	Species	0.000485	0.012535072999999999	0.03869143801555843	0.1	-0.061308561984441574	-61.30856198444157
2D	DNeasy	D	2	mock_only	DNeasy Kit	P.chrysogenum	Penicillium_chrysogenum	Species	0.000963	0.012535072999999999	0.07682444290511911	0.1	-0.023175557094880894	-23.175557094880894
2D	DNeasy	D	2	mock_only	DNeasy Kit	F.keratoplasticum	Fusarium_keratoplasticum	Species	1.173e-05	0.012535072999999999	0.0009357743668505162	0.1	-0.09906422563314948	-99.06422563314948
2D	DNeasy	D	2	mock_only	DNeasy Kit	T.interdigitale	Trichophyton_interdigitale	Species	7.8879e-05	0.012535072999999999	0.006292663792225223	0.1	-0.09370733620777479	-93.70733620777479
2D	DNeasy	D	2	mock_only	DNeasy Kit	A.fumigatus	Aspergillus_fumigatus	Species	0.001178	0.012535072999999999	0.09397631748933573	0.1	-0.006023682510664277	-6.023682510664277
2D	DNeasy	D	2	mock_only	DNeasy Kit	M.globosa	Malassezia_globosa	Species	1.1564e-05	0.012535072999999999	0.0009225315241482838	0.1	-0.09907746847585172	-99.07746847585172
3D	DNeasy	D	3	mock_only	DNeasy Kit	C.albicans	Candida_albicans	Species	0.0045814	0.0137998524	0.33198905808586765	0.1	0.23198905808586764	231.98905808586764
3D	DNeasy	D	3	mock_only	DNeasy Kit	C.neoformans	Cryptococcus_neoformans	Species	0.004809	0.0137998524	0.34848198811169895	0.1	0.24848198811169894	248.48198811169894
3D	DNeasy	D	3	mock_only	DNeasy Kit	S.cerevisiae	Saccharomyces_cerevisiae	Species	0.000434	0.0137998524	0.03144961173642698	0.1	-0.06855038826357303	-68.55038826357303
3D	DNeasy	D	3	mock_only	DNeasy Kit	N.glabratus	Nakaseomyces_glabratus	Species	0.000862	0.0137998524	0.06246443621382501	0.1	-0.037535563786174994	-37.53556378617499
3D	DNeasy	D	3	mock_only	DNeasy Kit	C.dermatis	Cutaneotrichosporon_dermatis	Species	0.000557	0.0137998524	0.04036275054652034	0.1	-0.05963724945347967	-59.63724945347967
3D	DNeasy	D	3	mock_only	DNeasy Kit	P.chrysogenum	Penicillium_chrysogenum	Species	0.001137	0.0137998524	0.08239218558598496	0.1	-0.017607814414015044	-17.607814414015046
3D	DNeasy	D	3	mock_only	DNeasy Kit	F.keratoplasticum	Fusarium_keratoplasticum	Species	1.338e-05	0.0137998524	0.000969575587634546	0.1	-0.09903042441236545	-99.03042441236545
3D	DNeasy	D	3	mock_only	DNeasy Kit	T.interdigitale	Trichophyton_interdigitale	Species	8.51284e-05	0.0137998524	0.006168790616919932	0.1	-0.09383120938308007	-93.83120938308006
3D	DNeasy	D	3	mock_only	DNeasy Kit	A.fumigatus	Aspergillus_fumigatus	Species	0.001307	0.0137998524	0.09471115792513839	0.1	-0.005288842074861619	-5.288842074861619
3D	DNeasy	D	3	mock_only	DNeasy Kit	M.globosa	Malassezia_globosa	Species	1.3944e-05	0.0137998524	0.0010104455899832669	0.1	-0.09898955441001674	-98.98955441001674
4D	DNeasy	D	4	mock_only	DNeasy Kit	C.albicans	Candida_albicans	Species	0.0051187	0.0135715426	0.37716419944774743	0.1	0.2771641994477474	277.1641994477474
4D	DNeasy	D	4	mock_only	DNeasy Kit	C.neoformans	Cryptococcus_neoformans	Species	0.004216	0.0135715426	0.310650021464767	0.1	0.210650021464767	210.65002146476698
4D	DNeasy	D	4	mock_only	DNeasy Kit	S.cerevisiae	Saccharomyces_cerevisiae	Species	0.0002096	0.0135715426	0.015444080763523521	0.1	-0.08455591923647648	-84.55591923647648
4D	DNeasy	D	4	mock_only	DNeasy Kit	N.glabratus	Nakaseomyces_glabratus	Species	0.000977	0.0135715426	0.07198886882615688	0.1	-0.02801113117384313	-28.01113117384313
4D	DNeasy	D	4	mock_only	DNeasy Kit	C.dermatis	Cutaneotrichosporon_dermatis	Species	0.000695	0.0135715426	0.05121009604317198	0.1	-0.04878990395682802	-48.78990395682802
4D	DNeasy	D	4	mock_only	DNeasy Kit	P.chrysogenum	Penicillium_chrysogenum	Species	0.001047	0.0135715426	0.07714672022618858	0.1	-0.022853279773811422	-22.853279773811423
4D	DNeasy	D	4	mock_only	DNeasy Kit	F.keratoplasticum	Fusarium_keratoplasticum	Species	9.928e-06	0.0135715426	0.0007315306957073547	0.1	-0.09926846930429264	-99.26846930429264
4D	DNeasy	D	4	mock_only	DNeasy Kit	T.interdigitale	Trichophyton_interdigitale	Species	9.8467e-05	0.0135715426	0.007255402197241749	0.1	-0.09274459780275826	-92.74459780275825
4D	DNeasy	D	4	mock_only	DNeasy Kit	A.fumigatus	Aspergillus_fumigatus	Species	0.001186	0.0135715426	0.08738873943482298	0.1	-0.01261126056517703	-12.61126056517703
4D	DNeasy	D	4	mock_only	DNeasy Kit	M.globosa	Malassezia_globosa	Species	1.38476e-05	0.0135715426	0.0010203409006725587	0.1	-0.09897965909932745	-98.97965909932745
1Q	QIAamp	Q	1	mock_only	QIAStool Kit	C.albicans	Candida_albicans	Species	0.0031076	0.0067856585	0.4579658702246805	0.1	0.3579658702246805	357.9658702246805
1Q	QIAamp	Q	1	mock_only	QIAStool Kit	C.neoformans	Cryptococcus_neoformans	Species	0.000874	0.0067856585	0.12880105888028406	0.1	0.02880105888028406	28.80105888028406
1Q	QIAamp	Q	1	mock_only	QIAStool Kit	S.cerevisiae	Saccharomyces_cerevisiae	Species	0.0002709	0.0067856585	0.03992243346758462	0.1	-0.06007756653241539	-60.07756653241538
1Q	QIAamp	Q	1	mock_only	QIAStool Kit	N.glabratus	Nakaseomyces_glabratus	Species	0.000690534	0.0067856585	0.1017637418682358	0.1	0.001763741868235788	1.7637418682357882
1Q	QIAamp	Q	1	mock_only	QIAStool Kit	C.dermatis	Cutaneotrichosporon_dermatis	Species	0.000492	0.0067856585	0.0725058592323796	0.1	-0.027494140767620412	-27.49414076762041
1Q	QIAamp	Q	1	mock_only	QIAStool Kit	P.chrysogenum	Penicillium_chrysogenum	Species	0.000605326	0.0067856585	0.08920667021483619	0.1	-0.010793329785163813	-10.793329785163813
1Q	QIAamp	Q	1	mock_only	QIAStool Kit	F.keratoplasticum	Fusarium_keratoplasticum	Species	8.584e-06	0.0067856585	0.0012650209261194031	0.1	-0.0987349790738806	-98.7349790738806
1Q	QIAamp	Q	1	mock_only	QIAStool Kit	T.interdigitale	Trichophyton_interdigitale	Species	5.97791e-05	0.0067856585	0.008809624003329965	0.1	-0.09119037599667004	-91.19037599667004
1Q	QIAamp	Q	1	mock_only	QIAStool Kit	A.fumigatus	Aspergillus_fumigatus	Species	0.000644	0.0067856585	0.09490604338547247	0.1	-0.005093956614527537	-5.093956614527537
1Q	QIAamp	Q	1	mock_only	QIAStool Kit	M.globosa	Malassezia_globosa	Species	3.29354e-05	0.0067856585	0.004853677797077469	0.1	-0.09514632220292253	-95.14632220292253
2Q	QIAamp	Q	2	mock_only	QIAStool Kit	C.albicans	Candida_albicans	Species	0.0028202	0.0063382791	0.44494727283309443	0.1	0.34494727283309445	344.9472728330945
2Q	QIAamp	Q	2	mock_only	QIAStool Kit	C.neoformans	Cryptococcus_neoformans	Species	0.00085	0.0063382791	0.13410580168361472	0.1	0.03410580168361471	34.105801683614715
2Q	QIAamp	Q	2	mock_only	QIAStool Kit	S.cerevisiae	Saccharomyces_cerevisiae	Species	0.0001726	0.0063382791	0.02723136631834341	0.1	-0.07276863368165659	-72.7686336816566
2Q	QIAamp	Q	2	mock_only	QIAStool Kit	N.glabratus	Nakaseomyces_glabratus	Species	0.000793215	0.0063382791	0.1251467452734923	0.1	0.025146745273492283	25.146745273492282
2Q	QIAamp	Q	2	mock_only	QIAStool Kit	C.dermatis	Cutaneotrichosporon_dermatis	Species	0.000437	0.0063382791	0.06894615921851721	0.1	-0.031053840781482794	-31.053840781482794
2Q	QIAamp	Q	2	mock_only	QIAStool Kit	P.chrysogenum	Penicillium_chrysogenum	Species	0.000705044	0.0063382791	0.11123587157908525	0.1	0.011235871579085246	11.235871579085247
2Q	QIAamp	Q	2	mock_only	QIAStool Kit	F.keratoplasticum	Fusarium_keratoplasticum	Species	9.657e-06	0.0063382791	0.0015235996786572557	0.1	-0.09847640032134275	-98.47640032134275
2Q	QIAamp	Q	2	mock_only	QIAStool Kit	T.interdigitale	Trichophyton_interdigitale	Species	6.31876e-05	0.0063382791	0.00996920441701597	0.1	-0.09003079558298403	-90.03079558298403
2Q	QIAamp	Q	2	mock_only	QIAStool Kit	A.fumigatus	Aspergillus_fumigatus	Species	0.000456	0.0063382791	0.07194381831497448	0.1	-0.028056181685025522	-28.05618168502552
2Q	QIAamp	Q	2	mock_only	QIAStool Kit	M.globosa	Malassezia_globosa	Species	3.13755e-05	0.0063382791	0.004950160683205004	0.1	-0.095049839316795	-95.049839316795
3Q	QIAamp	Q	3	mock_only	QIAStool Kit	C.albicans	Candida_albicans	Species	0.0029604	0.007212329	0.4104638044104755	0.1	0.3104638044104755	310.4638044104755
3Q	QIAamp	Q	3	mock_only	QIAStool Kit	C.neoformans	Cryptococcus_neoformans	Species	0.000943	0.007212329	0.13074833385997783	0.1	0.030748333859977828	30.748333859977826
3Q	QIAamp	Q	3	mock_only	QIAStool Kit	S.cerevisiae	Saccharomyces_cerevisiae	Species	0.0002391	0.007212329	0.033151565881146025	0.1	-0.06684843411885398	-66.84843411885397
3Q	QIAamp	Q	3	mock_only	QIAStool Kit	N.glabratus	Nakaseomyces_glabratus	Species	0.00086801	0.007212329	0.12035086031155817	0.1	0.020350860311558167	20.350860311558165
3Q	QIAamp	Q	3	mock_only	QIAStool Kit	C.dermatis	Cutaneotrichosporon_dermatis	Species	0.000772	0.007212329	0.10703893291612182	0.1	0.007038932916121815	7.038932916121815
3Q	QIAamp	Q	3	mock_only	QIAStool Kit	P.chrysogenum	Penicillium_chrysogenum	Species	0.000724865	0.007212329	0.10050359599513554	0.1	0.000503595995135539	0.503595995135539
3Q	QIAamp	Q	3	mock_only	QIAStool Kit	F.keratoplasticum	Fusarium_keratoplasticum	Species	1.021e-05	0.007212329	0.0014156314832559636	0.1	-0.09858436851674404	-98.58436851674404
3Q	QIAamp	Q	3	mock_only	QIAStool Kit	T.interdigitale	Trichophyton_interdigitale	Species	8.81304e-05	0.007212329	0.012219409292060859	0.1	-0.08778059070793914	-87.78059070793914
3Q	QIAamp	Q	3	mock_only	QIAStool Kit	A.fumigatus	Aspergillus_fumigatus	Species	0.000546	0.007212329	0.0757037012593297	0.1	-0.02429629874067031	-24.29629874067031
3Q	QIAamp	Q	3	mock_only	QIAStool Kit	M.globosa	Malassezia_globosa	Species	6.06136e-05	0.007212329	0.008404164590938654	0.1	-0.09159583540906135	-91.59583540906135
4Q	QIAamp	Q	4	mock_only	QIAStool Kit	C.albicans	Candida_albicans	Species	0.0043644	0.0069713285	0.6260499702459869	0.1	0.5260499702459869	526.0499702459869
4Q	QIAamp	Q	4	mock_only	QIAStool Kit	C.neoformans	Cryptococcus_neoformans	Species	0.001091	0.0069713285	0.15649814809329382	0.1	0.056498148093293815	56.49814809329381
4Q	QIAamp	Q	4	mock_only	QIAStool Kit	S.cerevisiae	Saccharomyces_cerevisiae	Species	8.998e-05	0.0069713285	0.012907152488940952	0.1	-0.08709284751105906	-87.09284751105906
4Q	QIAamp	Q	4	mock_only	QIAStool Kit	N.glabratus	Nakaseomyces_glabratus	Species	0.000342882	0.0069713285	0.0491845994633591	0.1	-0.05081540053664091	-50.81540053664091
4Q	QIAamp	Q	4	mock_only	QIAStool Kit	C.dermatis	Cutaneotrichosporon_dermatis	Species	0.000152	0.0069713285	0.021803591668359913	0.1	-0.0781964083316401	-78.1964083316401
4Q	QIAamp	Q	4	mock_only	QIAStool Kit	P.chrysogenum	Penicillium_chrysogenum	Species	0.000205297	0.0069713285	0.029448762886442662	0.1	-0.07055123711355735	-70.55123711355733
4Q	QIAamp	Q	4	mock_only	QIAStool Kit	F.keratoplasticum	Fusarium_keratoplasticum	Species	1.464e-05	0.0069713285	0.002100030144899928	0.1	-0.09789996985510008	-97.89996985510008
4Q	QIAamp	Q	4	mock_only	QIAStool Kit	T.interdigitale	Trichophyton_interdigitale	Species	2.58406e-05	0.0069713285	0.003706696650430402	0.1	-0.0962933033495696	-96.2933033495696
4Q	QIAamp	Q	4	mock_only	QIAStool Kit	A.fumigatus	Aspergillus_fumigatus	Species	0.000662	0.0069713285	0.09496037950298857	0.1	-0.0050396204970114405	-5.03962049701144
4Q	QIAamp	Q	4	mock_only	QIAStool Kit	M.globosa	Malassezia_globosa	Species	2.32889e-05	0.0069713285	0.00334066885529781	0.1	-0.0966593311447022	-96.6593311447022
1Z	Zymo	Z	1	mock_only	ZymoB Kit	C.albicans	Candida_albicans	Species	0.0035945	0.020262112999999998	0.1774000569437156	0.1	0.0774000569437156	77.4000569437156
1Z	Zymo	Z	1	mock_only	ZymoB Kit	C.neoformans	Cryptococcus_neoformans	Species	0.00471	0.020262112999999998	0.23245354519540978	0.1	0.13245354519540978	132.45354519540976
