Module	Section	Sample Name	Source
FastQC	all_sections	ST3Z_2	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST3Z_2_fastqc.zip
FastQC	all_sections	ST2Q_2	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST2Q_2_fastqc.zip
FastQC	all_sections	ST1D_1	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST1D_1_fastqc.zip
FastQC	all_sections	ST1Z_2	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST1Z_2_fastqc.zip
FastQC	all_sections	ST2D_1	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST2D_1_fastqc.zip
FastQC	all_sections	ST2Z_2	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST2Z_2_fastqc.zip
FastQC	all_sections	ST2Z_1	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST2Z_1_fastqc.zip
FastQC	all_sections	ST2D_2	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST2D_2_fastqc.zip
FastQC	all_sections	ST1Q_1	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST1Q_1_fastqc.zip
FastQC	all_sections	ST2Q_1	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST2Q_1_fastqc.zip
FastQC	all_sections	ST1Z_1	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST1Z_1_fastqc.zip
FastQC	all_sections	ST3Q_1	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST3Q_1_fastqc.zip
FastQC	all_sections	ST4D_1	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST4D_1_fastqc.zip
FastQC	all_sections	ST3D_2	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST3D_2_fastqc.zip
FastQC	all_sections	3D_2	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/3D_2_fastqc.zip
FastQC	all_sections	ST3D_1	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST3D_1_fastqc.zip
FastQC	all_sections	ST1Q_2	/home/ksy/projects/ITSdetector/work/5f/dc2ca064d0e9224604abf5390b49f6/ST1Q_2_fastqc.zip
