sample_id	profile	cutadapt_version	adapter_trim	poly_g_trim	quality_trim	quality_cutoff	apply_min_length	min_length	input_pairs	output_pairs	retained_percent	too_short_pairs	input_bp	output_bp	bp_retained_percent	input_r1_bp	input_r2_bp	output_r1_bp	output_r2_bp	quality_trimmed_bp	quality_trimmed_r1_bp	quality_trimmed_r2_bp	r1_with_any_adapter	r2_with_any_adapter	nextera_r1_matches	nextera_r2_matches	polyg_r1_matches	polyg_r2_matches
1D	fig4_q20_SE_cutadapt_unite	5.2	true	true	true	20	true	50	98748	95848	97.0632	2900	59446296	57656729	96.9896	29723148	29723148	28838875	28817854	34411	8646	25765	2541	5633	2049	4723	492	910
1Q	fig4_q20_SE_cutadapt_unite	5.2	true	true	true	20	true	50	154087	151181	98.1141	2906	92760374	90946811	98.0449	46380187	46380187	45486873	45459938	48198	13710	34488	2354	6724	1546	5268	808	1456
1Z	fig4_q20_SE_cutadapt_unite	5.2	true	true	true	20	true	50	101730	100218	98.5137	1512	61241460	60288168	98.4434	30620730	30620730	30152948	30135220	33290	8833	24457	1095	4108	577	3128	518	980
2D	fig4_q20_SE_cutadapt_unite	5.2	true	true	true	20	true	50	119653	114974	96.0895	4679	72031106	69164790	96.0207	36015553	36015553	34592398	34572392	39738	10825	28913	4001	7361	3462	6055	539	1306
2Q	fig4_q20_SE_cutadapt_unite	5.2	true	true	true	20	true	50	144392	138296	95.7782	6096	86923984	83194542	95.7095	43461992	43461992	41607056	41587486	42844	13757	29087	5731	9874	5005	8683	726	1191
2Z	fig4_q20_SE_cutadapt_unite	5.2	true	true	true	20	true	50	114077	112319	98.4589	1758	68674354	67569466	98.3911	34337177	34337177	33794458	33775008	34549	9652	24897	1352	4935	773	3893	579	1042
3D	fig4_q20_SE_cutadapt_unite	5.2	true	true	true	20	true	50	140687	136684	97.1547	4003	84693574	82223937	97.084	42346787	42346787	41123210	41100727	44811	14464	30347	3339	7782	2723	6412	616	1370
3Q	fig4_q20_SE_cutadapt_unite	5.2	true	true	true	20	true	50	127074	122852	96.6775	4222	76498548	73901972	96.6057	38249274	38249274	36964165	36937807	44525	9758	34767	3759	7519	3090	6305	669	1214
3Z	fig4_q20_SE_cutadapt_unite	5.2	true	true	true	20	true	50	131525	129475	98.4414	2050	79178050	77884814	98.3667	39589025	39589025	38953437	38931377	45486	13214	32272	1260	5112	598	3588	662	1524
4D	fig4_q20_SE_cutadapt_unite	5.2	true	true	true	20	true	50	144009	135980	94.4247	8029	86693418	81796360	94.3513	43346709	43346709	40908680	40887680	46129	14622	31507	7353	11427	6634	9895	719	1532
4Q	fig4_q20_SE_cutadapt_unite	5.2	true	true	true	20	true	50	112182	101544	90.5172	10638	67533564	61079610	90.4433	33766782	33766782	30549402	30530208	37839	11357	26482	10138	13616	9576	12414	562	1202
4Z	fig4_q20_SE_cutadapt_unite	5.2	true	true	true	20	true	50	123457	121353	98.2958	2104	74321114	72991130	98.2105	37160557	37160557	36509375	36481755	53729	14642	39087	1651	4694	1104	3616	547	1078
PBSD	fig4_q20_SE_cutadapt_unite	5.2	true	true	true	20	true	50	17324	12990	74.9827	4334	10429048	7299020	69.9874	5214524	5214524	3607901	3691119	5290	1189	4101	17247	16602	17205	16420	42	182
