Sample	Unique Reads	Duplicate Reads
1D_1	1288.0	97460.0
1D_2	1246.0	97502.0
1Q_1	1425.0	152662.0
1Q_2	1535.0	152552.0
1Z_1	1069.0	100661.0
1Z_2	1121.0	100609.0
2D_1	1468.0	118185.0
2D_2	1424.0	118229.0
2Q_1	1615.0	142777.0
2Q_2	1574.0	142818.0
2Z_1	1183.0	112894.0
2Z_2	1224.0	112853.0
3D_1	1554.0	139133.0
3D_2	1544.0	139143.0
3Q_1	1447.0	125627.0
3Q_2	1460.0	125614.0
3Z_1	1204.0	130321.0
3Z_2	1312.0	130213.0
4D_1	1824.0	142185.0
4D_2	1690.0	142319.0
4Q_1	1755.0	110427.0
4Q_2	1593.0	110589.0
4Z_1	1245.0	122212.0
4Z_2	1306.0	122151.0
PBSD_1	523.0	16801.0
PBSD_2	463.0	16861.0
PBSQ_1	436.0	4236.0
PBSQ_2	283.0	4389.0
PBSZ_1	904.0	62019.0
PBSZ_2	849.0	62074.0
ST1D_1	1636.0	137650.0
ST1D_2	1528.0	137758.0
ST1Q_1	1533.0	138038.0
ST1Q_2	1440.0	138131.0
ST1Z_1	1413.0	134447.0
ST1Z_2	1464.0	134396.0
ST2D_1	1589.0	139809.0
ST2D_2	1503.0	139895.0
ST2Q_1	1559.0	123689.0
ST2Q_2	1395.0	123853.0
ST2Z_1	1342.0	124783.0
ST2Z_2	1245.0	124880.0
ST3D_1	1696.0	147425.0
ST3D_2	1462.0	147659.0
ST3Q_1	1585.0	132328.0
ST3Q_2	1453.0	132460.0
ST3Z_1	1445.0	152294.0
ST3Z_2	1394.0	152345.0
ST4D_1	1595.0	151035.0
ST4D_2	1506.0	151124.0
ST4Q_1	1683.0	159072.0
ST4Q_2	1549.0	159206.0
ST4Z_1	1501.0	166182.0
ST4Z_2	1521.0	166162.0
STD_1	1973.0	137116.0
STD_2	1958.0	137131.0
STQ_1	2220.0	144385.0
STQ_2	2188.0	144417.0
STZ_1	1643.0	109952.0
STZ_2	1750.0	109845.0
