Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
1D_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000810142990237777)	(15, 0.26167618584680197)	(20, 1.4031676590918298)	(25, 1.554259326771175)	(30, 1.5651962571393851)	(35, 1.8517843399359986)	(40, 1.9672297160448817)	(45, 1.968647466277798)	(50, 1.9696601450155953)	(55, 1.9696601450155953)	(60, 1.9696601450155953)	(65, 1.9696601450155953)	(70, 1.9696601450155953)	(75, 1.9696601450155953)	(80, 1.9696601450155953)	(85, 1.9696601450155953)	(90, 1.9696601450155953)	(95, 1.9696601450155953)	(100, 1.9696601450155953)	(105, 1.9696601450155953)	(110, 1.9696601450155953)	(115, 1.9696601450155953)	(120, 1.9696601450155953)	(125, 1.9696601450155953)	(130, 1.9696601450155953)	(135, 1.9696601450155953)	(140, 1.9696601450155953)	(145, 1.9696601450155953)	(150, 1.9696601450155953)	(155, 1.9696601450155953)	(160, 1.9696601450155953)	(165, 1.9696601450155953)	(170, 1.9696601450155953)	(175, 1.9696601450155953)	(180, 1.9696601450155953)	(185, 1.9696601450155953)	(190, 1.9696601450155953)	(195, 1.9696601450155953)	(200, 1.9696601450155953)	(205, 1.9696601450155953)	(210, 1.9696601450155953)	(215, 1.9696601450155953)	(220, 1.9696601450155953)	(225, 1.9696601450155953)	(230, 1.9696601450155953)	(235, 1.9696601450155953)	(240, 1.9696601450155953)	(245, 1.9696601450155953)	(250, 1.9696601450155953)	(255, 1.9696601450155953)	(260, 1.9696601450155953)	(265, 1.9696601450155953)	(270, 1.9696601450155953)	(275, 1.9696601450155953)	(280, 1.9696601450155953)	(285, 1.9696601450155953)	(290, 1.9696601450155953)
1D_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0010126787377972212)	(4, 0.0010126787377972212)	(5, 0.0010126787377972212)	(6, 0.0010126787377972212)	(7, 0.0010126787377972212)	(8, 0.0010126787377972212)	(9, 0.0010126787377972212)	(10, 0.0010126787377972212)	(15, 0.0010126787377972212)	(20, 0.0010126787377972212)	(25, 0.0010126787377972212)	(30, 0.0010126787377972212)	(35, 0.0010126787377972212)	(40, 0.0010126787377972212)	(45, 0.0010126787377972212)	(50, 0.0010126787377972212)	(55, 0.0010126787377972212)	(60, 0.007291286912139994)	(65, 0.00810142990237777)	(70, 0.00810142990237777)	(75, 0.00951918013529388)	(80, 0.01255721634868554)	(85, 0.02005103900838498)	(90, 0.5401628387410378)	(95, 1.527322072345769)	(100, 1.646818163405841)	(105, 1.6622108802203588)	(110, 2.018268724429862)	(115, 2.0709280187953176)	(120, 2.072143233280674)	(125, 2.072953376270912)	(130, 2.072953376270912)	(135, 2.072953376270912)	(140, 2.072953376270912)	(145, 2.072953376270912)	(150, 2.072953376270912)	(155, 2.072953376270912)	(160, 2.072953376270912)	(165, 2.072953376270912)	(170, 2.072953376270912)	(175, 2.072953376270912)	(180, 2.072953376270912)	(185, 2.072953376270912)	(190, 2.072953376270912)	(195, 2.072953376270912)	(200, 2.072953376270912)	(205, 2.072953376270912)	(210, 2.072953376270912)	(215, 2.072953376270912)	(220, 2.072953376270912)	(225, 2.072953376270912)	(230, 2.072953376270912)	(235, 2.072953376270912)	(240, 2.072953376270912)	(245, 2.072953376270912)	(250, 2.072953376270912)	(255, 2.072953376270912)	(260, 2.072953376270912)	(265, 2.072953376270912)	(270, 2.072953376270912)	(275, 2.072953376270912)	(280, 2.072953376270912)	(285, 2.072953376270912)	(290, 2.072953376270912)
1D_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000810142990237777)	(15, 0.2637015433223964)	(20, 1.411471624741767)	(25, 1.558310041722364)	(30, 1.5700571150808118)	(35, 1.8558350548871876)	(40, 1.972293109733868)	(45, 1.973710859966784)	(50, 1.9747235387045812)	(55, 1.9747235387045812)	(60, 1.9747235387045812)	(65, 1.9747235387045812)	(70, 1.9747235387045812)	(75, 1.9747235387045812)	(80, 1.9747235387045812)	(85, 1.9747235387045812)	(90, 1.9747235387045812)	(95, 1.9747235387045812)	(100, 1.9747235387045812)	(105, 1.9747235387045812)	(110, 1.9747235387045812)	(115, 1.9747235387045812)	(120, 1.9747235387045812)	(125, 1.9747235387045812)	(130, 1.9747235387045812)	(135, 1.9747235387045812)	(140, 1.9747235387045812)	(145, 1.9747235387045812)	(150, 1.9747235387045812)	(155, 1.9747235387045812)	(160, 1.9747235387045812)	(165, 1.9747235387045812)	(170, 1.9747235387045812)	(175, 1.9747235387045812)	(180, 1.9747235387045812)	(185, 1.9747235387045812)	(190, 1.9747235387045812)	(195, 1.9747235387045812)	(200, 1.9747235387045812)	(205, 1.9747235387045812)	(210, 1.9747235387045812)	(215, 1.9749260744521409)	(220, 1.9757362174423787)	(225, 1.9757362174423787)	(230, 1.9757362174423787)	(235, 1.9767488961801756)	(240, 1.9767488961801756)	(245, 1.9767488961801756)	(250, 1.9767488961801756)	(255, 1.9767488961801756)	(260, 1.9767488961801756)	(265, 1.9767488961801756)	(270, 1.9767488961801756)	(275, 1.9767488961801756)	(280, 1.9767488961801756)	(285, 1.9767488961801756)	(290, 1.9767488961801758)
1D_2 - polyg	(1, 0.8020415603353992)	(2, 0.8020415603353992)	(3, 0.8040669178109936)	(4, 0.8040669178109936)	(5, 0.8040669178109936)	(6, 0.8071049540243853)	(7, 0.8071049540243853)	(8, 0.8071049540243853)	(9, 0.8071049540243853)	(10, 0.8075100255195041)	(15, 0.8081176327621826)	(20, 0.8081176327621826)	(25, 0.8117632762182524)	(30, 0.8338396727022319)	(35, 0.8344472799449104)	(40, 0.8344472799449104)	(45, 0.8344472799449104)	(50, 0.8344472799449104)	(55, 0.8344472799449104)	(60, 0.8346498156924698)	(65, 0.8354599586827074)	(70, 0.8354599586827074)	(75, 0.841130959614372)	(80, 0.8474095677887148)	(85, 0.8478146392838337)	(90, 0.8494349252643092)	(95, 1.66909709563738)	(100, 2.395795357880666)	(105, 2.464252440555758)	(110, 2.5440515250941793)	(115, 2.85717179082108)	(120, 2.885526795479402)	(125, 2.8865394742171993)	(130, 2.8871470814598776)	(135, 2.8871470814598776)	(140, 2.8871470814598776)	(145, 2.8871470814598776)	(150, 2.8871470814598776)	(155, 2.8871470814598776)	(160, 2.8871470814598776)	(165, 2.8871470814598776)	(170, 2.8871470814598776)	(175, 2.8871470814598776)	(180, 2.8871470814598776)	(185, 2.8871470814598776)	(190, 2.8871470814598776)	(195, 2.8871470814598776)	(200, 2.8871470814598776)	(205, 2.8871470814598776)	(210, 2.8871470814598776)	(215, 2.8871470814598776)	(220, 2.8871470814598776)	(225, 2.8871470814598776)	(230, 2.8871470814598776)	(235, 2.8871470814598776)	(240, 2.8871470814598776)	(245, 2.8871470814598776)	(250, 2.8871470814598776)	(255, 2.8871470814598776)	(260, 2.8871470814598776)	(265, 2.8871470814598776)	(270, 2.8871470814598776)	(275, 2.8871470814598776)	(280, 2.8871470814598776)	(285, 2.8871470814598776)	(290, 2.8871470814598776)
1Q_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005191872124189581)	(15, 0.12759025745195895)	(20, 0.7116758714232869)	(25, 0.8144749394822405)	(30, 0.8183688435753828)	(35, 0.8918338341326653)	(40, 0.936354137597591)	(45, 0.9381712928410574)	(50, 0.9384308864472668)	(55, 0.9384308864472668)	(60, 0.9384308864472668)	(65, 0.9384308864472668)	(70, 0.9384308864472668)	(75, 0.9384308864472668)	(80, 0.9384308864472668)	(85, 0.9384308864472668)	(90, 0.9384308864472668)	(95, 0.9384308864472668)	(100, 0.9384308864472668)	(105, 0.9384308864472668)	(110, 0.9384308864472668)	(115, 0.9384308864472668)	(120, 0.9384308864472668)	(125, 0.9399884480845235)	(130, 0.9403778384938379)	(135, 0.9403778384938379)	(140, 0.9403778384938379)	(145, 0.9403778384938379)	(150, 0.9403778384938379)	(155, 0.9403778384938379)	(160, 0.9403778384938379)	(165, 0.9403778384938379)	(170, 0.9403778384938379)	(175, 0.9403778384938379)	(180, 0.9403778384938379)	(185, 0.9406374321000476)	(190, 0.9410268225093616)	(195, 0.9410268225093616)	(200, 0.9410268225093616)	(205, 0.9416758065248854)	(210, 0.9416758065248854)	(215, 0.9416758065248854)	(220, 0.9416758065248854)	(225, 0.9416758065248854)	(230, 0.9416758065248854)	(235, 0.9416758065248854)	(240, 0.9416758065248854)	(245, 0.9416758065248854)	(250, 0.9416758065248854)	(255, 0.9416758065248854)	(260, 0.9416758065248854)	(265, 0.9416758065248854)	(270, 0.9416758065248854)	(275, 0.9420651969341994)	(280, 0.9427141809497233)	(285, 0.9429737745559328)	(290, 0.9429737745559327)
1Q_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0006489840155236977)	(4, 0.0006489840155236977)	(5, 0.0006489840155236977)	(6, 0.0006489840155236977)	(7, 0.0006489840155236977)	(8, 0.0006489840155236977)	(9, 0.0006489840155236977)	(10, 0.0006489840155236977)	(15, 0.0006489840155236977)	(20, 0.0006489840155236977)	(25, 0.0006489840155236977)	(30, 0.0006489840155236977)	(35, 0.0006489840155236977)	(40, 0.0006489840155236977)	(45, 0.0006489840155236977)	(50, 0.0006489840155236977)	(55, 0.0009085776217331767)	(60, 0.0036343104869327064)	(65, 0.003893904093142186)	(70, 0.003893904093142186)	(75, 0.004283294502456405)	(80, 0.005451465730399061)	(85, 0.009345369823541245)	(90, 0.26777080480507764)	(95, 0.7846216747681505)	(100, 0.8634083342527272)	(105, 0.868081019164498)	(110, 0.9625730918247484)	(115, 0.9893112332643247)	(120, 0.9902198108860578)	(125, 0.9903496076891626)	(130, 0.9903496076891626)	(135, 0.9903496076891626)	(140, 0.9903496076891626)	(145, 0.9903496076891626)	(150, 0.9903496076891626)	(155, 0.9903496076891626)	(160, 0.9903496076891626)	(165, 0.9903496076891626)	(170, 0.9903496076891626)	(175, 0.9903496076891626)	(180, 0.9903496076891626)	(185, 0.9903496076891626)	(190, 0.9903496076891626)	(195, 0.9906092012953721)	(200, 0.9928157469481527)	(205, 0.9929455437512574)	(210, 0.9929455437512574)	(215, 0.9929455437512574)	(220, 0.9929455437512574)	(225, 0.9929455437512574)	(230, 0.9929455437512574)	(235, 0.9929455437512574)	(240, 0.9929455437512574)	(245, 0.9929455437512574)	(250, 0.9929455437512574)	(255, 0.9929455437512574)	(260, 0.9933349341605716)	(265, 0.993594527766781)	(270, 0.993594527766781)	(275, 0.9937243245698859)	(280, 0.9942435117823049)	(285, 0.9942435117823049)	(290, 0.9942435117823049)
1Q_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005191872124189581)	(15, 0.1281094446643779)	(20, 0.7153101819102196)	(25, 0.8183688435753828)	(30, 0.8222627476685249)	(35, 0.8955979414227027)	(40, 0.9402480416907333)	(45, 0.9420651969341994)	(50, 0.942324790540409)	(55, 0.942324790540409)	(60, 0.942324790540409)	(65, 0.942324790540409)	(70, 0.942324790540409)	(75, 0.942324790540409)	(80, 0.942324790540409)	(85, 0.942324790540409)	(90, 0.942324790540409)	(95, 0.942324790540409)	(100, 0.942324790540409)	(105, 0.942324790540409)	(110, 0.942324790540409)	(115, 0.942324790540409)	(120, 0.942324790540409)	(125, 0.9438823521776658)	(130, 0.9442717425869802)	(135, 0.9442717425869802)	(140, 0.9442717425869802)	(145, 0.9442717425869802)	(150, 0.9442717425869802)	(155, 0.9442717425869802)	(160, 0.9442717425869802)	(165, 0.9442717425869802)	(170, 0.9442717425869802)	(175, 0.9442717425869802)	(180, 0.9442717425869802)	(185, 0.9445313361931896)	(190, 0.9449207266025038)	(195, 0.9449207266025038)	(200, 0.9449207266025038)	(205, 0.9455697106180276)	(210, 0.9455697106180276)	(215, 0.9455697106180276)	(220, 0.9455697106180276)	(225, 0.9455697106180276)	(230, 0.9455697106180276)	(235, 0.9455697106180276)	(240, 0.9455697106180276)	(245, 0.9455697106180276)	(250, 0.9455697106180276)	(255, 0.9455697106180276)	(260, 0.9455697106180276)	(265, 0.9455697106180276)	(270, 0.9455697106180276)	(275, 0.9459591010273417)	(280, 0.9466080850428653)	(285, 0.9468676786490748)	(290, 0.9468676786490748)
1Q_2 - polyg	(1, 0.8294015718392856)	(2, 0.8300505558548092)	(3, 0.8313485238858567)	(4, 0.8319975079013804)	(5, 0.8319975079013804)	(6, 0.8319975079013804)	(7, 0.8319975079013804)	(8, 0.8319975079013804)	(9, 0.8319975079013804)	(10, 0.8322571015075898)	(15, 0.8330358823262184)	(20, 0.8340742567510564)	(25, 0.83472324076658)	(30, 0.8458857658335874)	(35, 0.8462751562429018)	(40, 0.8462751562429018)	(45, 0.8469241402584254)	(50, 0.8469241402584254)	(55, 0.8469241402584254)	(60, 0.8469241402584254)	(65, 0.8469241402584254)	(70, 0.8469241402584254)	(75, 0.8482221082894729)	(80, 0.8504286539422534)	(85, 0.8513372315639867)	(90, 0.8528947932012434)	(95, 1.2542265084010982)	(100, 1.659711721300304)	(105, 1.70176588550624)	(110, 1.7213652027750554)	(115, 1.8087184512645453)	(120, 1.8255920356681614)	(125, 1.826890003699209)	(130, 1.826890003699209)	(135, 1.826890003699209)	(140, 1.826890003699209)	(145, 1.826890003699209)	(150, 1.826890003699209)	(155, 1.826890003699209)	(160, 1.826890003699209)	(165, 1.826890003699209)	(170, 1.826890003699209)	(175, 1.826890003699209)	(180, 1.8270198005023137)	(185, 1.8275389877147326)	(190, 1.8275389877147326)	(195, 1.8275389877147326)	(200, 1.827928378124047)	(205, 1.829485939761304)	(210, 1.829485939761304)	(215, 1.829485939761304)	(220, 1.829485939761304)	(225, 1.829485939761304)	(230, 1.829485939761304)	(235, 1.829485939761304)	(240, 1.829485939761304)	(245, 1.829485939761304)	(250, 1.829485939761304)	(255, 1.829485939761304)	(260, 1.829485939761304)	(265, 1.8300051269737228)	(270, 1.8301349237768274)	(275, 1.8301349237768274)	(280, 1.8303945173830367)	(285, 1.8307839077923511)	(290, 1.8307839077923511)
1Z_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.07234837314459845)	(20, 0.3914282905730856)	(25, 0.436252826108326)	(30, 0.4386120121891281)	(35, 0.4891379140863069)	(40, 0.509190995773125)	(45, 0.509190995773125)	(50, 0.5095841934532587)	(55, 0.5101739899734592)	(60, 0.5101739899734592)	(65, 0.5101739899734592)	(70, 0.5101739899734592)	(75, 0.5101739899734592)	(80, 0.5101739899734592)	(85, 0.5101739899734592)	(90, 0.5101739899734592)	(95, 0.5101739899734592)	(100, 0.5101739899734592)	(105, 0.5101739899734592)	(110, 0.5101739899734592)	(115, 0.5101739899734592)	(120, 0.5101739899734592)	(125, 0.5101739899734592)	(130, 0.5101739899734592)	(135, 0.5101739899734592)	(140, 0.5101739899734592)	(145, 0.5101739899734592)	(150, 0.5101739899734592)	(155, 0.5101739899734592)	(160, 0.5101739899734592)	(165, 0.5101739899734592)	(170, 0.5101739899734592)	(175, 0.5101739899734592)	(180, 0.5101739899734592)	(185, 0.5109603853337266)	(190, 0.514105966774796)	(195, 0.514105966774796)	(200, 0.514105966774796)	(205, 0.5148923621350633)	(210, 0.5150889609751302)	(215, 0.5160719551754644)	(220, 0.5160719551754644)	(225, 0.5160719551754644)	(230, 0.5160719551754644)	(235, 0.5160719551754644)	(240, 0.5160719551754644)	(245, 0.5160719551754644)	(250, 0.5160719551754644)	(255, 0.5160719551754644)	(260, 0.5160719551754644)	(265, 0.5160719551754644)	(270, 0.5160719551754644)	(275, 0.5160719551754644)	(280, 0.5160719551754644)	(285, 0.5160719551754644)	(290, 0.5160719551754644)
1Z_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0047183721616042475)	(65, 0.00491497100167109)	(70, 0.00491497100167109)	(75, 0.00491497100167109)	(80, 0.0060945640420721515)	(85, 0.00982994200334218)	(90, 0.1547232871326059)	(95, 0.4354664307480586)	(100, 0.4702644254398899)	(105, 0.47242701268062526)	(110, 0.5357318391821488)	(115, 0.5445787869851568)	(120, 0.5445787869851568)	(125, 0.5451685835053575)	(130, 0.545561781185491)	(135, 0.545561781185491)	(140, 0.545561781185491)	(145, 0.545561781185491)	(150, 0.545561781185491)	(155, 0.545561781185491)	(160, 0.545561781185491)	(165, 0.545561781185491)	(170, 0.545561781185491)	(175, 0.545561781185491)	(180, 0.545561781185491)	(185, 0.545561781185491)	(190, 0.545561781185491)	(195, 0.545561781185491)	(200, 0.545561781185491)	(205, 0.545561781185491)	(210, 0.545561781185491)	(215, 0.545561781185491)	(220, 0.545561781185491)	(225, 0.545561781185491)	(230, 0.545561781185491)	(235, 0.545561781185491)	(240, 0.545561781185491)	(245, 0.545561781185491)	(250, 0.545561781185491)	(255, 0.545561781185491)	(260, 0.5471345719060258)	(265, 0.5494937579868279)	(270, 0.5494937579868279)	(275, 0.5494937579868279)	(280, 0.5500835545070284)	(285, 0.5506733510272289)	(290, 0.5514597463874963)
