Module	Section	Sample Name	Source
FastQC	all_sections	ST3Q_2	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST3Q_2_fastqc.zip
FastQC	all_sections	ST2Z_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST2Z_1_fastqc.zip
FastQC	all_sections	ST4Q_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST4Q_1_fastqc.zip
FastQC	all_sections	ST3Z_2	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST3Z_2_fastqc.zip
FastQC	all_sections	ST1Q_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST1Q_1_fastqc.zip
FastQC	all_sections	STD_2	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/STD_2_fastqc.zip
FastQC	all_sections	ST3D_2	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST3D_2_fastqc.zip
FastQC	all_sections	ST3Z_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST3Z_1_fastqc.zip
FastQC	all_sections	ST2Q_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST2Q_1_fastqc.zip
FastQC	all_sections	ST2Z_2	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST2Z_2_fastqc.zip
FastQC	all_sections	ST1D_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST1D_1_fastqc.zip
FastQC	all_sections	ST1Z_2	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST1Z_2_fastqc.zip
FastQC	all_sections	ST3D_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST3D_1_fastqc.zip
FastQC	all_sections	ST1Q_2	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST1Q_2_fastqc.zip
FastQC	all_sections	ST3Q_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST3Q_1_fastqc.zip
FastQC	all_sections	ST4D_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST4D_1_fastqc.zip
FastQC	all_sections	ST2D_2	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST2D_2_fastqc.zip
FastQC	all_sections	ST2D_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST2D_1_fastqc.zip
FastQC	all_sections	ST1D_2	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST1D_2_fastqc.zip
FastQC	all_sections	ST2Q_2	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST2Q_2_fastqc.zip
FastQC	all_sections	ST1Z_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST1Z_1_fastqc.zip
FastQC	all_sections	STZ_2	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/STZ_2_fastqc.zip
FastQC	all_sections	4Z_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/4Z_1_fastqc.zip
FastQC	all_sections	4Q_2	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/4Q_2_fastqc.zip
FastQC	all_sections	1D_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/1D_1_fastqc.zip
FastQC	all_sections	4Q_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/4Q_1_fastqc.zip
FastQC	all_sections	4D_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/4D_1_fastqc.zip
FastQC	all_sections	ST4Z_2	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST4Z_2_fastqc.zip
FastQC	all_sections	STD_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/STD_1_fastqc.zip
FastQC	all_sections	STQ_1	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/STQ_1_fastqc.zip
FastQC	all_sections	4D_2	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/4D_2_fastqc.zip
FastQC	all_sections	ST4Q_2	/home/ksy/projects/ITSdetector/work/84/7856a111d45378ef56e2cf9cd80353/ST4Q_2_fastqc.zip
