Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1D_1	(1.0, 0.686596184226516)	(2.0, 0.3787418479361607)	(3.0, 0.27342325920524974)	(4.0, 0.25924575687608864)	(5.0, 0.1974723538704581)	(6.0, 0.20658646251063315)	(7.0, 0.1630412767853526)	(8.0, 0.17013002794993318)	(9.0, 0.12759752096244986)	('>10', 2.0202940819054565)	('>50', 1.8025681532790538)	('>100', 2.637015433223964)	('>500', 1.491675780775307)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 89.58561186049337)
1D_2	(1.0, 0.7848260217928464)	(2.0, 0.27544861668084414)	(3.0, 0.2248146797909831)	(4.0, 0.15392716814517762)	(5.0, 0.19240896018147205)	(6.0, 0.1762061003767165)	(7.0, 0.17721877911451372)	(8.0, 0.09721715882853323)	(9.0, 0.10936930368209989)	('>10', 1.639526876493701)	('>50', 0.5174788350143801)	('>100', 1.07141410458946)	('>500', 0.7868513792684408)	('>1k', 1.0977437517721877)	('>5k', 5.727710940981083)	('>10k+', 86.96783732328755)
1Q_1	(1.0, 0.4413091305561144)	(2.0, 0.2531037660542421)	(3.0, 0.23558119763510224)	(4.0, 0.18431146040873014)	(5.0, 0.13304172318235802)	(6.0, 0.16743787600511398)	(7.0, 0.1680868600206377)	(8.0, 0.08826182611122288)	(9.0, 0.0817719859559859)	('>10', 1.9411111904313796)	('>50', 1.328470279777009)	('>100', 1.8431146040873012)	('>500', 2.3746325128012096)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 90.7597655869736)
1Q_2	(1.0, 0.6347063671821763)	(2.0, 0.1933972366260619)	(3.0, 0.1577031157722585)	(4.0, 0.11681712279426558)	(5.0, 0.13304172318235802)	(6.0, 0.12071102688740777)	(7.0, 0.1590010838033059)	(8.0, 0.10383744248379162)	(9.0, 0.10513541051483902)	('>10', 1.5549657011947795)	('>50', 0.3621330806622233)	('>100', 1.1220933628404732)	('>500', 0.5101014362016263)	('>1k', 0.8112300194046221)	('>5k', 4.1632324595845205)	('>10k+', 89.75189341086529)
1Z_1	(1.0, 0.5268848913791409)	(2.0, 0.27917035289491793)	(3.0, 0.25361250368622823)	(4.0, 0.1808709328614961)	(5.0, 0.21625872407352795)	(6.0, 0.13565319964612207)	(7.0, 0.12385726924211146)	(8.0, 0.1415511648481274)	(9.0, 0.1680920082571513)	('>10', 2.222549886955667)	('>50', 1.1117664405780006)	('>100', 2.6088666076870144)	('>500', 0.5475277695861595)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 91.48333824830434)
1Z_2	(1.0, 0.6920279170352894)	(2.0, 0.2280546544775386)	(3.0, 0.21527572987319377)	(4.0, 0.184802909662833)	(5.0, 0.13761918804679052)	(6.0, 0.10616337363609554)	(7.0, 0.10321439103509289)	(8.0, 0.1415511648481274)	(9.0, 0.12385726924211146)	('>10', 1.3260591762508602)	('>50', 0.4393984075493955)	('>100', 0.937776467118844)	('>500', 0.8099872210753957)	('>1k', 4.37432419148727)	('>5k', 8.733903469969526)	('>10k+', 81.44598446869163)
2D_1	(1.0, 0.6552280343994717)	(2.0, 0.32259951693647465)	(3.0, 0.24821776303143253)	(4.0, 0.23066701211001814)	(5.0, 0.23818876250491003)	(6.0, 0.18553650974066677)	(7.0, 0.14040600737131537)	(8.0, 0.07354600386116521)	(9.0, 0.15043500789783792)	('>10', 2.072660108814656)	('>50', 1.3321855699397425)	('>100', 3.195072417741302)	('>500', 1.3129633189305743)	('>1k', 1.0948325574787092)	('>5k', 0.0)	('>10k+', 88.74746140924172)
2D_2	(1.0, 0.7446532890942977)	(2.0, 0.25573951342632445)	(3.0, 0.1880437598722974)	(4.0, 0.16046400842436043)	(5.0, 0.20475876074983493)	(6.0, 0.13037700684479286)	(7.0, 0.13455575706417724)	(8.0, 0.08691800456319525)	(9.0, 0.12786975671316222)	('>10', 1.6389058360425564)	('>50', 0.5332085279934476)	('>100', 0.9143105480013038)	('>500', 0.7780832908493728)	('>1k', 2.1403558623686827)	('>5k', 6.203772575698061)	('>10k+', 85.75798350229414)
2Q_1	(1.0, 0.5672059393872237)	(2.0, 0.30472602360241563)	(3.0, 0.28464180841043824)	(4.0, 0.21607845309989474)	(5.0, 0.1766025818604909)	(6.0, 0.1828356141614494)	(7.0, 0.10180619424898886)	(8.0, 0.14405230206659647)	(9.0, 0.14959277522300404)	('>10', 2.027120616100615)	('>50', 1.3241730843814061)	('>100', 2.5596985982602916)	('>500', 1.724472269931852)	('>1k', 1.779877001495928)	('>5k', 0.0)	('>10k+', 88.4571167377694)
2Q_2	(1.0, 0.688403789683639)	(2.0, 0.21884868967809853)	(3.0, 0.20984542079893623)	(4.0, 0.14682253864480027)	(5.0, 0.13851182891018893)	(6.0, 0.14543742035569837)	(7.0, 0.08241453820156242)	(8.0, 0.09972851681533602)	(9.0, 0.12466064601917004)	('>10', 1.4758435370380631)	('>50', 0.3538977228655327)	('>100', 1.9204665078397694)	('>500', 0.0)	('>1k', 2.6808964485567066)	('>5k', 4.370740761261012)	('>10k+', 87.34348163333149)
