Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
1D_1	(18.0, 1.0)	(19.0, 1.0)	(20.0, 10.0)	(21.0, 9.0)	(22.0, 14.0)	(23.0, 17.0)	(24.0, 27.0)	(25.0, 40.0)	(26.0, 50.0)	(27.0, 62.0)	(28.0, 70.0)	(29.0, 94.0)	(30.0, 131.0)	(31.0, 177.0)	(32.0, 247.0)	(33.0, 303.0)	(34.0, 528.0)	(35.0, 1001.0)	(36.0, 2082.0)	(37.0, 25594.0)	(38.0, 68290.0)			
1D_2	(17.0, 6.0)	(18.0, 29.0)	(19.0, 87.0)	(20.0, 93.0)	(21.0, 91.0)	(22.0, 84.0)	(23.0, 78.0)	(24.0, 75.0)	(25.0, 75.0)	(26.0, 90.0)	(27.0, 74.0)	(28.0, 112.0)	(29.0, 107.0)	(30.0, 133.0)	(31.0, 188.0)	(32.0, 251.0)	(33.0, 293.0)	(34.0, 468.0)	(35.0, 941.0)	(36.0, 1971.0)	(37.0, 32201.0)	(38.0, 61301.0)		
1Q_1	(19.0, 3.0)	(20.0, 9.0)	(21.0, 14.0)	(22.0, 18.0)	(23.0, 31.0)	(24.0, 25.0)	(25.0, 57.0)	(26.0, 83.0)	(27.0, 107.0)	(28.0, 128.0)	(29.0, 151.0)	(30.0, 172.0)	(31.0, 229.0)	(32.0, 357.0)	(33.0, 487.0)	(34.0, 769.0)	(35.0, 1482.0)	(36.0, 4332.0)	(37.0, 37164.0)	(38.0, 108469.0)				
1Q_2	(17.0, 5.0)	(18.0, 29.0)	(19.0, 137.0)	(20.0, 148.0)	(21.0, 136.0)	(22.0, 126.0)	(23.0, 121.0)	(24.0, 113.0)	(25.0, 92.0)	(26.0, 111.0)	(27.0, 99.0)	(28.0, 151.0)	(29.0, 158.0)	(30.0, 186.0)	(31.0, 240.0)	(32.0, 287.0)	(33.0, 435.0)	(34.0, 656.0)	(35.0, 1306.0)	(36.0, 3034.0)	(37.0, 47993.0)	(38.0, 98524.0)		
1Z_1	(20.0, 6.0)	(21.0, 12.0)	(22.0, 20.0)	(23.0, 18.0)	(24.0, 14.0)	(25.0, 36.0)	(26.0, 66.0)	(27.0, 53.0)	(28.0, 73.0)	(29.0, 96.0)	(30.0, 134.0)	(31.0, 174.0)	(32.0, 248.0)	(33.0, 328.0)	(34.0, 553.0)	(35.0, 1029.0)	(36.0, 2481.0)	(37.0, 24360.0)	(38.0, 72029.0)					
1Z_2	(17.0, 7.0)	(18.0, 26.0)	(19.0, 80.0)	(20.0, 97.0)	(21.0, 111.0)	(22.0, 121.0)	(23.0, 93.0)	(24.0, 89.0)	(25.0, 88.0)	(26.0, 106.0)	(27.0, 101.0)	(28.0, 115.0)	(29.0, 157.0)	(30.0, 184.0)	(31.0, 197.0)	(32.0, 266.0)	(33.0, 369.0)	(34.0, 561.0)	(35.0, 1007.0)	(36.0, 2194.0)	(37.0, 32424.0)	(38.0, 63337.0)		
2D_1	(17.0, 1.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 7.0)	(21.0, 8.0)	(22.0, 10.0)	(23.0, 20.0)	(24.0, 28.0)	(25.0, 39.0)	(26.0, 63.0)	(27.0, 96.0)	(28.0, 104.0)	(29.0, 131.0)	(30.0, 145.0)	(31.0, 204.0)	(32.0, 253.0)	(33.0, 384.0)	(34.0, 613.0)	(35.0, 1144.0)	(36.0, 5518.0)	(37.0, 28050.0)	(38.0, 82835.0)		
2D_2	(17.0, 4.0)	(18.0, 36.0)	(19.0, 94.0)	(20.0, 114.0)	(21.0, 116.0)	(22.0, 86.0)	(23.0, 96.0)	(24.0, 95.0)	(25.0, 92.0)	(26.0, 101.0)	(27.0, 131.0)	(28.0, 138.0)	(29.0, 160.0)	(30.0, 187.0)	(31.0, 222.0)	(32.0, 304.0)	(33.0, 391.0)	(34.0, 605.0)	(35.0, 1117.0)	(36.0, 2492.0)	(37.0, 40514.0)	(38.0, 72558.0)		
2Q_1	(17.0, 1.0)	(18.0, 2.0)	(19.0, 4.0)	(20.0, 7.0)	(21.0, 13.0)	(22.0, 16.0)	(23.0, 20.0)	(24.0, 29.0)	(25.0, 57.0)	(26.0, 69.0)	(27.0, 114.0)	(28.0, 105.0)	(29.0, 143.0)	(30.0, 180.0)	(31.0, 251.0)	(32.0, 347.0)	(33.0, 453.0)	(34.0, 815.0)	(35.0, 1526.0)	(36.0, 7716.0)	(37.0, 34979.0)	(38.0, 97545.0)		
2Q_2	(17.0, 5.0)	(18.0, 34.0)	(19.0, 123.0)	(20.0, 143.0)	(21.0, 116.0)	(22.0, 109.0)	(23.0, 107.0)	(24.0, 88.0)	(25.0, 97.0)	(26.0, 100.0)	(27.0, 101.0)	(28.0, 103.0)	(29.0, 136.0)	(30.0, 141.0)	(31.0, 190.0)	(32.0, 249.0)	(33.0, 392.0)	(34.0, 586.0)	(35.0, 1124.0)	(36.0, 2643.0)	(37.0, 46342.0)	(38.0, 91463.0)		
