Module	Section	Sample Name	Source
FastQC	all_sections	ST4D_2	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST4D_2_fastqc.zip
FastQC	all_sections	ST2Q_2	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST2Q_2_fastqc.zip
FastQC	all_sections	1Z_2	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/1Z_2_fastqc.zip
FastQC	all_sections	ST3Z_2	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST3Z_2_fastqc.zip
FastQC	all_sections	ST1Z_1	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST1Z_1_fastqc.zip
FastQC	all_sections	ST3Q_1	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST3Q_1_fastqc.zip
FastQC	all_sections	ST3Z_1	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST3Z_1_fastqc.zip
FastQC	all_sections	ST4D_1	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST4D_1_fastqc.zip
FastQC	all_sections	ST2D_1	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST2D_1_fastqc.zip
FastQC	all_sections	ST2Q_1	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST2Q_1_fastqc.zip
FastQC	all_sections	ST2D_2	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST2D_2_fastqc.zip
FastQC	all_sections	ST1D_2	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST1D_2_fastqc.zip
FastQC	all_sections	ST3Q_2	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST3Q_2_fastqc.zip
FastQC	all_sections	ST1Q_2	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST1Q_2_fastqc.zip
FastQC	all_sections	ST1Z_2	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST1Z_2_fastqc.zip
FastQC	all_sections	STD_1	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/STD_1_fastqc.zip
FastQC	all_sections	ST1D_1	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST1D_1_fastqc.zip
FastQC	all_sections	ST2Z_1	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/ST2Z_1_fastqc.zip
FastQC	all_sections	1Z_1	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/1Z_1_fastqc.zip
FastQC	all_sections	1D_2	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/1D_2_fastqc.zip
FastQC	all_sections	1D_1	/home/ksy/projects/ITSdetector/work/3c/bdbd186b23b17cf095f29aa2bd5670/1D_1_fastqc.zip
