ASV	raw_hit_count	strict_cutoff_pass_hit_count	retained_top_n_count	selection_status
00b0c1b2dd29f6dde895345a89eab2d4	104	104	5	candidate_available
00ee2a2c090f05308822650762e66a5b	199	199	5	candidate_available
010b07e3b6da2a38547e45cd063dd63d	145	145	5	candidate_available
01bb26a8a1751eb3c5b4b7ecb7e47993	194	194	5	candidate_available
031b9c6bdcad084cb3a095a0d198cebd	222	222	5	candidate_available
034dd71309f0853471154f43bc02abd1	262	262	5	candidate_available
04054fce3ae97d78e67d2d454985add2	238	238	5	candidate_available
04afb5de4ef391d0ab8c50f4bfe0e962	204	204	5	candidate_available
05697bc7833ce61e4a0e0ca5e59744b4	135	135	5	candidate_available
05b496404be4e237c87028a88f649e1a	224	224	5	candidate_available
0768181f519364a9439b4901c0812f7d	200	200	5	candidate_available
091b9ab07282fb2810730607e7c73a6b	65	65	5	candidate_available
0ae1e837235a2579609ba6290feae7d9	197	197	5	candidate_available
0b670ea5bad69a636e48836a55475086	197	197	5	candidate_available
0b9eb13a7db8bebd0a71d05bfce5f411	118	118	5	candidate_available
0d2054ad18668ff06200cd375bad78fc	147	147	5	candidate_available
0d2a77295862dea2a5fc3940be192278	235	235	5	candidate_available
0d3edc0897c2b3a22e9e71d741ee679e	124	124	5	candidate_available
0dc05c777d2a965f0a5d08d7b7a56458	136	136	5	candidate_available
0e3a92d5368de742d7e37a8b3d7f4bfa	179	179	5	candidate_available
0f360b09103c67271c91a7874e444b09	136	136	5	candidate_available
0f3757bb9559984673430e50398b09b4	134	134	5	candidate_available
0fa00e784c08052273ca73e81a15e062	140	140	5	candidate_available
0fb48a8ab7edb9fc5d7e0721fd6a71ed	162	162	5	candidate_available
103944e65cf9b9d2dac28c3bd3fabb2e	161	161	5	candidate_available
1081bb0a739150388231c3df65f909dc	208	208	5	candidate_available
10bd3d3bd7cf83389aa23b472f7e1b02	192	192	5	candidate_available
11472a6b13e3d38e37aa6d6f3b131991	153	153	5	candidate_available
115c4ab3a2c4442ff28c495a79bd59ea	114	114	5	candidate_available
117e36b53921c2986d9b3bf373166f23	124	124	5	candidate_available
119831b712be8db7b70c0d6d950624da	190	190	5	candidate_available
120b958eec2e26323850dffc01440286	139	139	5	candidate_available
127a250c366f54f7a8ff08616edff9c2	70	70	5	candidate_available
12cc799b99ed75d931516e3b1cc680ad	136	136	5	candidate_available
1458c99c0a4aa2958f73d7262165066a	211	211	5	candidate_available
1498268fea63f9f27158b65ab52ae8ed	119	119	5	candidate_available
14f563b611081c3d96a3656b7e727a14	225	225	5	candidate_available
15341b177fd17d7c5a13510e07a8a807	175	175	5	candidate_available
1540d97c8f1d072ae65b7a4c33585746	155	155	5	candidate_available
158508c453d93903d315196a844918ef	207	207	5	candidate_available
16703d0a4083f43db27f62158cbd405a	144	144	5	candidate_available
169e5e3b66682ea6eb26c477ce213b7c	208	208	5	candidate_available
17952accf0a19bde02e3576f0b21a02f	140	140	5	candidate_available
17fd2c848707f61d8529a69db689f25d	122	122	5	candidate_available
188f2c973193c37c726eb3e8437e22d6	148	148	5	candidate_available
194c5d7ddd16e9c0363bffc3aef8ceb8	140	140	5	candidate_available
1a06f4d3b11bdcb6ad8457f0d779d84b	162	162	5	candidate_available
1ad0453306a32c66b7332becae773259	184	184	5	candidate_available
1b0ea89e8460365693bf9a78cd7193ef	161	161	5	candidate_available
1b2e8a0293b43f376c41093828fde254	132	132	5	candidate_available
1b7d4ee38520a8d71abb44031eecc577	195	195	5	candidate_available
1c8aea5d6f2451aac5a804b66803af1e	46	46	5	candidate_available
1c8bbb1b54f02065db91f0386a39e0ad	180	180	5	candidate_available
1c99b355daab861d42ef02ad4aecd425	183	183	5	candidate_available
1d1e47a562efc72e0e1a703adb1156bc	220	220	5	candidate_available
1eb57cce3c3583ae58927522adab0277	139	139	5	candidate_available
1f918dc743f502eb0290572adf274b34	206	206	5	candidate_available
210606b4fff7f1b545874ba7442c65b1	192	192	5	candidate_available
21feee196968505b63639074b75a7d27	165	165	5	candidate_available
22381edf2faa88f0c0f8bece81941d9f	122	122	5	candidate_available
224d56ff798feaccbf5f4ce5eaf3ded3	116	116	5	candidate_available
23ce5b9dd49c380e94ec122f11c8077f	211	211	5	candidate_available
240d740ef91d43f334788e266d661f7b	141	141	5	candidate_available
247c8459db6ae8b1257380e69c42b883	156	156	5	candidate_available
24b8daa5b10dcf42144074fc7fbfb3d6	223	223	5	candidate_available
24d7b4411285b730ba3e4413dd9c2988	108	108	5	candidate_available
25a303dbf5b2a6790682c1e63eb0bc86	252	252	5	candidate_available
25d556970166dcb7050422023be88e22	212	212	5	candidate_available
260b8bebae425ab1944a3e6b09292088	223	223	5	candidate_available
26461f63a0aa3891866f330d837eb06e	236	236	5	candidate_available
267cae1380db2b4584c9e1a67d952b7c	208	208	5	candidate_available
26c2e693490c7955c44b198bdf3e0088	140	140	5	candidate_available
26c3adb423a4d6b98b84d34fa5beca3f	107	107	5	candidate_available
28545e23c1f29aea79e54c2490f42375	217	217	5	candidate_available
28b1e3694b1bcb9d577830df4fd6c876	162	162	5	candidate_available
291a78fb09fc52eec65489c0f9391ea3	142	142	5	candidate_available
29555bd5b7d79e088911358e619af0af	224	224	5	candidate_available
299858db667f2d7fa90d17f8f1e54be0	196	196	5	candidate_available
29d62dfd66a91504472270a3fc584aad	190	190	5	candidate_available
2a28786ae739c0770d1372c549046931	50	50	5	candidate_available
2abd97d819164ca22fea7fc261ffc6f7	213	213	5	candidate_available
2b01ef55e239b98907664a9962dd835b	191	191	5	candidate_available
2cd0dea7da04cbdb02a749d6ce0ce2a8	65	65	5	candidate_available
2d5840001771d889fbe752a80463af2c	167	167	5	candidate_available
2e39d48abc07a6ccc13a028ccde00e00	194	194	5	candidate_available
2e723fe0c70769428c06e39a8f19d9d8	206	206	5	candidate_available
2ebd8a5b8c3455f415eca2f216a9d915	113	113	5	candidate_available
2ec4fcc1eb3651a961c3fb1428c3433b	161	161	5	candidate_available
2f43c6a7f9331f447cc24981f1887474	182	182	5	candidate_available
3039df4ad5007ae4944976c043d3d432	281	281	5	candidate_available
3055f49397f6797b6af3d93deaed571e	131	131	5	candidate_available
30b0fb5596b860a51ac563e7ee8466cb	100	100	5	candidate_available
31169ddba661462ce73f8c72d905380f	179	179	5	candidate_available
315a14f72987afaafb1b8701eaa0b075	154	154	5	candidate_available
32be290b5fe51f5e4611e2e1a37fa1db	197	197	5	candidate_available
3307422fad2c09efd87bd795d113550c	140	140	5	candidate_available
337831ba7d77685699981e28fb64cf23	216	216	5	candidate_available
338ebd69d5b03851738ff9768b025122	199	199	5	candidate_available
3454e06b84a4908c00458fd5cde8cfe4	147	147	5	candidate_available
35f06e1185ad3c6c3effe47fae6c598c	211	211	5	candidate_available
36a7dafd8a4806c2f7c373b5c9916b22	220	220	5	candidate_available
380916886b4dd08f02461044249c308d	141	141	5	candidate_available
385c77a0d40dfabdc66dff6fc5e92f33	149	149	5	candidate_available
38af596704a7b2a9f8c44337022e99fa	210	210	5	candidate_available
38b1cb46f1899335c80c5e172caaf2c2	96	96	5	candidate_available
38da37bf49a104ddf2f0adc044079d2e	210	210	5	candidate_available
397362a873a8f2418d7c6e6697262abc	158	158	5	candidate_available
3b19d4888b7cb5cae6d71495a64c1f99	135	135	5	candidate_available
3c9ae85851f407a4c95023d2f0cf58be	185	185	5	candidate_available
3ca224352821ab4798e0ab4bb73ab267	145	145	5	candidate_available
3cd81fadba0bfa954ab5979c1601a3f1	132	132	5	candidate_available
3cdd5c9296b323dd20d1dc2d8c42357a	212	212	5	candidate_available
3d5f170d59af5aa3757284a921c5a385	142	142	5	candidate_available
3d6bfcea85715e48dbcf0dd76406cc95	211	211	5	candidate_available
3e386a41fce9acea998443c7cd0b8976	181	181	5	candidate_available
3ee47f1d98e4915c5a3a26a8c46c4890	124	124	5	candidate_available
417ff10c1dde2640f0c95e9274677e6e	121	121	5	candidate_available
424a42c649741aeff084e4e4be42d5e8	209	209	5	candidate_available
429ef104fcabfbb4b403c2c09309eadf	171	171	5	candidate_available
43071ca5a252d644aa64b30a517cdb84	127	127	5	candidate_available
43f18b9991f72cfc8bf12cbd1b48c96b	90	90	5	candidate_available
442a16533e54a9749b2cc6af051e2025	97	97	5	candidate_available
448deac40229a7efe42560189717e686	172	172	5	candidate_available
45abd68f253254c6fa3ef6981b6b7e84	208	208	5	candidate_available
460ee956051055b9917825569ff923c6	209	209	5	candidate_available
464e19f539c8d48eeb059761e4076133	129	129	5	candidate_available
46af2089e83994319d971cbc29507615	115	115	5	candidate_available
4829c7cee3b18ec5924817979293801f	103	103	5	candidate_available
484bd431a65762338ef456a194b5348e	64	64	5	candidate_available
4895bce8e320a5bf47a9ca23b5631654	216	216	5	candidate_available
4932e029d9172067e8f5fd3ec92cf65f	157	157	5	candidate_available
4941117af711ee0d06af22a61b399b2d	222	222	5	candidate_available
4951881ce90885c4c3b8b071badab83f	86	86	5	candidate_available
4aae9ea7e4bfc0aaa35d3772535cb612	145	145	5	candidate_available
4b3032f1ababa735f461201a632784c8	151	151	5	candidate_available
4bc9878d9cb5210bbfa8e56b3f990fe1	156	156	5	candidate_available
4bfd955490a13cf9d93564394b8053c5	198	198	5	candidate_available
4c2a20f52c5307c38f027444128a1e56	127	127	5	candidate_available
4d1c9fd884a315a755aa7c59427b2d62	107	107	5	candidate_available
4e69eeb85eb9ec34c929b61a9a698d0e	167	167	5	candidate_available
4f6650e0c14cacd7abd09857e6585ff4	129	129	5	candidate_available
4ff375ae9b66ece9a7f74f5a13354b9d	250	250	5	candidate_available
5028db85c93296a70c563f0a3ef6eeb2	133	133	5	candidate_available
5105a2d6db57cdbabd078e95db2396c5	122	122	5	candidate_available
5187486fe872390b9182d5481d070c1e	138	138	5	candidate_available
52e9f5f2067648d12ec4ece62907a916	115	115	5	candidate_available
52ecfb22e1c990982f5951c06b4908b3	152	152	5	candidate_available
5302560500e967552b1490312b4bb3b3	168	168	5	candidate_available
53926185040b69b43d226af323a0598e	160	160	5	candidate_available
5508856d9d35057c551dd5960df94f40	195	195	5	candidate_available
5535856acc809af76ab3ddb22e9e211d	106	106	5	candidate_available
55c1f51cc4845985dae3c90e77b5d5b1	163	163	5	candidate_available
567a9deab0960d0e2e0fb43ebc9b535e	210	210	5	candidate_available
56a66d4f4883495fe6e8252edcc6c71c	81	81	5	candidate_available
56b3fd0a76a57716fa9dc86ef499f86a	217	217	5	candidate_available
56c2041c40052605a6924e3e9ceef831	162	162	5	candidate_available
57953a259caf82bc29a84735e0ceb763	172	172	5	candidate_available
579ecb5e770eff08feca9199a9d1b0c7	134	134	5	candidate_available
588b3566dfb1cd5eec4c04e15e8a68e4	129	129	5	candidate_available
58b2e2109c1625d12106aa0c3bbdc3d8	198	198	5	candidate_available
593628bb9050300495d659b459fd5aa3	218	218	5	candidate_available
59e39ce5b0fa28367628aaac73e3ace5	113	113	5	candidate_available
59e40ac1498d94cbe3008b752b9b8303	218	218	5	candidate_available
59f88c9bea61b29af23eed08c6f6a96e	138	138	5	candidate_available
5a06576196c23f808bdfe0399228553a	117	117	5	candidate_available
5aa08add5073423bc935416fc4122a79	237	237	5	candidate_available
5aa8bf9dfef378818c857e66263bb473	137	137	5	candidate_available
5cae4f6bc86eca0f1eedf3d66b889b17	189	189	5	candidate_available
5cf5a5092050bcd623fa6eb69cef27bc	144	144	5	candidate_available
5d8ceac78519a012a4994ba03709767a	133	133	5	candidate_available
5e1d83eccf923b1343d8824231f1bbe1	60	60	5	candidate_available
5eb88a9a6282b223cd88dbc003040251	156	156	5	candidate_available
5f75d4aac0231ac26b212754cfe7bc3e	217	217	5	candidate_available
615431307bb72c4d99dcb3c243d810db	170	170	5	candidate_available
61645f9cde6903edbbd03f5235efd2d1	136	136	5	candidate_available
621f2a9745265d827cc94a1d025b8a38	178	178	5	candidate_available
628fa4d9864efdb099121fdc264211a5	168	168	5	candidate_available
638e7ccf3419acc06aafd317364cba75	95	95	5	candidate_available
641f531733565284c1dd59890b5a5e83	126	126	5	candidate_available
644c895ef79df8c731420be73cf8b6c0	175	175	5	candidate_available
6579df31fdeb07e99320f5c35e866053	145	145	5	candidate_available
661bf01ab3c55eee56f097097463b355	174	174	5	candidate_available
66b54e2a443f697f121c66c80dc95df9	165	165	5	candidate_available
6734e9cf02163049e17ba80c6b32c086	220	220	5	candidate_available
674495db5026d621602634dd1d9ca190	57	57	5	candidate_available
6790f42c7414d04cbfca2d0bc9403137	202	202	5	candidate_available
679ca3aecfbd02b0d7659b6327a70872	213	213	5	candidate_available
67f44c83f92569ef7a21c13966f48c49	165	165	5	candidate_available
690485dcc88ee46eafca88455c1350fb	200	200	5	candidate_available
6976a055044853c7e68d7943cfd3806a	204	204	5	candidate_available
6a84d445d0bc5b70a398f6fdf01eb66f	181	181	5	candidate_available
6a9936467ea0ec25f21c078e03632613	171	171	5	candidate_available
6a9c03927332a86761ef8140c19e76a2	216	216	5	candidate_available
6b364ee32451dd49784a71f534ef2bae	79	79	5	candidate_available
6c1fc4704aa612ba09b1cc742f0c67b2	224	224	5	candidate_available
6d4528949a1b4da8c05713abbbd208fd	158	158	5	candidate_available
6d536c0697e3374ffb3ec10414641759	277	277	5	candidate_available
6d5d5e8e8195643d12ad9f89722821ba	151	151	5	candidate_available
6e0e8ddf7043ec51d326dff163480dc7	142	142	5	candidate_available
6e82328c42ba7c3e6116b76beafea40d	180	180	5	candidate_available
6ea70f7a936fb3c83b92541a31d0699e	211	211	5	candidate_available
6eee9ddd3be2fa1716629021008b521e	199	199	5	candidate_available
6f44fdcac884f9349154a511f9ec5467	145	145	5	candidate_available
6ff253a77431f16f031f09943020be98	170	170	5	candidate_available
6ff9a3e427e998643e8d98a2a3d9157b	227	227	5	candidate_available
7022c374ae44a6ea810bc3bc7018547c	249	249	5	candidate_available
705dc39cc2275d1e72dc907ff947628d	132	132	5	candidate_available
708ed5611c17651ff5806fa18df950fa	232	232	5	candidate_available
70c24fbf5a1015511f7eeaa619943c09	232	232	5	candidate_available
70d60c1f3f6ba9ae04d78ef6f824c9b8	106	106	5	candidate_available
719c06db40daf054bc4b27a72600de75	177	177	5	candidate_available
722fb57e17229696cb75e47ad882962f	118	118	5	candidate_available
7243d6f6c59327bcf48abb33a65296e7	233	233	5	candidate_available
725402e2a81677678ca9799ecc96fe7f	265	265	5	candidate_available
72dd04cf016a807b3f0ed8e3b52565b4	169	169	5	candidate_available
7332820fcc90af10ffa68c99d5c2d874	75	75	5	candidate_available
734b3bd502cf4e15ab36e06823ea19d1	212	212	5	candidate_available
75107df2ba22157d21ca3da014ea641a	229	229	5	candidate_available
754268c86474386269e578a4eb485b8a	163	163	5	candidate_available
75460142a37c38afe494aff9cc6ce051	161	161	5	candidate_available
79b8b59b62b6bcd94537b80830d7f47d	197	197	5	candidate_available
7afb59c70eff2cec5a071dd7c3ca79e0	240	240	5	candidate_available
7b3895e4ce4378f120ee488c628004dc	50	50	5	candidate_available
7c26a2bc5ea2beb04c6da14fd04a67c3	133	133	5	candidate_available
7eb255283c6c52bd61ca80e88b608ef1	252	252	5	candidate_available
7ec116ba801fe0dd6ad02c5516ba27b6	206	206	5	candidate_available
7ec84e73c19db6fd14a892be88d602d6	190	190	5	candidate_available
7f21c32326f029d0dc23b6548c9be2eb	140	140	5	candidate_available
80031c9738d7445f1f857a5681c053a2	229	229	5	candidate_available
80d69bc60273cafc5a73ae55b234f7c9	181	181	5	candidate_available
80e1bf7ccd84a6512dc5cc240266fbbc	207	207	5	candidate_available
810614b36a07abd1a925d29282f91909	199	199	5	candidate_available
816d201ed9172ccf13a16767c31c90c9	159	159	5	candidate_available
830623f85c074e3be00b07789c2ab817	159	159	5	candidate_available
84b5c1c947a868e466363aca6892af10	154	154	5	candidate_available
852a848e6c1fce8ec025e60eb1d8ad45	186	186	5	candidate_available
8578ebd1501eab5abc643bb43fb0b7e2	129	129	5	candidate_available
