.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
1D_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
1D_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
1Q_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
1Q_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
1Z_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
1Z_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
2D_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
2D_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
2Q_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
2Q_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
2Z_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
2Z_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
3D_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
3D_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
3Q_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
3Q_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
3Z_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
3Z_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
4D_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
4D_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5
4Q_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5
4Q_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5
4Z_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
4Z_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
PBSD_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
PBSD_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
PBSQ_1	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.25
PBSQ_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
PBSZ_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
PBSZ_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
ST1D_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST1D_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST1Q_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST1Q_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST1Z_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST1Z_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST2D_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST2D_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST2Q_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST2Q_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST2Z_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST2Z_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST3D_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST3D_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST3Q_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST3Q_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST3Z_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST3Z_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST4D_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST4D_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST4Q_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST4Q_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST4Z_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ST4Z_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
STD_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
STD_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
STQ_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
STQ_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
STZ_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
STZ_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
