Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
1D_1	35.6402154980354	58.074087576457245
1D_2	46.67335034633613	48.9782071535626
1Q_1	36.92524353125183	57.33189691537897
1Q_2	46.37574876530791	49.59730541836755
1Z_1	39.01602280546545	55.62370982011206
1Z_2	50.722500737245646	45.57947508109702
2D_1	35.10902359322374	58.60864332695377
2D_2	48.024704771297	47.582592998086135
2Q_1	35.8863371931963	57.96373760319132
2Q_2	44.814809684747075	51.071388996620314
2Z_1	35.29721153256134	59.15565802045986
2Z_2	46.748248989717474	49.325455613313814
3D_1	33.71455784827312	59.916694506244355
3D_2	45.34747346947479	50.220702694634184
3Q_1	35.84289469128225	58.184207627051954
3Q_2	46.709791145316906	49.47510899161119
3Z_1	36.53449914464931	57.93879490591143
3Z_2	48.634099980992204	47.569663562060455
4D_1	33.916630210611835	59.45253421661146
4D_2	45.72561437132401	49.78438847572026
4Q_1	35.81947192954306	57.67057103635164
4Q_2	44.56240751635735	50.98768073309444
4Z_1	36.214228435811656	58.24376098560632
4Z_2	50.18832467984804	45.93097191734773
PBSD_1	68.8870930501039	24.4400831216809
PBSD_2	71.70976679750635	22.87577926575848
PBSQ_1	34.096746575342465	52.932363013698634
PBSQ_2	39.23373287671233	52.48287671232877
PBSZ_1	56.13527644899321	38.09576784323697
PBSZ_2	57.28271061456065	38.69491282996679
ST1D_1	30.696552417328377	62.449923179644756
ST1D_2	47.0470829803426	48.28625992562066
ST1Q_1	34.49498821388397	58.690558926997724
ST1Q_2	46.02173804013728	49.530346561964876
ST1Z_1	33.759016634771086	59.74900633004563
ST1Z_2	50.57927278080376	44.86309436184308
ST2D_1	31.52802727054131	61.669896321022925
ST2D_2	45.9935784098785	49.56364305011386
ST2Q_1	34.66642181911088	58.51829969340827
ST2Q_2	46.75603602452733	48.66664537557486
ST2Z_1	32.34093161546085	61.37324083250743
ST2Z_2	52.14826560951437	43.65351833498514
ST3D_1	31.241072685939606	62.126058704005466
ST3D_2	45.902991530367956	49.61138940860107
ST3Q_1	33.921277247167936	59.25488936847057
ST3Q_2	45.77076161388364	49.737516148544195
ST3Z_1	33.321408360923385	60.403020703920276
ST3Z_2	51.59198381672835	44.12413245825717
ST4D_1	30.848457053003997	62.40516281202909
ST4D_2	46.28316844657014	49.24850946733931
ST4Q_1	34.13082019221797	59.149637647351554
ST4Q_2	46.866349413704086	48.62865851761998
ST4Z_1	32.79581114364605	61.02526791624673
ST4Z_2	52.065504553234376	43.79215543615035
STD_1	35.58440998209779	56.96065109390391
STD_2	34.87838721969386	59.50865992278325
STQ_1	33.03025135568364	59.238770846833326
STQ_2	22.33689164762457	72.63394836465332
STZ_1	32.97997222097764	60.31721851337426
STZ_2	27.144585330884002	68.29427841749182
