Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
1D_1	1D_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98748.0	29.7 Mbp	0.0	301.0	49.0	1.3043302142828208	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
1D_2	1D_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98748.0	29.7 Mbp	0.0	301.0	50.0	1.2617977072953377	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
1Q_1	1Q_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	154087.0	46.3 Mbp	0.0	301.0	49.0	0.9248022221212692	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
1Q_2	1Q_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	154087.0	46.3 Mbp	0.0	301.0	49.0	0.9961904638288759	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
1Z_1	1Z_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101730.0	30.6 Mbp	0.0	301.0	49.0	1.050820800157279	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
1Z_2	1Z_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101730.0	30.6 Mbp	0.0	301.0	49.0	1.1009535043743242	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
2D_1	2D_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	119653.0	36 Mbp	0.0	301.0	49.0	1.2268810644112558	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
2D_2	2D_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	119653.0	36 Mbp	0.0	301.0	50.0	1.1901080624806732	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
2Q_1	2Q_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144392.0	43.4 Mbp	0.0	301.0	50.0	1.1184830184497756	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
2Q_2	2Q_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144392.0	43.4 Mbp	0.0	301.0	50.0	1.090088093523187	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
2Z_1	2Z_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114077.0	34.3 Mbp	0.0	301.0	49.0	1.0361422547928154	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
2Z_2	2Z_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114077.0	34.3 Mbp	0.0	301.0	49.0	1.072959492272763	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
3D_1	3D_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140687.0	42.3 Mbp	0.0	301.0	49.0	1.1045796697633754	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
3D_2	3D_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140687.0	42.3 Mbp	0.0	301.0	50.0	1.0974716924804708	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
