sample_id	profile	cutadapt_version	adapter_trim	poly_g_trim	quality_trim	quality_cutoff	apply_min_length	min_length	input_pairs	output_pairs	retained_percent	too_short_pairs	input_bp	output_bp	bp_retained_percent	input_r1_bp	input_r2_bp	output_r1_bp	output_r2_bp	quality_trimmed_bp	quality_trimmed_r1_bp	quality_trimmed_r2_bp	r1_with_any_adapter	r2_with_any_adapter	nextera_r1_matches	nextera_r2_matches	polyg_r1_matches	polyg_r2_matches
1D	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	98748	95405	96.6146	3343	59446296	57277431	96.3516	29723148	29723148	28656349	28621082	331333	94709	236624	2578	5380	2072	4548	506	832
1Q	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	154087	150531	97.6922	3556	92760374	90365572	97.4183	46380187	46380187	45204793	45160779	503344	144329	359015	2454	6367	1594	5037	860	1330
1Z	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	101730	99740	98.0438	1990	61241460	59859653	97.7437	30620730	30620730	29959124	29900529	379775	97473	282302	1135	3870	595	2984	540	886
2D	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	119653	114470	95.6683	5183	72031106	68701135	95.377	36015553	36015553	34375144	34325991	419803	120077	299726	4051	7105	3481	5886	570	1219
2Q	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	144392	137697	95.3633	6695	86923984	82672132	95.1085	43461992	43461992	41352109	41320023	451801	135791	316010	5782	9557	5029	8442	753	1115
2Z	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	114077	111808	98.011	2269	68674354	67113947	97.7278	34337177	34337177	33579999	33533948	386848	107819	279029	1399	4677	790	3701	609	976
3D	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	140687	136143	96.7701	4544	84693574	81730163	96.501	42346787	42346787	40893100	40837063	454602	128248	326354	3406	7419	2750	6159	656	1260
3Q	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	127074	122266	96.2164	4808	76498548	73362263	95.9002	38249274	38249274	36720841	36641422	481798	116388	365410	3821	7167	3104	6059	717	1108
3Z	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	131525	128994	98.0757	2531	79178050	77436545	97.8005	39589025	39589025	38736840	38699705	427482	127612	299870	1308	4755	618	3381	690	1374
4D	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	144009	135448	94.0552	8561	86693418	81299619	93.7783	43346709	43346709	40666155	40633464	455802	143591	312211	7414	11074	6655	9651	759	1423
4Q	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	112182	101110	90.1303	11072	67533564	60679529	89.8509	33766782	33766782	30363518	30316011	363202	100372	262830	10174	13338	9586	12218	588	1120
4Z	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	123457	120780	97.8316	2677	74321114	72484165	97.5284	37160557	37160557	36271593	36212572	458532	125181	333351	1695	4433	1126	3472	569	961
ST1D	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	139286	133604	95.9206	5682	83850172	80176363	95.6186	41925086	41925086	40106319	40070044	445656	140032	305624	4789	6757	4038	5495	751	1262
ST1Q	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	139571	134371	96.2743	5200	84021742	80670108	96.011	42010871	42010871	40348936	40321172	361956	117074	244882	4364	6310	3550	4941	814	1369
ST1Z	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	135860	132161	97.2773	3699	81787720	79271749	96.9238	40893860	40893860	39679248	39592501	525861	134437	391424	2317	4505	1657	3031	660	1474
ST2D	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	141398	136483	96.524	4915	85121596	81916341	96.2345	42560798	42560798	40962762	40953579	423636	152742	270894	4105	5740	3375	4605	730	1135
ST2Q	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	125248	119673	95.5488	5575	75399296	71830667	95.267	37699648	37699648	35926802	35903865	366047	123484	242563	4727	6366	4022	5113	705	1253
ST2Z	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	126125	123200	97.6809	2925	75927250	73946224	97.3909	37963625	37963625	36987405	36958819	378714	121803	256911	2277	3640	1636	2585	641	1055
ST3D	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	149121	144121	96.647	5000	89770842	86518817	96.3774	44885421	44885421	43267025	43251792	406228	142201	264027	4379	6201	3617	4921	762	1280
ST3Q	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	133913	128384	95.8712	5529	80615626	77046243	95.5723	40307813	40307813	38548875	38497368	415156	115531	299625	4715	6635	4018	5519	697	1116
ST3Z	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	153739	150429	97.847	3310	92550878	90285160	97.5519	46275439	46275439	45152981	45132179	470374	155622	314752	2537	4218	1699	3052	838	1166
ST4D	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	152630	148398	97.2273	4232	91883260	89040896	96.9065	45941630	45941630	44542120	44498776	493825	156136	337689	3305	5658	2552	4400	753	1258
ST4Q	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	160755	155387	96.6608	5368	96774510	93258153	96.3664	48387255	48387255	46651309	46606844	483397	147618	335779	4534	6425	3687	5169	847	1256
ST4Z	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	167683	163699	97.6241	3984	100945166	98273084	97.3529	50472583	50472583	49149219	49123865	463559	150920	312639	2672	4815	1722	2973	950	1842
STD	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	139089	136539	98.1666	2550	83731578	81770826	97.6583	41865789	41865789	40920286	40850540	398872	153124	245748	5084	4601	3359	2501	1725	2100
STQ	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	146605	144486	98.5546	2119	88256210	86627696	98.1548	44128105	44128105	43307292	43320404	405077	140649	264428	15910	4489	15525	3327	385	1162
STZ	fig4_q20_SE_itsxpress_unite_blast	5.2	true	true	true	30	true	50	111595	109448	98.0761	2147	67180190	65527856	97.5404	33590095	33590095	32795371	32732485	412075	140913	271162	10386	6351	6353	4484	4033	1867
