Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
1D_1	(1, 37.59152590432211)	(2, 37.02007129258314)	(3, 36.7502734232592)	(4, 37.74298213634707)	(5, 37.925831409243735)	(6, 37.577591444890025)	(7, 37.453619313808886)	(8, 37.92334021954875)	(9, 37.67339085348564)	(10, 37.7943897597926)	(15, 37.79297606027464)	(20, 37.837108599667836)	(25, 37.844723943776074)	(30, 37.85046785757687)	(35, 37.89126665856524)	(40, 37.91233442702637)	(45, 37.8531534815895)	(50, 37.86919026208126)	(55, 37.85560416413497)	(60, 37.90536314659537)	(65, 37.68996232835095)	(70, 37.727471948798964)	(75, 37.79871187264553)	(80, 37.75478591971483)	(85, 37.73029124640499)	(90, 37.65649937213918)	(95, 37.862534937416456)	(100, 37.81580183902459)	(105, 37.83524932150524)	(110, 37.83382752055738)	(115, 37.87621420180662)	(120, 37.85953335763762)	(125, 37.83395309272087)	(130, 37.798148823267304)	(135, 37.83623364523838)	(140, 37.826426864341556)	(145, 37.87518937092396)	(150, 37.863827115485876)	(155, 37.81843075302791)	(160, 37.819807996111315)	(165, 37.82740308664479)	(170, 37.82311337951148)	(175, 37.82865880827966)	(180, 37.7802568153279)	(185, 37.770223194393814)	(190, 37.782521164985624)	(195, 37.73686960748572)	(200, 37.790079799084545)	(205, 37.804459837161254)	(210, 37.784250820269776)	(215, 37.74263377486126)	(220, 37.7652367642889)	(225, 37.78207153562604)	(230, 37.73131202657269)	(235, 37.695001417750234)	(240, 37.73363713695467)	(245, 37.76169238870661)	(250, 37.75286588082797)	(255, 37.679304897314374)	(260, 37.75874346822214)	(265, 37.73606351521043)	(270, 37.733017377567144)	(275, 37.71573702758538)	(280, 37.6749463280269)	(285, 37.692279337303034)	(290, 37.71693603921092)	(295, 37.71639324340747)	(300, 37.27850690646899)
1D_2	(1, 37.65732976870417)	(2, 37.81717098067809)	(3, 37.82910033620934)	(4, 37.82008749544295)	(5, 37.81508486247823)	(6, 37.778547413618504)	(7, 37.8831368736582)	(8, 37.769494065702595)	(9, 37.80372260704014)	(10, 37.79461659982987)	(15, 37.80760724267834)	(20, 37.80637177461822)	(25, 37.847802487138985)	(30, 37.870283955118076)	(35, 37.79582371288532)	(40, 37.82788512172399)	(45, 37.79615182079637)	(50, 37.814890428160574)	(55, 37.71825252157005)	(60, 37.75360311094908)	(65, 37.572094624701265)	(70, 37.688978004617816)	(75, 37.776582816867176)	(80, 37.77503544375582)	(85, 37.74006562158221)	(90, 37.754502369668245)	(95, 37.634479685664516)	(100, 37.75916474257706)	(105, 37.765313727872964)	(110, 37.71685907562685)	(115, 37.66699882529266)	(120, 37.764232186981005)	(125, 37.69639891440839)	(130, 37.62616761858468)	(135, 37.741191720338634)	(140, 37.75661684287277)	(145, 37.757665978045125)	(150, 37.76120225219752)	(155, 37.73705594037348)	(160, 37.70859156641147)	(165, 37.72562077206627)	(170, 37.72052092194273)	(175, 37.75116052983351)	(180, 37.698035403248674)	(185, 37.69533357637623)	(190, 37.699339733462956)	(195, 37.67045003443108)	(200, 37.70371855632519)	(205, 37.66034350062786)	(210, 37.514619030258835)	(215, 37.65597682991048)	(220, 37.68831773808077)	(225, 37.645408514602835)	(230, 37.64548952890185)	(235, 37.69788957751043)	(240, 37.617025154939846)	(245, 37.66040831206708)	(250, 37.62296755377324)	(255, 37.570559403734755)	(260, 37.65893790253979)	(265, 37.63446753351967)	(270, 37.5768299104792)	(275, 37.617045408514606)	(280, 37.57031231012273)	(285, 37.51780694292542)	(290, 37.490804877060796)	(295, 37.52735042735043)	(300, 36.969650018228215)
1Q_1	(1, 37.60366546171968)	(2, 37.15796919921862)	(3, 36.72025544010851)	(4, 37.73396847235652)	(5, 37.92413376858528)	(6, 37.59233420080864)	(7, 37.47390759765587)	(8, 37.92070713298332)	(9, 37.68558022415908)	(10, 37.79941721235406)	(15, 37.80044260709859)	(20, 37.84049790053671)	(25, 37.85425376572975)	(30, 37.85767780539565)	(35, 37.893792467891515)	(40, 37.919217065683675)	(45, 37.86267757825125)	(50, 37.8773368291939)	(55, 37.86572780312421)	(60, 37.915585351132805)	(65, 37.763821737070614)	(70, 37.78936574792163)	(75, 37.803103441562236)	(80, 37.76695503189757)	(85, 37.77693640605632)	(90, 37.74399397742833)	(95, 37.88464438920869)	(100, 37.83747363502437)	(105, 37.857934803065795)	(110, 37.86010500561371)	(115, 37.88568016769747)	(120, 37.86698942805039)	(125, 37.841725778294084)	(130, 37.80342533763394)	(135, 37.842958847923576)	(140, 37.833610882163974)	(145, 37.87880612900504)	(150, 37.871096198900624)	(155, 37.82555569256329)	(160, 37.82518187777035)	(165, 37.83389124325868)	(170, 37.83038672957485)	(175, 37.83893514702733)	(180, 37.787847125325314)	(185, 37.7764587538209)	(190, 37.78889847943045)	(195, 37.749593411514276)	(200, 37.792255024758745)	(205, 37.806275675430115)	(210, 37.79346213502761)	(215, 37.751431334246234)	(220, 37.774202885382934)	(225, 37.78227624653605)	(230, 37.74004555867789)	(235, 37.71158631162915)	(240, 37.74461440614718)	(245, 37.766235957608366)	(250, 37.76426045026511)	(255, 37.68644726680382)	(260, 37.76291575538495)	(265, 37.74112806401578)	(270, 37.73346486076048)	(275, 37.72227637633285)	(280, 37.682540383030364)	(285, 37.69916216163596)	(290, 37.72059940163673)	(295, 37.72266836267822)	(300, 37.3109866503988)
1Q_2	(1, 37.684853362061695)	(2, 37.83093966395608)	(3, 37.8439842426681)	(4, 37.82855140277895)	(5, 37.828097113968084)	(6, 37.80077488691454)	(7, 37.892424409586795)	(8, 37.77697015322513)	(9, 37.81526021014103)	(10, 37.822206935043184)	(15, 37.828844743553965)	(20, 37.827222283515155)	(25, 37.86202080642754)	(30, 37.886194163037764)	(35, 37.819488989986176)	(40, 37.85217442094402)	(45, 37.82179158527326)	(50, 37.84029801345993)	(55, 37.75083946082408)	(60, 37.77197038036953)	(65, 37.618020988143066)	(70, 37.71662761946173)	(75, 37.79791416537411)	(80, 37.80180287759513)	(85, 37.763972301362216)	(90, 37.77550864122217)	(95, 37.712292406238035)	(100, 37.78585863830174)	(105, 37.787701752905825)	(110, 37.75928404083407)	(115, 37.702477171987255)	(120, 37.77911699234848)	(125, 37.734934160571626)	(130, 37.67429309416109)	(135, 37.764561578848316)	(140, 37.775210108575024)	(145, 37.775236067935644)	(150, 37.7824164270834)	(155, 37.75569126532414)	(160, 37.73410086509569)	(165, 37.74788788152148)	(170, 37.737228968050516)	(175, 37.76565446793046)	(180, 37.72363145495727)	(185, 37.71718834165115)	(190, 37.72389104856347)	(195, 37.70001103272826)	(200, 37.73042501963177)	(205, 37.68969737875356)	(210, 37.55745779981439)	(215, 37.68669388072972)	(220, 37.71281418938651)	(225, 37.66962040924932)	(230, 37.67021228267147)	(235, 37.71962073374133)	(240, 37.650096374126306)	(245, 37.677685982594255)	(250, 37.653294567354806)	(255, 37.60146670387508)	(260, 37.678161038893606)	(265, 37.657878990440466)	(270, 37.60258036044572)	(275, 37.6403719976377)	(280, 37.595716705497544)	(285, 37.54139933933427)	(290, 37.51898602737414)	(295, 37.561767053677464)	(300, 36.9488795290972)
1Z_1	(1, 37.58712277597562)	(2, 37.16815098790917)	(3, 36.721753661653395)	(4, 37.74858940332252)	(5, 37.91609161505947)	(6, 37.615452668829256)	(7, 37.5076575248206)	(8, 37.932193060060946)	(9, 37.679288312198956)	(10, 37.807749926275434)	(15, 37.79194731151086)	(20, 37.84097119826994)	(25, 37.85156001179593)	(30, 37.85306595891085)	(35, 37.890958419345324)	(40, 37.9146996952718)	(45, 37.85310921065566)	(50, 37.87169173301877)	(55, 37.860296864248504)	(60, 37.90720927946525)	(65, 37.78020642878207)	(70, 37.83410989875159)	(75, 37.84446672564632)	(80, 37.81585373046299)	(85, 37.8126491693699)	(90, 37.776785608964914)	(95, 37.89610537697828)	(100, 37.8450132704217)	(105, 37.858783053179984)	(110, 37.859946918313184)	(115, 37.88072741570825)	(120, 37.8638395753465)	(125, 37.834239653986046)	(130, 37.80165143025656)	(135, 37.83799469183132)	(140, 37.82955273763885)	(145, 37.87552541040007)	(150, 37.86543988990465)	(155, 37.821893246829845)	(160, 37.818279760149416)	(165, 37.8291280841443)	(170, 37.82279366951735)	(175, 37.83384645630591)	(180, 37.78113044333038)	(185, 37.77366755136144)	(190, 37.785329794554215)	(195, 37.73679347291851)	(200, 37.78866017890495)	(205, 37.801270028506835)	(210, 37.78304924800943)	(215, 37.750016710901406)	(220, 37.77553524034208)	(225, 37.78387103116092)	(230, 37.73601494151184)	(235, 37.70159441659294)	(240, 37.74182640322422)	(245, 37.76426619482945)	(250, 37.76163963432616)	(255, 37.68072348373145)	(260, 37.75979160522952)	(265, 37.72880762803499)	(270, 37.73634129558636)	(275, 37.71394475572594)	(280, 37.67728693600708)	(285, 37.69610930895508)	(290, 37.71367344932665)	(295, 37.71073626265605)	(300, 37.314371375208886)
1Z_2	(1, 37.58319079917428)	(2, 37.808689668730956)	(3, 37.80808021232675)	(4, 37.80060945640421)	(5, 37.784114813722596)	(6, 37.73003047282021)	(7, 37.88158851862774)	(8, 37.72218617910154)	(9, 37.78566794455913)	(10, 37.76393590877814)	(15, 37.77209869261772)	(20, 37.77451292637373)	(25, 37.825483141649464)	(30, 37.86391821488253)	(35, 37.77154428388873)	(40, 37.80414823552541)	(45, 37.77017202398506)	(50, 37.79393689177234)	(55, 37.68388872505652)	(60, 37.72622038729971)	(65, 37.5147114912022)	(70, 37.64389265703332)	(75, 37.7482119335496)	(80, 37.749595989383664)	(85, 37.70721321144206)	(90, 37.73306202693404)	(95, 37.68844588616927)	(100, 37.747669320751)	(105, 37.74275434974934)	(110, 37.71416887840361)	(115, 37.62879779809299)	(120, 37.735275729873194)	(125, 37.668935417281034)	(130, 37.612523346112255)	(135, 37.71554113830728)	(140, 37.73015236410105)	(145, 37.73180772633441)	(150, 37.73802811363413)	(155, 37.706619482945044)	(160, 37.6785373046299)	(165, 37.69275926472034)	(170, 37.682555784920865)	(175, 37.71587142435859)	(180, 37.662203872997154)	(185, 37.66145679740489)	(190, 37.66207411776271)	(195, 37.64515875356336)	(200, 37.67048854811756)	(205, 37.626084734100075)	(210, 37.472010223139684)	(215, 37.628809594023394)	(220, 37.65536223336282)	(225, 37.60929126118156)	(230, 37.606220387299715)	(235, 37.66281332940136)	(240, 37.58138208984567)	(245, 37.613663619384646)	(250, 37.58285264916937)	(255, 37.526656836724655)	(260, 37.62582522363118)	(265, 37.59521085225597)	(270, 37.53288115600118)	(275, 37.57544087289885)	(280, 37.520872898849895)	(285, 37.477758773223236)	(290, 37.45652216651921)	(295, 37.48803696058193)	(300, 36.94810773616436)
2D_1	(1, 37.64641087143657)	(2, 37.16540329118367)	(3, 36.8487543145596)	(4, 37.71821851520647)	(5, 37.926855156159895)	(6, 37.62120465011324)	(7, 37.54829381628542)	(8, 37.92384645600194)	(9, 37.663426742329904)	(10, 37.804100189715264)	(15, 37.79873467443357)	(20, 37.84392535080608)	(25, 37.8514170141994)	(30, 37.855097657392626)	(35, 37.89184391532181)	(40, 37.9139277744812)	(45, 37.86456503388966)	(50, 37.87823790460749)	(55, 37.86248903078067)	(60, 37.91216601338871)	(65, 37.684380667429984)	(70, 37.63913316005449)	(75, 37.66904298262476)	(80, 37.57345657860647)	(85, 37.53515248259551)	(90, 37.50425647497347)	(95, 37.763165152566174)	(100, 37.69867867918064)	(105, 37.78111372050847)	(110, 37.803775918698236)	(115, 37.87916725865628)	(120, 37.863729283845785)	(125, 37.83865343952931)	(130, 37.80773403090604)	(135, 37.83857989352545)	(140, 37.83491596533308)	(145, 37.878080783599245)	(150, 37.87199986627999)	(155, 37.827277209932056)	(160, 37.82488027880622)	(165, 37.836172933399084)	(170, 37.831044771129854)	(175, 37.838151989502975)	(180, 37.78446006368416)	(185, 37.7853961037333)	(190, 37.795167693246306)	(195, 37.75260461501175)	(200, 37.798898481442166)	(205, 37.81272513016807)	(210, 37.796234110302294)	(215, 37.75100666092785)	(220, 37.77510634919308)	(225, 37.78498825771188)	(230, 37.73898523229672)	(235, 37.703947247457236)	(240, 37.74209756546013)	(245, 37.76967731690806)	(250, 37.76001270340067)	(255, 37.68833543663761)	(260, 37.763609771589515)	(265, 37.7383199752618)	(270, 37.73965048933165)	(275, 37.72511178156837)	(280, 37.68649010054073)	(285, 37.70018971525996)	(290, 37.71956240127703)	(295, 37.728284288734926)	(300, 37.2732819068473)
2D_2	(1, 37.62264214018871)	(2, 37.814597210266356)	(3, 37.81822436545678)	(4, 37.804267339724035)	(5, 37.807042029869706)	(6, 37.72856510074967)	(7, 37.893976749433776)	(8, 37.744193626570166)	(9, 37.799871294493244)	(10, 37.77671433227751)	(15, 37.78910683392811)	(20, 37.79943336147026)	(25, 37.84148496067796)	(30, 37.86995729317276)	(35, 37.79555548126666)	(40, 37.82787560696347)	(45, 37.79562568427035)	(50, 37.81645591836393)	(55, 37.718639733228585)	(60, 37.75351725405965)	(65, 37.59062622750788)	(70, 37.69858173217555)	(75, 37.77438760415536)	(80, 37.77702523129383)	(85, 37.740492925375875)	(90, 37.752236884992435)	(95, 37.62619574937527)	(100, 37.75168863296365)	(105, 37.76568911769868)	(110, 37.672854002824835)	(115, 37.665542861441004)	(120, 37.7564457222134)	(125, 37.68579475650422)	(130, 37.610774489565664)	(135, 37.736798910181946)	(140, 37.748857111815)	(145, 37.755573199167586)	(150, 37.756713162227435)	(155, 37.729410879794074)	(160, 37.70884474271435)	(165, 37.71911778225369)	(170, 37.71551402806449)	(175, 37.74532690362966)	(180, 37.69291868987823)	(185, 37.69380124192456)	(190, 37.69145779880154)	(195, 37.66751188854438)	(200, 37.7009218322984)	(205, 37.65761995102505)	(210, 37.49301062238305)	(215, 37.646337325432704)	(220, 37.676554704019125)	(225, 37.632818232722954)	(230, 37.63254744970874)	(235, 37.68552731649019)	(240, 37.61033655654267)	(245, 37.64260319423666)	(250, 37.61372301572046)	(255, 37.558673831830376)	(260, 37.64280043124702)	(265, 37.61954652202619)	(270, 37.569381461392524)	(275, 37.59986293699281)	(280, 37.55703910474456)	(285, 37.498743867684055)	(290, 37.46543087093512)	(295, 37.504470426984696)	(300, 36.920846113344425)
2Q_1	(1, 37.65869300238241)	(2, 37.046013629563966)	(3, 36.604216300072025)	(4, 37.735483960330214)	(5, 37.92325059560086)	(6, 37.579187212587954)	(7, 37.472228378303505)	(8, 37.92463571388997)	(9, 37.6688736218073)	(10, 37.776289545127156)	(15, 37.78412931464347)	(20, 37.82743088259737)	(25, 37.84217962213974)	(30, 37.845490054850686)	(35, 37.885121059338466)	(40, 37.910368995512215)	(45, 37.84849576153804)	(50, 37.86339963432877)	(55, 37.85414704415757)	(60, 37.90419136794282)	(65, 37.57789905257909)	(70, 37.473092692115905)	(75, 37.48537592110367)	(80, 37.39248988863649)	(85, 37.42330323009585)	(90, 37.38386614216854)	(95, 37.777059670895895)	(100, 37.75748240899773)	(105, 37.80253476646905)	(110, 37.82008698542855)	(115, 37.87532273256136)	(120, 37.85866252978005)	(125, 37.83259183334256)	(130, 37.796143830683135)	(135, 37.83632888248657)	(140, 37.82866917834782)	(145, 37.87501800653776)	(150, 37.86772397362735)	(155, 37.814906643027314)	(160, 37.82112859438196)	(165, 37.830192808465846)	(170, 37.82547232533658)	(175, 37.832483794116015)	(180, 37.779245387556095)	(185, 37.77021995678432)	(190, 37.78589395534379)	(195, 37.74359521303119)	(200, 37.78817108981107)	(205, 37.805025209152866)	(210, 37.787761094797496)	(215, 37.74795002493213)	(220, 37.78081611169594)	(225, 37.77921768519031)	(230, 37.735212477145545)	(235, 37.704232921491496)	(240, 37.74445398637044)	(245, 37.76350767355532)	(250, 37.7603579145659)	(255, 37.685863482741425)	(260, 37.75811125270098)	(265, 37.7370740761261)	(270, 37.73330101390659)	(275, 37.71934179178902)	(280, 37.684672281012794)	(285, 37.69640423292149)	(290, 37.71549116294531)	(295, 37.719050916948305)	(300, 37.30825114964818)
2Q_2	(1, 37.75297800432157)	(2, 37.8194082774669)	(3, 37.862222283783034)	(4, 37.84759543465012)	(5, 37.83884148706299)	(6, 37.84028201008366)	(7, 37.87503462795723)	(8, 37.81156850795058)	(9, 37.809006039115744)	(10, 37.835677876890685)	(15, 37.84867028644246)	(20, 37.84538755609729)	(25, 37.87222560806693)	(30, 37.88258629286942)	(35, 37.83358634827415)	(40, 37.866441354091634)	(45, 37.837118399911354)	(50, 37.84819380575101)	(55, 37.77646684026816)	(60, 37.78752562468834)	(65, 37.65375367056347)	(70, 37.73960607235858)	(75, 37.808255305003044)	(80, 37.8054268934567)	(85, 37.78020111917557)	(90, 37.78761981273201)	(95, 37.592728128982216)	(100, 37.77776885145992)	(105, 37.796110587844204)	(110, 37.74978392154689)	(115, 37.715953792453874)	(120, 37.79033464457864)	(125, 37.74550667627015)	(130, 37.68916006426949)	(135, 37.77863593550889)	(140, 37.78564186381517)	(145, 37.79253144218516)	(150, 37.790836057399304)	(155, 37.77064380298077)	(160, 37.74659814948196)	(165, 37.75762646129979)	(170, 37.75144329325724)	(175, 37.77930633276081)	(180, 37.74161726411436)	(185, 37.73654219070309)	(190, 37.7410909191645)	(195, 37.71706188708516)	(200, 37.73843980275916)	(205, 37.70926367111751)	(210, 37.585580918610454)	(215, 37.70406116682365)	(220, 37.72794614660093)	(225, 37.68665854063937)	(230, 37.688173860047655)	(235, 37.73261122499862)	(240, 37.66311984043437)	(245, 37.699493046706195)	(250, 37.67081555764862)	(255, 37.62179068092415)	(260, 37.70196409773395)	(265, 37.6821679871461)	(270, 37.62715939941271)	(275, 37.66241343010693)	(280, 37.62518976120561)	(285, 37.571430550168984)	(290, 37.55117181007258)	(295, 37.586495096681254)	(300, 36.9998476369882)
