Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
1D_1	98.69566978571719	49.0	301.0	301	36.36363636363637	0.098748
1D_2	98.73820229270466	50.0	301.0	301	36.36363636363637	0.098748
1Q_1	99.07519777787873	49.0	301.0	301	36.36363636363637	0.154087
1Q_2	99.00380953617112	49.0	301.0	301	36.36363636363637	0.154087
1Z_1	98.94917919984272	49.0	301.0	301	36.36363636363637	0.10173
1Z_2	98.89904649562567	49.0	301.0	301	36.36363636363637	0.10173
2D_1	98.77311893558874	49.0	301.0	301	36.36363636363637	0.119653
2D_2	98.80989193751932	50.0	301.0	301	36.36363636363637	0.119653
2Q_1	98.88151698155022	50.0	301.0	301	36.36363636363637	0.144392
2Q_2	98.90991190647681	50.0	301.0	301	36.36363636363637	0.144392
2Z_1	98.96385774520718	49.0	301.0	301	36.36363636363637	0.114077
2Z_2	98.92704050772724	49.0	301.0	301	36.36363636363637	0.114077
3D_1	98.89542033023662	49.0	301.0	301	36.36363636363637	0.140687
3D_2	98.90252830751953	50.0	301.0	301	36.36363636363637	0.140687
3Q_1	98.8612934195823	49.0	301.0	301	36.36363636363637	0.127074
3Q_2	98.85106316004848	50.0	301.0	301	36.36363636363637	0.127074
3Z_1	99.08458467971869	49.0	301.0	301	36.36363636363637	0.131525
3Z_2	99.00247101311538	49.0	301.0	301	36.36363636363637	0.131525
4D_1	98.73341249505239	50.0	301.0	301	36.36363636363637	0.144009
4D_2	98.8264622349992	50.0	301.0	301	36.36363636363637	0.144009
4Q_1	98.4355779001979	51.0	301.0	301	36.36363636363637	0.11218199999999999
4Q_2	98.57998609402578	52.0	301.0	301	36.36363636363637	0.11218199999999999
4Z_1	98.99155171436209	49.0	301.0	301	36.36363636363637	0.123457
4Z_2	98.94214179835895	49.0	301.0	301	36.36363636363637	0.123457
ST1D_1	98.82543830679322	50.0	301.0	301	36.36363636363637	0.139286
ST1D_2	98.90297660927875	51.0	301.0	301	36.36363636363637	0.139286
ST1Q_1	98.901634293657	50.0	301.0	301	36.36363636363637	0.139571
ST1Q_2	98.96826704687936	50.0	301.0	301	36.36363636363637	0.139571
ST1Z_1	98.9599587810982	49.0	301.0	301	36.36363636363637	0.13585999999999998
ST1Z_2	98.92242013837775	50.0	301.0	301	36.36363636363637	0.13585999999999998
ST2D_1	98.87622172873732	50.0	301.0	301	36.36363636363637	0.141398
ST2D_2	98.93704295676035	50.0	301.0	301	36.36363636363637	0.141398
ST2Q_1	98.75606796116504	50.0	301.0	301	36.36363636363637	0.125248
ST2Q_2	98.88620975983649	50.0	301.0	301	36.36363636363637	0.125248
ST2Z_1	98.93597621407334	49.0	301.0	301	36.36363636363637	0.126125
ST2Z_2	99.01288404360753	50.0	301.0	301	36.36363636363637	0.126125
ST3D_1	98.86266857116033	50.0	301.0	301	36.36363636363637	0.149121
ST3D_2	99.01958811971487	50.0	301.0	301	36.36363636363637	0.149121
ST3Q_1	98.816395719609	50.0	301.0	301	36.36363636363637	0.133913
ST3Q_2	98.91496718018415	50.0	301.0	301	36.36363636363637	0.133913
ST3Z_1	99.06009535641574	49.0	301.0	301	36.36363636363637	0.153739
ST3Z_2	99.09326846148342	50.0	301.0	301	36.36363636363637	0.153739
ST4D_1	98.95498918954334	50.0	301.0	301	36.36363636363637	0.15263
ST4D_2	99.01330013758763	50.0	301.0	301	36.36363636363637	0.15263
ST4Q_1	98.95306522347671	49.0	301.0	301	36.36363636363637	0.16075499999999998
ST4Q_2	99.03642188423377	50.0	301.0	301	36.36363636363637	0.16075499999999998
ST4Z_1	99.10485857242536	49.0	301.0	301	36.36363636363637	0.167683
ST4Z_2	99.0929313049027	50.0	301.0	301	36.36363636363637	0.167683
STD_1	98.58148379814364	49.0	301.0	301	36.36363636363637	0.139089
STD_2	98.59226825989114	49.0	301.0	301	36.36363636363637	0.139089
STQ_1	98.48572695337812	51.0	301.0	301	36.36363636363637	0.14660499999999999
STQ_2	98.5075543126087	52.0	301.0	301	36.36363636363637	0.14660499999999999
STZ_1	98.52860791254088	54.0	301.0	301	36.36363636363637	0.111595
STZ_2	98.43182938303687	55.0	301.0	301	36.36363636363637	0.111595
