run_id	sample_id	Xaxis	DNA_kit	replicate	matrix_type	taxonomy_method	BLAST	Trimm	Paired	Method	Species2	relative_abundance
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Ascomycota_p	0.45736031046305714
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Fungi_k	0.13831430616781584
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Cutaneotrichosporon_debeurmannianum	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Irpex_hacksungii	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Peniophoraceae_f	0.0455069515089861
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Kazachstania_servazzii	0.0012433593308466147
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Debaryomyces_delbrueckii	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Irpex_laceratus	0.053713123092573756
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Cladosporium_angustisporum	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Saccharomyces_cerevisiae	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Mucor_circinelloides	0.0039712143476131265
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Stereaceae_f	0.018333898496665536
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Penicillium_patris-mei	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Bjerkandera_adusta	0.016427414189367395
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Schizophyllum_commune	0.012109566331336422
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Bullera_alba	0.02048151915903696
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Tilletiopsis_washingtonensis	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Candolleomyces_subminutisporus	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Aspergillus_ruber	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Rhizoplaca_novomexicana	0.002644964394710071
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Other	0.22989337251799102
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Ascomycota_p	0.400007535511096
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Fungi_k	0.13831430616781584
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Cutaneotrichosporon_debeurmannianum	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Irpex_hacksungii	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Peniophoraceae_f	0.0455069515089861
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Kazachstania_servazzii	0.0012433593308466147
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Debaryomyces_delbrueckii	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Irpex_laceratus	0.053713123092573756
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Cladosporium_angustisporum	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Saccharomyces_cerevisiae	0
