run_id	sample_id	preprocess_method	read_strategy	total_reads
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	Cutadapt	PE	132705
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	Cutadapt	PE	141560
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	Cutadapt	PE	103070
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	STD	ITSxpress	PE	60780
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	STQ	ITSxpress	PE	71319
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	STZ	ITSxpress	PE	39133
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	STD	Cutadapt	SE	134496
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	STQ	Cutadapt	SE	142060
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	STZ	Cutadapt	SE	105551
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	STD	ITSxpress	SE	60883
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	STQ	ITSxpress	SE	71433
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	STZ	ITSxpress	SE	41032
