DNA_kit	Trimm	Paired	taxon_method_set	n_taxa	total_reads	median_sequence_length	median_blast_pident	median_blast_qcovus	pct_taxa	pct_reads
DNeasy	Cutadapt	PE	Cutadapt only	7	59070	382	NA	NA	21.21212121212121	44.51226404430881
DNeasy	Cutadapt	PE	Shared	26	73635	296.5	99.6445	100	78.78787878787878	55.4877359556912
DNeasy	Cutadapt	SE	Cutadapt only	5	57157	297	NA	NA	15.625	42.49717463716393
DNeasy	Cutadapt	SE	Shared	27	77339	228	100	100	84.375	57.50282536283608
DNeasy	ITSxpress	PE	ITSxpress only	2	3321	217	NA	NA	7.142857142857142	5.463968410661401
DNeasy	ITSxpress	PE	Shared	26	57459	200	100	100	92.85714285714286	94.53603158933859
DNeasy	ITSxpress	SE	ITSxpress only	1	1989	173	NA	NA	3.571428571428571	3.2669218008311027
DNeasy	ITSxpress	SE	Shared	27	58894	173	100	100	96.42857142857143	96.7330781991689
QIAamp	Cutadapt	PE	Cutadapt only	5	44625	394	NA	NA	12.195121951219512	31.523735518508055
QIAamp	Cutadapt	PE	Shared	36	96935	294.5	99.911	100	87.8048780487805	68.47626448149194
QIAamp	Cutadapt	SE	Cutadapt only	5	52174	301	99.6	100	12.195121951219512	36.726735182317334
QIAamp	Cutadapt	SE	Shared	36	89886	228	100	100	87.8048780487805	63.27326481768267
QIAamp	ITSxpress	PE	ITSxpress only	1	80	154	100	100	2.7027027027027026	0.11217207195838416
QIAamp	ITSxpress	PE	Shared	36	71239	199	100	100	97.2972972972973	99.88782792804162
QIAamp	ITSxpress	SE	ITSxpress only	1	83	154	100	100	2.7027027027027026	0.1161927960466451
QIAamp	ITSxpress	SE	Shared	36	71350	173	100	100	97.2972972972973	99.88380720395335
Zymo	Cutadapt	PE	Cutadapt only	5	67650	368	NA	NA	33.33333333333333	65.63500533617929
Zymo	Cutadapt	PE	Shared	10	35420	304.5	99.644	100	66.66666666666666	34.3649946638207
Zymo	Cutadapt	SE	Cutadapt only	5	21118	301	99.6	100	33.33333333333333	20.007389792612102
Zymo	Cutadapt	SE	Shared	10	84433	228	99.7805	100	66.66666666666666	79.9926102073879
Zymo	ITSxpress	PE	ITSxpress only	1	137	154	100	100	9.090909090909092	0.3500881608872307
Zymo	ITSxpress	PE	Shared	10	38996	196	99.79899999999999	100	90.9090909090909	99.64991183911278
Zymo	ITSxpress	SE	ITSxpress only	1	137	154	100	100	9.090909090909092	0.33388574770910506
Zymo	ITSxpress	SE	Shared	10	40895	171.5	99.8555	100	90.9090909090909	99.6661142522909
