DNA_kit	Trimm	Paired	n_sample	n_asv	n_sequence	total_reads	median_sequence_length	mean_sequence_length	median_blast_pident	median_blast_qcovus	median_blast_alignment_length	pct_qiime_species_resolved_asv	pct_qiime_genus_resolved_asv	pct_blast_cutoff_pass_asv	pct_blast_ambiguous_asv
DNeasy	Cutadapt	PE	1	135	135	132705	304	321.57037037037037	99.644	100	281	23.703703703703706	25.185185185185183	11.11111111111111	46.666666666666664
DNeasy	Cutadapt	SE	1	144	144	134496	295.5	254.88888888888889	100	100	228	17.36111111111111	20.833333333333336	11.11111111111111	37.5
DNeasy	ITSxpress	PE	1	41	41	60780	200	199.5609756097561	100	100	174.5	58.536585365853654	75.60975609756098	34.146341463414636	35.714285714285715
DNeasy	ITSxpress	SE	1	39	39	60883	173	170.69230769230768	100	100	172	58.97435897435898	71.7948717948718	38.46153846153847	33.33333333333333
QIAamp	Cutadapt	PE	1	151	151	141560	301	321.841059602649	99.833	100	281	25.165562913907287	29.80132450331126	15.894039735099339	33.33333333333333
QIAamp	Cutadapt	SE	1	146	146	142060	263	257.4109589041096	100	100	228	21.91780821917808	27.397260273972602	15.068493150684931	31.818181818181817
QIAamp	ITSxpress	PE	1	50	50	71319	194.5	189.48	100	100	170	57.99999999999999	80	42	42.857142857142854
QIAamp	ITSxpress	SE	1	50	50	71433	173	167.9	100	100	170	62	78	42	47.61904761904761
Zymo	Cutadapt	PE	1	77	77	103070	375	334.6623376623377	99.644	100	281	18.181818181818183	20.77922077922078	12.987012987012985	20
Zymo	Cutadapt	SE	1	80	80	105551	301	267.5125	99.8	100	228	15	16.25	12.5	20
Zymo	ITSxpress	PE	1	17	17	39133	208	203.2941176470588	100	100	184	88.23529411764706	94.11764705882352	52.94117647058824	33.33333333333333
Zymo	ITSxpress	SE	1	17	17	41032	173	167.58823529411765	100	100	173	64.70588235294117	70.58823529411765	52.94117647058824	33.33333333333333
