DNA_kit	Paired	taxonomic_rank	taxon	detected_by_cutadapt	detected_by_itsxpress	taxon_method_set	Trimm	qiime_resolution	total_reads
DNeasy	PE	Genus	Agaricomycetes_c	TRUE	FALSE	Cutadapt only	Cutadapt	Class	2264
DNeasy	PE	Genus	Ascomycota_p	TRUE	FALSE	Cutadapt only	Cutadapt	Phylum	53083
DNeasy	PE	Genus	Ceratobasidiaceae_f	TRUE	FALSE	Cutadapt only	Cutadapt	Family	1551
DNeasy	PE	Genus	Hydnoporia	TRUE	FALSE	Cutadapt only	Cutadapt	Species	1775
DNeasy	PE	Genus	Hymenochaetopsis	FALSE	TRUE	ITSxpress only	ITSxpress	Species	1773
DNeasy	PE	Genus	Lecanorales_o	TRUE	FALSE	Cutadapt only	Cutadapt	Order	40
DNeasy	PE	Genus	Lecanoromycetes_c	TRUE	FALSE	Cutadapt only	Cutadapt	Class	6
DNeasy	PE	Genus	Rhizoplaca	TRUE	FALSE	Cutadapt only	Cutadapt	Species	351
DNeasy	PE	Genus	Thanatephorus	FALSE	TRUE	ITSxpress only	ITSxpress	Genus	1548
DNeasy	PE	Species	Agaricomycetes_c	TRUE	FALSE	Cutadapt only	Cutadapt	Class	2264
DNeasy	PE	Species	Ascomycota_p	TRUE	FALSE	Cutadapt only	Cutadapt	Phylum	53083
DNeasy	PE	Species	Ceratobasidiaceae_f	TRUE	FALSE	Cutadapt only	Cutadapt	Family	1551
DNeasy	PE	Species	Cladosporium_angustisporum	FALSE	TRUE	ITSxpress only	ITSxpress	Genus	7219
DNeasy	PE	Species	Cladosporium_colombiae	TRUE	FALSE	Cutadapt only	Cutadapt	Phylum	7460
DNeasy	PE	Species	Cladosporium_ossifragi	TRUE	FALSE	Cutadapt only	Cutadapt	Phylum	151
DNeasy	PE	Species	Coprinopsis_g	FALSE	TRUE	ITSxpress only	ITSxpress	Genus	887
DNeasy	PE	Species	Coprinopsis_urticicola	TRUE	FALSE	Cutadapt only	Cutadapt	Species	890
DNeasy	PE	Species	Hydnoporia_yasudae	TRUE	FALSE	Cutadapt only	Cutadapt	Species	1775
DNeasy	PE	Species	Hymenochaetopsis_yasudae	FALSE	TRUE	ITSxpress only	ITSxpress	Species	1773
