DNA_kit	Paired	taxonomic_rank	taxon_method_set	qiime_resolution	n_taxa	total_taxa	pct_taxa
DNeasy	PE	Genus	Cutadapt only	Species	2	7	28.57142857142857
DNeasy	PE	Genus	Cutadapt only	Family	1	7	14.285714285714285
DNeasy	PE	Genus	Cutadapt only	Order	1	7	14.285714285714285
DNeasy	PE	Genus	Cutadapt only	Class	2	7	28.57142857142857
DNeasy	PE	Genus	Cutadapt only	Phylum	1	7	14.285714285714285
DNeasy	PE	Genus	ITSxpress only	Species	1	2	50
DNeasy	PE	Genus	ITSxpress only	Genus	1	2	50
DNeasy	SE	Genus	Cutadapt only	Species	2	5	40
DNeasy	SE	Genus	Cutadapt only	Family	1	5	20
DNeasy	SE	Genus	Cutadapt only	Class	1	5	20
DNeasy	SE	Genus	Cutadapt only	Phylum	1	5	20
DNeasy	SE	Genus	ITSxpress only	Family	1	1	100
DNeasy	PE	Species	Cutadapt only	Species	5	12	41.66666666666667
DNeasy	PE	Species	Cutadapt only	Family	1	12	8.333333333333332
DNeasy	PE	Species	Cutadapt only	Order	1	12	8.333333333333332
DNeasy	PE	Species	Cutadapt only	Class	2	12	16.666666666666664
DNeasy	PE	Species	Cutadapt only	Phylum	3	12	25
DNeasy	PE	Species	ITSxpress only	Species	3	7	42.857142857142854
DNeasy	PE	Species	ITSxpress only	Genus	4	7	57.14285714285714
DNeasy	SE	Species	Cutadapt only	Species	3	8	37.5
DNeasy	SE	Species	Cutadapt only	Genus	1	8	12.5
DNeasy	SE	Species	Cutadapt only	Family	1	8	12.5
DNeasy	SE	Species	Cutadapt only	Class	1	8	12.5
DNeasy	SE	Species	Cutadapt only	Phylum	1	8	12.5
DNeasy	SE	Species	Cutadapt only	Kingdom	1	8	12.5
DNeasy	SE	Species	ITSxpress only	Species	1	2	50
DNeasy	SE	Species	ITSxpress only	Family	1	2	50
QIAamp	PE	Genus	Cutadapt only	Species	1	5	20
QIAamp	PE	Genus	Cutadapt only	Genus	1	5	20
QIAamp	PE	Genus	Cutadapt only	Family	1	5	20
QIAamp	PE	Genus	Cutadapt only	Class	1	5	20
QIAamp	PE	Genus	Cutadapt only	Phylum	1	5	20
QIAamp	PE	Genus	ITSxpress only	Species	1	1	100
QIAamp	SE	Genus	Cutadapt only	Species	1	5	20
QIAamp	SE	Genus	Cutadapt only	Genus	1	5	20
QIAamp	SE	Genus	Cutadapt only	Family	1	5	20
QIAamp	SE	Genus	Cutadapt only	Order	1	5	20
QIAamp	SE	Genus	Cutadapt only	Phylum	1	5	20
QIAamp	SE	Genus	ITSxpress only	Species	1	1	100
QIAamp	PE	Species	Cutadapt only	Species	7	19	36.84210526315789
QIAamp	PE	Species	Cutadapt only	Genus	5	19	26.31578947368421
QIAamp	PE	Species	Cutadapt only	Family	1	19	5.263157894736842
QIAamp	PE	Species	Cutadapt only	Class	2	19	10.526315789473683
QIAamp	PE	Species	Cutadapt only	Phylum	3	19	15.789473684210526
QIAamp	PE	Species	Cutadapt only	Kingdom	1	19	5.263157894736842
QIAamp	PE	Species	ITSxpress only	Species	5	13	38.46153846153847
QIAamp	PE	Species	ITSxpress only	Genus	6	13	46.15384615384615
QIAamp	PE	Species	ITSxpress only	Order	1	13	7.6923076923076925
QIAamp	PE	Species	ITSxpress only	Phylum	1	13	7.6923076923076925
QIAamp	SE	Species	Cutadapt only	Species	3	9	33.33333333333333
QIAamp	SE	Species	Cutadapt only	Genus	3	9	33.33333333333333
QIAamp	SE	Species	Cutadapt only	Family	1	9	11.11111111111111
QIAamp	SE	Species	Cutadapt only	Order	1	9	11.11111111111111
QIAamp	SE	Species	Cutadapt only	Phylum	1	9	11.11111111111111
QIAamp	SE	Species	ITSxpress only	Species	2	4	50
QIAamp	SE	Species	ITSxpress only	Genus	2	4	50
Zymo	PE	Genus	Cutadapt only	Family	1	5	20
Zymo	PE	Genus	Cutadapt only	Order	1	5	20
Zymo	PE	Genus	Cutadapt only	Class	1	5	20
Zymo	PE	Genus	Cutadapt only	Phylum	1	5	20
Zymo	PE	Genus	Cutadapt only	Kingdom	1	5	20
Zymo	PE	Genus	ITSxpress only	Species	1	1	100
Zymo	SE	Genus	Cutadapt only	Species	1	5	20
Zymo	SE	Genus	Cutadapt only	Family	1	5	20
Zymo	SE	Genus	Cutadapt only	Order	1	5	20
Zymo	SE	Genus	Cutadapt only	Class	1	5	20
Zymo	SE	Genus	Cutadapt only	Kingdom	1	5	20
Zymo	SE	Genus	ITSxpress only	Species	1	1	100
Zymo	PE	Species	Cutadapt only	Species	1	7	14.285714285714285
Zymo	PE	Species	Cutadapt only	Family	1	7	14.285714285714285
Zymo	PE	Species	Cutadapt only	Order	1	7	14.285714285714285
Zymo	PE	Species	Cutadapt only	Class	1	7	14.285714285714285
Zymo	PE	Species	Cutadapt only	Phylum	2	7	28.57142857142857
Zymo	PE	Species	Cutadapt only	Kingdom	1	7	14.285714285714285
Zymo	PE	Species	ITSxpress only	Species	2	3	66.66666666666666
Zymo	PE	Species	ITSxpress only	Phylum	1	3	33.33333333333333
Zymo	SE	Species	Cutadapt only	Species	1	5	20
Zymo	SE	Species	Cutadapt only	Family	1	5	20
Zymo	SE	Species	Cutadapt only	Order	1	5	20
Zymo	SE	Species	Cutadapt only	Class	1	5	20
Zymo	SE	Species	Cutadapt only	Kingdom	1	5	20
Zymo	SE	Species	ITSxpress only	Species	1	1	100
