Trimm	Paired	qiime_resolution	n_asv	total_reads	pct_asv	pct_reads
Cutadapt	PE	Species	72	107853	24.242424242424242	28.58282428081148
Cutadapt	PE	Genus	11	13990	3.7037037037037033	3.7075807969046073
Cutadapt	PE	Family	11	20468	3.7037037037037033	5.424357666264725
Cutadapt	PE	Order	9	5764	3.0303030303030303	1.5275550903043715
Cutadapt	PE	Class	6	3951	2.0202020202020203	1.047080180741251
Cutadapt	PE	Phylum	93	170710	31.313131313131315	45.24096625014907
Cutadapt	PE	Kingdom	95	54599	31.986531986531986	14.469635734824493
Cutadapt	SE	Species	54	117597	18.493150684931507	30.775934489553975
Cutadapt	SE	Genus	14	15966	4.794520547945205	4.178410759289937
Cutadapt	SE	Family	11	21204	3.767123287671233	5.549230974569951
Cutadapt	SE	Order	5	5321	1.7123287671232876	1.3925418796305746
Cutadapt	SE	Class	3	1562	1.0273972602739725	0.40878602066960307
Cutadapt	SE	Phylum	63	157835	21.575342465753426	41.30649268398642
Cutadapt	SE	Kingdom	142	62622	48.63013698630137	16.388603192299538
ITSxpress	PE	Species	58	102916	63.04347826086957	60.10325172864886
ITSxpress	PE	Genus	16	33257	17.391304347826086	19.4221874415997
ITSxpress	PE	Family	8	18666	8.695652173913043	10.900999813119043
ITSxpress	PE	Order	5	6832	5.434782608695652	3.989908428331153
ITSxpress	PE	Phylum	1	4699	1.0869565217391304	2.7442300504578583
ITSxpress	PE	Kingdom	4	4862	4.3478260869565215	2.8394225378433937
ITSxpress	SE	Species	52	106568	58.42696629213483	61.47633661767081
ITSxpress	SE	Genus	13	24053	14.606741573033707	13.875556683665227
ITSxpress	SE	Family	10	20619	11.235955056179774	11.894570459422663
ITSxpress	SE	Order	5	6836	5.617977528089887	3.943512472021598
ITSxpress	SE	Phylum	5	10408	5.617977528089887	6.004107344763136
ITSxpress	SE	Kingdom	4	4864	4.49438202247191	2.805916422456561
