DNA_kit	Trimm	Paired	taxon_method_set	n_taxa	total_reads	median_sequence_length	median_blast_pident	median_blast_qcovus	pct_taxa	pct_reads
DNeasy	Cutadapt	PE	Cutadapt only	12	72072	307.5	99.822	100	31.57894736842105	54.30993557138013
DNeasy	Cutadapt	PE	Shared	26	60633	295	99.644	100	68.42105263157895	45.69006442861987
DNeasy	Cutadapt	SE	Cutadapt only	8	65014	228	100	100	21.052631578947366	48.338984059005476
DNeasy	Cutadapt	SE	Shared	30	69482	228	100	100	78.94736842105263	51.661015940994524
DNeasy	ITSxpress	PE	ITSxpress only	7	21528	206	99.831	100	21.21212121212121	35.41954590325765
DNeasy	ITSxpress	PE	Shared	26	39252	199	100	100	78.78787878787878	64.58045409674234
DNeasy	ITSxpress	SE	ITSxpress only	2	2573	169	NA	NA	6.25	4.2261386593958905
DNeasy	ITSxpress	SE	Shared	30	58310	173	100	100	93.75	95.7738613406041
QIAamp	Cutadapt	PE	Cutadapt only	19	72805	281	99.644	100	38.775510204081634	51.43048883865499
QIAamp	Cutadapt	PE	Shared	30	68755	293	100	100	61.224489795918366	48.56951116134501
QIAamp	Cutadapt	SE	Cutadapt only	9	60789	261	99.8	100	18.75	42.79107419400253
QIAamp	Cutadapt	SE	Shared	39	81271	228	100	100	81.25	57.20892580599747
QIAamp	ITSxpress	PE	ITSxpress only	13	28373	171	100	100	30.23255813953488	39.783227470940425
QIAamp	ITSxpress	PE	Shared	30	42946	198	100	100	69.76744186046511	60.21677252905958
QIAamp	ITSxpress	SE	ITSxpress only	4	6399	158	100	100	9.30232558139535	8.958044601234723
QIAamp	ITSxpress	SE	Shared	39	65034	173	100	100	90.69767441860465	91.04195539876527
Zymo	Cutadapt	PE	Cutadapt only	7	70785	281	99.731	100	46.666666666666664	68.67662753468517
Zymo	Cutadapt	PE	Shared	8	32285	332	99.643	100	53.333333333333336	31.323372465314836
Zymo	Cutadapt	SE	Cutadapt only	5	21118	301	99.6	100	33.33333333333333	20.007389792612102
Zymo	Cutadapt	SE	Shared	10	84433	228	99.7805	100	66.66666666666666	79.9926102073879
Zymo	ITSxpress	PE	ITSxpress only	3	3289	154	100	100	27.27272727272727	8.404671249329212
Zymo	ITSxpress	PE	Shared	8	35844	220.5	99.79899999999999	100	72.72727272727273	91.59532875067079
Zymo	ITSxpress	SE	ITSxpress only	1	137	154	100	100	9.090909090909092	0.33388574770910506
Zymo	ITSxpress	SE	Shared	10	40895	171.5	99.8555	100	90.9090909090909	99.6661142522909
