DNA_kit	Trimm	Paired	taxon_method_set	n_taxa	total_reads	median_sequence_length	median_blast_pident	median_blast_qcovus	pct_taxa	pct_reads	taxonomic_rank
DNeasy	Cutadapt	PE	Cutadapt only	7	59070	382	NA	NA	21.21212121212121	44.51226404430881	Genus
DNeasy	Cutadapt	PE	Shared	26	73635	296.5	99.6445	100	78.78787878787878	55.4877359556912	Genus
DNeasy	Cutadapt	SE	Cutadapt only	5	57157	297	NA	NA	15.625	42.49717463716393	Genus
DNeasy	Cutadapt	SE	Shared	27	77339	228	100	100	84.375	57.50282536283608	Genus
DNeasy	ITSxpress	PE	ITSxpress only	2	3321	217	NA	NA	7.142857142857142	5.463968410661401	Genus
DNeasy	ITSxpress	PE	Shared	26	57459	200	100	100	92.85714285714286	94.53603158933859	Genus
DNeasy	ITSxpress	SE	ITSxpress only	1	1989	173	NA	NA	3.571428571428571	3.2669218008311027	Genus
DNeasy	ITSxpress	SE	Shared	27	58894	173	100	100	96.42857142857143	96.7330781991689	Genus
QIAamp	Cutadapt	PE	Cutadapt only	5	44625	394	NA	NA	12.195121951219512	31.523735518508055	Genus
QIAamp	Cutadapt	PE	Shared	36	96935	294.5	99.911	100	87.8048780487805	68.47626448149194	Genus
QIAamp	Cutadapt	SE	Cutadapt only	5	52174	301	99.6	100	12.195121951219512	36.726735182317334	Genus
QIAamp	Cutadapt	SE	Shared	36	89886	228	100	100	87.8048780487805	63.27326481768267	Genus
QIAamp	ITSxpress	PE	ITSxpress only	1	80	154	100	100	2.7027027027027026	0.11217207195838416	Genus
QIAamp	ITSxpress	PE	Shared	36	71239	199	100	100	97.2972972972973	99.88782792804162	Genus
QIAamp	ITSxpress	SE	ITSxpress only	1	83	154	100	100	2.7027027027027026	0.1161927960466451	Genus
QIAamp	ITSxpress	SE	Shared	36	71350	173	100	100	97.2972972972973	99.88380720395335	Genus
Zymo	Cutadapt	PE	Cutadapt only	5	67650	368	NA	NA	33.33333333333333	65.63500533617929	Genus
Zymo	Cutadapt	PE	Shared	10	35420	304.5	99.644	100	66.66666666666666	34.3649946638207	Genus
Zymo	Cutadapt	SE	Cutadapt only	5	21118	301	99.6	100	33.33333333333333	20.007389792612102	Genus
Zymo	Cutadapt	SE	Shared	10	84433	228	99.7805	100	66.66666666666666	79.9926102073879	Genus
Zymo	ITSxpress	PE	ITSxpress only	1	137	154	100	100	9.090909090909092	0.3500881608872307	Genus
Zymo	ITSxpress	PE	Shared	10	38996	196	99.79899999999999	100	90.9090909090909	99.64991183911278	Genus
Zymo	ITSxpress	SE	ITSxpress only	1	137	154	100	100	9.090909090909092	0.33388574770910506	Genus
Zymo	ITSxpress	SE	Shared	10	40895	171.5	99.8555	100	90.9090909090909	99.6661142522909	Genus
DNeasy	Cutadapt	PE	Cutadapt only	12	72072	307.5	99.822	100	31.57894736842105	54.30993557138013	Species
DNeasy	Cutadapt	PE	Shared	26	60633	295	99.644	100	68.42105263157895	45.69006442861987	Species
DNeasy	Cutadapt	SE	Cutadapt only	8	65014	228	100	100	21.052631578947366	48.338984059005476	Species
DNeasy	Cutadapt	SE	Shared	30	69482	228	100	100	78.94736842105263	51.661015940994524	Species
DNeasy	ITSxpress	PE	ITSxpress only	7	21528	206	99.831	100	21.21212121212121	35.41954590325765	Species
DNeasy	ITSxpress	PE	Shared	26	39252	199	100	100	78.78787878787878	64.58045409674234	Species
DNeasy	ITSxpress	SE	ITSxpress only	2	2573	169	NA	NA	6.25	4.2261386593958905	Species
DNeasy	ITSxpress	SE	Shared	30	58310	173	100	100	93.75	95.7738613406041	Species
QIAamp	Cutadapt	PE	Cutadapt only	19	72805	281	99.644	100	38.775510204081634	51.43048883865499	Species
QIAamp	Cutadapt	PE	Shared	30	68755	293	100	100	61.224489795918366	48.56951116134501	Species
QIAamp	Cutadapt	SE	Cutadapt only	9	60789	261	99.8	100	18.75	42.79107419400253	Species
QIAamp	Cutadapt	SE	Shared	39	81271	228	100	100	81.25	57.20892580599747	Species
QIAamp	ITSxpress	PE	ITSxpress only	13	28373	171	100	100	30.23255813953488	39.783227470940425	Species
QIAamp	ITSxpress	PE	Shared	30	42946	198	100	100	69.76744186046511	60.21677252905958	Species
QIAamp	ITSxpress	SE	ITSxpress only	4	6399	158	100	100	9.30232558139535	8.958044601234723	Species
QIAamp	ITSxpress	SE	Shared	39	65034	173	100	100	90.69767441860465	91.04195539876527	Species
Zymo	Cutadapt	PE	Cutadapt only	7	70785	281	99.731	100	46.666666666666664	68.67662753468517	Species
Zymo	Cutadapt	PE	Shared	8	32285	332	99.643	100	53.333333333333336	31.323372465314836	Species
Zymo	Cutadapt	SE	Cutadapt only	5	21118	301	99.6	100	33.33333333333333	20.007389792612102	Species
Zymo	Cutadapt	SE	Shared	10	84433	228	99.7805	100	66.66666666666666	79.9926102073879	Species
Zymo	ITSxpress	PE	ITSxpress only	3	3289	154	100	100	27.27272727272727	8.404671249329212	Species
Zymo	ITSxpress	PE	Shared	8	35844	220.5	99.79899999999999	100	72.72727272727273	91.59532875067079	Species
Zymo	ITSxpress	SE	ITSxpress only	1	137	154	100	100	9.090909090909092	0.33388574770910506	Species
Zymo	ITSxpress	SE	Shared	10	40895	171.5	99.8555	100	90.9090909090909	99.6661142522909	Species
