DNA_kit	taxonomic_rank	taxon	Trimm	Paired	n_sample_detected	n_asv	n_sequence	total_reads	mean_relative_abundance	max_relative_abundance	median_sequence_length	mean_sequence_length	median_blast_pident	median_blast_qcovus	median_blast_alignment_length	pct_qiime_species_resolved_asv	pct_qiime_genus_resolved_asv	pct_blast_cutoff_pass_asv	pct_blast_ambiguous_asv
DNeasy	Genus	Agaricomycetes_c	Cutadapt	PE	1	1	1	2264	1.7060397121434763	1.7060397121434763	309	309	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Ascomycota_p	Cutadapt	PE	1	28	28	53083	1.4285983411110572	37.30379412983685	387	400.17857142857144	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Ascomycota_p	Cutadapt	SE	1	27	27	52530	1.4465527268882015	36.94979776350226	301	293.48148148148147	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Aspergillus	Cutadapt	PE	1	3	3	822	0.20647300403149843	0.43781319467992913	281	298	99.286	100	281	66.66666666666666	100	100	100
DNeasy	Genus	Aspergillus	Cutadapt	SE	1	2	2	824	0.30632881275279567	0.43421365691172975	228	228	99.34200000000001	100	228	0	100	100	100
DNeasy	Genus	Aspergillus	ITSxpress	PE	1	2	2	824	0.677854557420204	0.9608423823626193	165.5	165.5	99.398	100	166	50	100	50	100
DNeasy	Genus	Aspergillus	ITSxpress	SE	1	2	2	824	0.6767077837820081	0.9592168585647882	165.5	165.5	99.398	100	166	50	100	50	100
DNeasy	Genus	Atheliales_o	Cutadapt	PE	1	1	1	1145	0.8628160204965901	0.8628160204965901	295	295	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Atheliales_o	Cutadapt	SE	1	1	1	1148	0.8535569831073043	0.8535569831073043	227	227	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Atheliales_o	ITSxpress	PE	1	1	1	1143	1.880552813425469	1.880552813425469	200	200	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Atheliales_o	ITSxpress	SE	1	1	1	1143	1.8773713516088235	1.8773713516088235	172	172	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Bjerkandera	Cutadapt	PE	1	1	1	2180	1.6427414189367395	1.6427414189367395	281	281	NA	NA	NA	100	100	0	NA
