taxon_for_compare	Trimm	Paired	n_asv	n_sequence	total_reads	median_sequence_length	min_sequence_length	max_sequence_length	median_blast_pident	median_blast_qcovus	pct_qiime_species_classified_asv	pct_qiime_phylum_or_higher_asv
Agaricomycetes_c	Cutadapt	PE	1	1	2264	309	309	309	NA	NA	0	0
Ascomycota_p	Cutadapt	PE	88	88	156622	394	228	556	NA	NA	0	100
Ascomycota_p	Cutadapt	SE	62	62	153593	301	156	301	NA	NA	0	100
Ascomycota_p	ITSxpress	SE	4	4	5706	170	170	173	NA	NA	0	100
Aspergillus_candidus	Cutadapt	SE	1	1	584	228	228	228	99.123	100	0	0
Aspergillus_cibarius	Cutadapt	SE	1	1	3132	228	228	228	100	100	0	0
Aspergillus_neotritici	Cutadapt	PE	2	2	582	306.5	280	333	99.1925	100	100	0
Aspergillus_neotritici	ITSxpress	PE	1	1	584	165	165	165	NA	NA	100	0
Aspergillus_neotritici	ITSxpress	SE	1	1	584	165	165	165	NA	NA	100	0
Aspergillus_niger	Cutadapt	PE	1	1	240	281	281	281	99.644	100	0	0
Aspergillus_niger	Cutadapt	SE	1	1	240	228	228	228	99.561	100	0	0
Aspergillus_niger	ITSxpress	PE	1	1	240	166	166	166	99.398	100	0	0
Aspergillus_niger	ITSxpress	SE	1	1	240	166	166	166	99.398	100	0	0
Aspergillus_ruber	Cutadapt	PE	2	2	3120	279.5	278	281	100	99.5	100	0
Aspergillus_ruber	ITSxpress	PE	1	1	3110	164	164	164	100	100	100	0
Aspergillus_ruber	ITSxpress	SE	1	1	3113	164	164	164	100	100	100	0
Atheliales_o	Cutadapt	PE	1	1	1145	295	295	295	NA	NA	0	0
Atheliales_o	Cutadapt	SE	1	1	1148	227	227	227	NA	NA	0	0
Atheliales_o	ITSxpress	PE	1	1	1143	200	200	200	NA	NA	0	0
Atheliales_o	ITSxpress	SE	1	1	1143	172	172	172	NA	NA	0	0
Aureobasidium_intercalariosporum	Cutadapt	PE	1	1	18	268	268	268	99.627	100	0	100
Aureobasidium_pullulans	Cutadapt	PE	1	1	649	281	281	281	99.644	100	100	0
Aureobasidium_pullulans	Cutadapt	SE	1	1	668	228	228	228	99.561	100	100	0
Aureobasidium_pullulans	ITSxpress	PE	1	1	667	154	154	154	99.351	100	100	0
Aureobasidium_pullulans	ITSxpress	SE	1	1	667	154	154	154	99.351	100	100	0
Biscogniauxia_atropunctata	Cutadapt	PE	2	2	1359	275	269	281	NA	NA	100	0
Biscogniauxia_atropunctata	Cutadapt	SE	1	1	1366	228	228	228	NA	NA	100	0
Biscogniauxia_atropunctata	ITSxpress	PE	1	1	1356	155	155	155	NA	NA	100	0
Biscogniauxia_atropunctata	ITSxpress	SE	1	1	1361	155	155	155	NA	NA	100	0
Bjerkandera_adusta	Cutadapt	PE	1	1	2950	281	281	281	NA	NA	100	0
Bjerkandera_adusta	Cutadapt	SE	1	1	2956	228	228	228	NA	NA	100	0
Bjerkandera_adusta	ITSxpress	PE	1	1	2948	186	186	186	NA	NA	100	0
Bjerkandera_adusta	ITSxpress	SE	1	1	2950	173	173	173	NA	NA	100	0
Boeremia_lycopersici	Cutadapt	SE	1	1	218	261	261	261	99.6	100	0	0
Bullera_alba	Cutadapt	PE	1	1	2718	281	281	281	99.645	100	100	0
Bullera_alba	Cutadapt	SE	1	1	2722	228	228	228	99.563	100	100	0
Bullera_alba	ITSxpress	PE	1	1	2716	177	177	177	99.438	100	100	0
