DNA_kit	Paired	taxonomic_rank	taxon	detected_by_cutadapt	detected_by_itsxpress	taxon_method_set
DNeasy	PE	Genus	Agaricomycetes_c	TRUE	FALSE	Cutadapt only
DNeasy	PE	Genus	Ascomycota_p	TRUE	FALSE	Cutadapt only
DNeasy	PE	Genus	Aspergillus	TRUE	TRUE	Shared
DNeasy	PE	Genus	Atheliales_o	TRUE	TRUE	Shared
DNeasy	PE	Genus	Bjerkandera	TRUE	TRUE	Shared
DNeasy	PE	Genus	Bullera	TRUE	TRUE	Shared
DNeasy	PE	Genus	Ceratobasidiaceae_f	TRUE	FALSE	Cutadapt only
DNeasy	PE	Genus	Ceriporia	TRUE	TRUE	Shared
DNeasy	PE	Genus	Cladosporium	TRUE	TRUE	Shared
DNeasy	PE	Genus	Coprinopsis	TRUE	TRUE	Shared
DNeasy	PE	Genus	Fungi_k	TRUE	TRUE	Shared
DNeasy	PE	Genus	Hericiaceae_f	TRUE	TRUE	Shared
DNeasy	PE	Genus	Hydnoporia	TRUE	FALSE	Cutadapt only
DNeasy	PE	Genus	Hymenochaetopsis	FALSE	TRUE	ITSxpress only
DNeasy	PE	Genus	Irpex	TRUE	TRUE	Shared
DNeasy	PE	Genus	Kazachstania	TRUE	TRUE	Shared
DNeasy	PE	Genus	Lecanorales_o	TRUE	FALSE	Cutadapt only
DNeasy	PE	Genus	Lecanoromycetes_c	TRUE	FALSE	Cutadapt only
DNeasy	PE	Genus	Leucosporidium	TRUE	TRUE	Shared
DNeasy	PE	Genus	Mucor	TRUE	TRUE	Shared
DNeasy	PE	Genus	Penicillium	TRUE	TRUE	Shared
DNeasy	PE	Genus	Peniophoraceae_f	TRUE	TRUE	Shared
DNeasy	PE	Genus	Phanerochaete	TRUE	TRUE	Shared
DNeasy	PE	Genus	Phlebiopsis	TRUE	TRUE	Shared
DNeasy	PE	Genus	Pleosporales_o	TRUE	TRUE	Shared
DNeasy	PE	Genus	Rhizoplaca	TRUE	FALSE	Cutadapt only
DNeasy	PE	Genus	Sarocladium	TRUE	TRUE	Shared
DNeasy	PE	Genus	Schizophyllum	TRUE	TRUE	Shared
DNeasy	PE	Genus	Sistotremastrum	TRUE	TRUE	Shared
DNeasy	PE	Genus	Sporobolomyces	TRUE	TRUE	Shared
DNeasy	PE	Genus	Stereaceae_f	TRUE	TRUE	Shared
DNeasy	PE	Genus	Suillus	TRUE	TRUE	Shared
DNeasy	PE	Genus	Thanatephorus	FALSE	TRUE	ITSxpress only
DNeasy	PE	Genus	Trametes	TRUE	TRUE	Shared
DNeasy	PE	Genus	Udeniomyces	TRUE	TRUE	Shared
DNeasy	PE	Species	Agaricomycetes_c	TRUE	FALSE	Cutadapt only
DNeasy	PE	Species	Ascomycota_p	TRUE	FALSE	Cutadapt only
DNeasy	PE	Species	Aspergillus_neotritici	TRUE	TRUE	Shared
DNeasy	PE	Species	Aspergillus_niger	TRUE	TRUE	Shared
DNeasy	PE	Species	Atheliales_o	TRUE	TRUE	Shared
DNeasy	PE	Species	Bjerkandera_adusta	TRUE	TRUE	Shared
DNeasy	PE	Species	Bullera_alba	TRUE	TRUE	Shared
DNeasy	PE	Species	Ceratobasidiaceae_f	TRUE	FALSE	Cutadapt only
DNeasy	PE	Species	Ceriporia_nanlingensis	TRUE	TRUE	Shared
DNeasy	PE	Species	Cladosporium_angustisporum	FALSE	TRUE	ITSxpress only
DNeasy	PE	Species	Cladosporium_colombiae	TRUE	FALSE	Cutadapt only
DNeasy	PE	Species	Cladosporium_ossifragi	TRUE	FALSE	Cutadapt only
DNeasy	PE	Species	Coprinopsis_g	FALSE	TRUE	ITSxpress only
DNeasy	PE	Species	Coprinopsis_urticicola	TRUE	FALSE	Cutadapt only
DNeasy	PE	Species	Fungi_k	TRUE	TRUE	Shared
DNeasy	PE	Species	Hericiaceae_f	TRUE	TRUE	Shared
DNeasy	PE	Species	Hydnoporia_yasudae	TRUE	FALSE	Cutadapt only
DNeasy	PE	Species	Hymenochaetopsis_yasudae	FALSE	TRUE	ITSxpress only
DNeasy	PE	Species	Irpex_g	FALSE	TRUE	ITSxpress only
DNeasy	PE	Species	Irpex_hacksungii	FALSE	TRUE	ITSxpress only
DNeasy	PE	Species	Irpex_hydnoides	TRUE	FALSE	Cutadapt only
DNeasy	PE	Species	Irpex_laceratus	TRUE	TRUE	Shared
DNeasy	PE	Species	Kazachstania_servazzii	TRUE	TRUE	Shared
DNeasy	PE	Species	Lecanorales_o	TRUE	FALSE	Cutadapt only
