taxon	Genus	base_color	rank	n_in_genus	tint_amount	color
Aspergillus_fumigatus	Aspergillus	#E41A1CFF	1	2	0	#E41A1CFF
Aspergillus_g	Aspergillus	#E41A1CFF	2	2	0.65	#FFBBBBFF
Candida_albicans	Candida	#377EB8FF	1	2	0	#377EB8FF
Candida_g	Candida	#377EB8FF	2	2	0.65	#ACD1FFFF
Cryptococcus_g	Cryptococcus	#4DAF4AFF	1	2	0	#4DAF4AFF
Cryptococcus_neoformans	Cryptococcus	#4DAF4AFF	2	2	0.65	#93F091FF
Cutaneotrichosporon_dermatis	Cutaneotrichosporon	#984EA3FF	1	2	0	#984EA3FF
Cutaneotrichosporon_g	Cutaneotrichosporon	#984EA3FF	2	2	0.65	#F4B2FFFF
Fusarium_g	Fusarium	#FF7F00FF	1	2	0	#FF7F00FF
Fusarium_keratoplasticum	Fusarium	#FF7F00FF	2	2	0.65	#FFD5C7FF
Malassezia_g	Malassezia	#FFFF33FF	1	2	0	#FFFF33FF
Malassezia_globosa	Malassezia	#FFFF33FF	2	2	0.65	#FFFFCEFF
Nakaseomyces_g	Nakaseomyces	#A65628FF	1	2	0	#A65628FF
Nakaseomyces_glabratus	Nakaseomyces	#A65628FF	2	2	0.65	#FFB9A1FF
Penicillium_chrysogenum	Penicillium	#f55cacFF	1	2	0	#f55cacFF
Penicillium_g	Penicillium	#f55cacFF	2	2	0.65	#FECBE0FF
Saccharomyces_cerevisiae	Saccharomyces	#E6AB02FF	1	2	0	#E6AB02FF
Saccharomyces_g	Saccharomyces	#E6AB02FF	2	2	0.65	#FFE0B7FF
Trichophyton_g	Trichophyton	#1B9E77FF	1	2	0	#1B9E77FF
Trichophyton_interdigitale	Trichophyton	#1B9E77FF	2	2	0.65	#82E9C1FF
