DNA_kit	taxon	n	mean_abundance	sd_abundance	se_abundance	expected_abundance	bias	relative_deviation_pct	measurement
DNeasy	Aspergillus_fumigatus	4	0.09550867349707479	0.00770532095700339	0.003852660478501695	0.1	-0.004491326502925219	-4.491326502925219	qPCR ITS2
DNeasy	Cryptococcus_neoformans	4	0.3241001327460241	0.016998246748797487	0.008499123374398744	0.1	0.2241001327460241	224.1001327460241	qPCR ITS2
DNeasy	Trichophyton_interdigitale	4	0.00614977349867599	9.746523990519053e-4	4.873261995259527e-4	0.1	-0.09385022650132402	-93.85022650132402	qPCR ITS2
DNeasy	Penicillium_chrysogenum	4	0.07206717119550163	0.013681361658341816	0.006840680829170908	0.1	-0.027932828804498377	-27.932828804498378	qPCR ITS2
DNeasy	Fusarium_keratoplasticum	4	8.381682832291374e-4	1.3309425085592525e-4	6.654712542796262e-5	0.1	-0.09916183171677087	-99.16183171677086	qPCR ITS2
DNeasy	Candida_albicans	4	0.36542770883619624	0.02244045958098073	0.011220229790490366	0.1	0.26542770883619626	265.42770883619625	qPCR ITS2
DNeasy	Nakaseomyces_glabratus	4	0.06574358012552015	0.0075336347494921125	0.0037668173747460562	0.1	-0.03425641987447986	-34.25641987447986	qPCR ITS2
DNeasy	Malassezia_globosa	4	0.001292170178546565	0.00061702973063509285	3.085148653175464e-4	0.1	-0.09870782982145344	-98.70782982145344	qPCR ITS2
DNeasy	Saccharomyces_cerevisiae	4	0.025012665295906848	0.00731181717440097	0.003655908587200485	0.1	-0.07498733470409316	-74.98733470409316	qPCR ITS2
DNeasy	Cutaneotrichosporon_dermatis	4	0.04385995634332456	0.005618402681530939	0.0028092013407654695	0.1	-0.056140043656675444	-56.140043656675445	qPCR ITS2
QIAamp	Aspergillus_fumigatus	4	0.0843784856156913	0.012283848275235133	0.006141924137617567	0.1	-0.015621514384308699	-15.6215143843087	qPCR ITS2
QIAamp	Cryptococcus_neoformans	4	0.1375383356292926	0.01282836579582385	0.006414182897911925	0.1	0.037538335629292596	37.5383356292926	qPCR ITS2
QIAamp	Trichophyton_interdigitale	4	0.008676233590709294	0.0036027747645069295	0.0018013873822534648	0.1	-0.09132376640929071	-91.32376640929071	qPCR ITS2
QIAamp	Penicillium_chrysogenum	4	0.08259872516887491	0.03655705122216194	0.01827852561108097	0.1	-0.017401274831125094	-17.401274831125093	qPCR ITS2
QIAamp	Fusarium_keratoplasticum	4	0.0015760705582331326	3.6504767363597704e-4	1.8252383681798852e-4	0.1	-0.09842392944176687	-98.42392944176687	qPCR ITS2
QIAamp	Candida_albicans	4	0.4848567294285593	0.09623880294999251	0.04811940147499626	0.1	0.3848567294285593	384.8567294285593	qPCR ITS2
QIAamp	Nakaseomyces_glabratus	4	0.09911148672916134	0.03477870137031977	0.017389350685159885	0.1	-8.885132708386645e-4	-0.8885132708386645	qPCR ITS2
QIAamp	Malassezia_globosa	4	0.00538716798162973	0.002142118450704732	0.001071059225352366	0.1	-0.09461283201837027	-94.61283201837027	qPCR ITS2
QIAamp	Saccharomyces_cerevisiae	4	0.028303129539003748	0.011499280332202842	0.005749640166101421	0.1	-0.07169687046099626	-71.69687046099627	qPCR ITS2
QIAamp	Cutaneotrichosporon_dermatis	4	0.06757363575884463	0.03501722083393325	0.017508610416966625	0.1	-0.03242636424115537	-32.42636424115537	qPCR ITS2
Zymo	Aspergillus_fumigatus	4	0.1395183832739813	0.005603149441530646	0.002801574720765323	0.1	0.0395183832739813	39.5183832739813	qPCR ITS2
