measurement	DNA_kit	taxon	mean_abundance	expected_abundance	bias	relative_deviation_pct
NGS ITSx_PE	DNeasy	Malassezia_globosa	0	0.1	-0.1	-100
NGS Cutadapt_PE	DNeasy	Malassezia_globosa	0	0.1	-0.1	-100
NGS ITSx_SE	DNeasy	Malassezia_globosa	3.8128646051778703e-6	0.1	-0.09999618713539483	-99.99618713539483
NGS Cutadapt_SE	DNeasy	Malassezia_globosa	4.018226676203258e-6	0.1	-0.0999959817733238	-99.9959817733238
NGS ITSx_SE	QIAamp	Malassezia_globosa	1.1818198469714971e-5	0.1	-0.0999881818015303	-99.9881818015303
NGS ITSx_PE	QIAamp	Malassezia_globosa	1.1845164794445111e-5	0.1	-0.09998815483520557	-99.98815483520556
NGS Cutadapt_SE	QIAamp	Malassezia_globosa	1.2572800994933217e-5	0.1	-0.09998742719900507	-99.98742719900507
NGS Cutadapt_PE	QIAamp	Malassezia_globosa	1.35127873026086e-5	0.1	-0.0999864872126974	-99.9864872126974
NGS ITSx_SE	Zymo	Malassezia_globosa	6.38423840713818e-5	0.1	-0.09993615761592863	-99.93615761592862
NGS ITSx_PE	Zymo	Malassezia_globosa	6.396664890388236e-5	0.1	-0.09993603335109612	-99.93603335109611
NGS Cutadapt_SE	Zymo	Malassezia_globosa	7.213846849155411e-5	0.1	-0.09992786153150846	-99.92786153150846
NGS Cutadapt_PE	Zymo	Malassezia_globosa	7.723004181209006e-5	0.1	-0.09992276995818791	-99.92276995818791
qPCR ITS2	DNeasy	Malassezia_globosa	0.001292170178546565	0.1	-0.09870782982145344	-98.70782982145344
qPCR ITS2	QIAamp	Malassezia_globosa	0.00538716798162973	0.1	-0.09461283201837027	-94.61283201837027
qPCR ITS2	Zymo	Malassezia_globosa	0.009345645594837419	0.1	-0.09065435440516259	-90.65435440516258
