taxonomic_rank	taxon	expected_abundance
Species	Aspergillus_fumigatus	0.1
Species	Cryptococcus_neoformans	0.1
Species	Trichophyton_interdigitale	0.1
Species	Penicillium_chrysogenum	0.1
Species	Fusarium_keratoplasticum	0.1
Species	Candida_albicans	0.1
Species	Nakaseomyces_glabratus	0.1
Species	Malassezia_globosa	0.1
Species	Saccharomyces_cerevisiae	0.1
Species	Cutaneotrichosporon_dermatis	0.1
Genus	Aspergillus	0.1
Genus	Cryptococcus	0.1
Genus	Trichophyton	0.1
Genus	Penicillium	0.1
Genus	Fusarium	0.1
Genus	Candida	0.1
Genus	Nakaseomyces	0.1
Genus	Malassezia	0.1
Genus	Saccharomyces	0.1
Genus	Cutaneotrichosporon	0.1
