run_id	sample_id	preprocess_method	read_strategy	total_reads
fig4_q20_PE_cutadapt_unite	1D	Cutadapt	PE	80432
fig4_q20_PE_cutadapt_unite	1Q	Cutadapt	PE	123872
fig4_q20_PE_cutadapt_unite	1Z	Cutadapt	PE	84002
fig4_q20_PE_cutadapt_unite	2D	Cutadapt	PE	98965
fig4_q20_PE_cutadapt_unite	2Q	Cutadapt	PE	114996
fig4_q20_PE_cutadapt_unite	2Z	Cutadapt	PE	95149
fig4_q20_PE_cutadapt_unite	3D	Cutadapt	PE	115143
fig4_q20_PE_cutadapt_unite	3Q	Cutadapt	PE	102587
fig4_q20_PE_cutadapt_unite	3Z	Cutadapt	PE	108955
fig4_q20_PE_cutadapt_unite	4D	Cutadapt	PE	116803
fig4_q20_PE_cutadapt_unite	4Q	Cutadapt	PE	88134
fig4_q20_PE_cutadapt_unite	4Z	Cutadapt	PE	103104
fig4_q20_PE_itsxpress_unite	1D	ITSxpress	PE	92076
fig4_q20_PE_itsxpress_unite	1Q	ITSxpress	PE	144055
fig4_q20_PE_itsxpress_unite	1Z	ITSxpress	PE	96167
fig4_q20_PE_itsxpress_unite	2D	ITSxpress	PE	111192
fig4_q20_PE_itsxpress_unite	2Q	ITSxpress	PE	132486
fig4_q20_PE_itsxpress_unite	2Z	ITSxpress	PE	107994
fig4_q20_PE_itsxpress_unite	3D	ITSxpress	PE	130664
fig4_q20_PE_itsxpress_unite	3Q	ITSxpress	PE	117620
fig4_q20_PE_itsxpress_unite	3Z	ITSxpress	PE	124523
fig4_q20_PE_itsxpress_unite	4D	ITSxpress	PE	131287
fig4_q20_PE_itsxpress_unite	4Q	ITSxpress	PE	98327
fig4_q20_PE_itsxpress_unite	4Z	ITSxpress	PE	116787
fig4_q20_SE_cutadapt_unite	1D	Cutadapt	SE	86813
fig4_q20_SE_cutadapt_unite	1Q	Cutadapt	SE	134651
fig4_q20_SE_cutadapt_unite	1Z	Cutadapt	SE	90782
fig4_q20_SE_cutadapt_unite	2D	Cutadapt	SE	105833
fig4_q20_SE_cutadapt_unite	2Q	Cutadapt	SE	124745
fig4_q20_SE_cutadapt_unite	2Z	Cutadapt	SE	102268
fig4_q20_SE_cutadapt_unite	3D	Cutadapt	SE	124103
fig4_q20_SE_cutadapt_unite	3Q	Cutadapt	SE	110794
fig4_q20_SE_cutadapt_unite	3Z	Cutadapt	SE	117667
fig4_q20_SE_cutadapt_unite	4D	Cutadapt	SE	124711
fig4_q20_SE_cutadapt_unite	4Q	Cutadapt	SE	93783
fig4_q20_SE_cutadapt_unite	4Z	Cutadapt	SE	110614
fig4_q20_SE_itsxpress_unite	1D	ITSxpress	SE	92169
fig4_q20_SE_itsxpress_unite	1Q	ITSxpress	SE	144305
fig4_q20_SE_itsxpress_unite	1Z	ITSxpress	SE	96376
fig4_q20_SE_itsxpress_unite	2D	ITSxpress	SE	111361
fig4_q20_SE_itsxpress_unite	2Q	ITSxpress	SE	132704
fig4_q20_SE_itsxpress_unite	2Z	ITSxpress	SE	108108
fig4_q20_SE_itsxpress_unite	3D	ITSxpress	SE	131158
fig4_q20_SE_itsxpress_unite	3Q	ITSxpress	SE	117869
fig4_q20_SE_itsxpress_unite	3Z	ITSxpress	SE	124714
fig4_q20_SE_itsxpress_unite	4D	ITSxpress	SE	131547
fig4_q20_SE_itsxpress_unite	4Q	ITSxpress	SE	98456
fig4_q20_SE_itsxpress_unite	4Z	ITSxpress	SE	116989
