feature_id	taxonomy_method	Genus	Species	taxon_string	run_id	preprocess_method	read_strategy	Paired	Trimm	Genus_original	Species_original
94582dfd0163256b9ba66b217191b5d7	UNITE	Candida	Candida_albicans	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Candida; s__Candida_albicans	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Candida	Candida_albicans
03de5f5896c6815c01fb82e636a2d449	UNITE	Cutaneotrichosporon	Cutaneotrichosporon_mucoides	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_mucoides	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Cutaneotrichosporon	Cutaneotrichosporon_mucoides
a18789fb47a3a707fd63fa3b4051fac8	UNITE	Cryptococcus	Cryptococcus_neoformans	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Cryptococcaceae; g__Cryptococcus; s__Cryptococcus_neoformans	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Cryptococcus	Cryptococcus_neoformans
77af6915246bc6753bf0513efd3804c2	UNITE	Penicillium	Unclassified	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_g	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Penicillium	Unclassified
780933a320c8e557970d7d3bb1a87d12	UNITE	Nakaseomyces	Nakaseomyces_glabratus	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Nakaseomyces; s__Nakaseomyces_glabratus	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Nakaseomyces	Nakaseomyces_glabratus
0ea5c361d3337b625fb478ae11fb59bb	UNITE	Saccharomyces	Saccharomyces_cerevisiae	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces_cerevisiae	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Saccharomyces	Saccharomyces_cerevisiae
9fe16fd93ac73e9e4d58434fd4438af0	UNITE	Ascomycota_p	Ascomycota_p	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Ascomycota_p	Ascomycota_p
da3dbb64be8691d27645aa7b82caeba7	UNITE	Aspergillus	Aspergillus_fumigatus	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus_fumigatus	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Aspergillus	Aspergillus_fumigatus
52abf2800a42f042af61ae60aca8d5fc	UNITE	Candida	Candida_albicans	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Candida; s__Candida_albicans	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Candida	Candida_albicans
3b4e11535ad357e303ef9030433d4713	UNITE	Ascomycota_p	Ascomycota_p	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Ascomycota_p	Ascomycota_p
e44ef40252932c0964ad866230e82b21	UNITE	Komagataella	Komagataella_phaffii	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Komagataella; s__Komagataella_phaffii	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Komagataella	Komagataella_phaffii
61d8d693c2929788a39237ffcfa57ced	UNITE	Fungi_k	Fungi_k	k__Fungi; p__Fungi_k; c__Fungi_k; o__Fungi_k; f__Fungi_k; g__Fungi_k; s__Fungi_k	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Fungi_k	Fungi_k
2e034c1aa05be4c5111594d8a3c15afd	UNITE	Fungi_k	Fungi_k	k__Fungi; p__Fungi_k; c__Fungi_k; o__Fungi_k; f__Fungi_k; g__Fungi_k; s__Fungi_k	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Fungi_k	Fungi_k
fa49207aafe8816360a131aaed63c5c4	UNITE	Cutaneotrichosporon	Cutaneotrichosporon_mucoides	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_mucoides	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Cutaneotrichosporon	Cutaneotrichosporon_mucoides
deb97cee17e99b323f1cbf412123cbe4	UNITE	Ascomycota_p	Ascomycota_p	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Ascomycota_p	Ascomycota_p
529773f8e657ea61f96deda99c494873	UNITE	Ascomycota_p	Ascomycota_p	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Ascomycota_p	Ascomycota_p
590132bd07b175817d210a561f31a4a7	UNITE	Trichophyton	Trichophyton_mentagrophytes	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Onygenales; f__Arthrodermataceae; g__Trichophyton; s__Trichophyton_mentagrophytes	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Trichophyton	Trichophyton_mentagrophytes
c9a2dd5edf6fe21dc7d2e5b0e3e42e22	UNITE	Cutaneotrichosporon	Cutaneotrichosporon_debeurmannianum	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_debeurmannianum	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Cutaneotrichosporon	Cutaneotrichosporon_debeurmannianum
b8bd3043d0b693dc6b5b7d4ae86033f9	UNITE	Candida	Candida_albicans	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Candida; s__Candida_albicans	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Candida	Candida_albicans
20724af4e0f4acaddd718dafdbd09bfa	UNITE	Cutaneotrichosporon	Cutaneotrichosporon_mucoides	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_mucoides	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Cutaneotrichosporon	Cutaneotrichosporon_mucoides
f4d59f3582021edd31f8a66bfbe26d3f	UNITE	Irpex	Irpex_hydnoides	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Irpicaceae; g__Irpex; s__Irpex_hydnoides	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Irpex	Irpex_hydnoides
905456212b0753912cb440d99f46a06a	UNITE	Ascomycota_p	Ascomycota_p	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Ascomycota_p	Ascomycota_p
c00e96a58a1ae48a395bb606dd9cffb5	UNITE	Neopyrenochaeta	Unclassified	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Neopyrenochaetaceae; g__Neopyrenochaeta; s__Neopyrenochaeta_g	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Neopyrenochaeta	Unclassified
7bc674b40d076f018a37dfafe8b2816b	UNITE	Ascomycota_p	Ascomycota_p	k__Fungi; p__Ascomycota; c__Ascomycota_p; o__Ascomycota_p; f__Ascomycota_p; g__Ascomycota_p; s__Ascomycota_p	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Ascomycota_p	Ascomycota_p
b51b5ed103b9c82d0f30382550327fbd	UNITE	Kazachstania	Kazachstania_servazzii	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Kazachstania; s__Kazachstania_servazzii	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Kazachstania	Kazachstania_servazzii
483028ff24e4f601e06ded031e01d11a	UNITE	Irpex	Irpex_laceratus	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Irpicaceae; g__Irpex; s__Irpex_laceratus	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Irpex	Irpex_laceratus
cbc3861eff42f4b8102fa7270debb33b	UNITE	Debaryomyces	Debaryomyces_delbrueckii	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Debaryomyces; s__Debaryomyces_delbrueckii	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Debaryomyces	Debaryomyces_delbrueckii
5cc7803067c02af3c15f0c65dabd35ef	UNITE	Dothideomycetes_c	Dothideomycetes_c	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideomycetes_c; f__Dothideomycetes_c; g__Dothideomycetes_c; s__Dothideomycetes_c	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Dothideomycetes_c	Dothideomycetes_c
97549e4fa4e4837c3b81d3f01db97dea	UNITE	Candida	Candida_albicans	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Candida; s__Candida_albicans	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Candida	Candida_albicans
6c6f38ebf80a8a9c7ca3c50dc2363d1f	UNITE	Fungi_k	Fungi_k	k__Fungi; p__Fungi_k; c__Fungi_k; o__Fungi_k; f__Fungi_k; g__Fungi_k; s__Fungi_k	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Fungi_k	Fungi_k
7ab51b82ee043df208fbd659506c728d	UNITE	Fusarium	Unclassified	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_g	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Fusarium	Unclassified
708fe7d9660f6d64ee5ba7114357ed41	UNITE	Nigrospora	Unclassified	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Amphisphaeriales; f__Apiosporaceae; g__Nigrospora; s__Nigrospora_g	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Nigrospora	Unclassified
570f764a5084a41650f1c49d6f3fd466	UNITE	Peniophoraceae_f	Peniophoraceae_f	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Peniophoraceae; g__Peniophoraceae_f; s__Peniophoraceae_f	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Peniophoraceae_f	Peniophoraceae_f
69cad094d1f2f95bff94506e12821dd6	UNITE	Didymellaceae_f	Didymellaceae_f	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae; g__Didymellaceae_f; s__Didymellaceae_f	fig4_q20_PE_cutadapt_unite	Cutadapt	PE	PE	Cutadapt	Didymellaceae_f	Didymellaceae_f
