taxon	Genus	base_color	rank	n_in_genus	tint_amount	color
Aspergillus_fumigatus	Aspergillus	#E41A1CFF	1	2	0	#E41A1CFF
Aspergillus_g	Aspergillus	#E41A1CFF	2	2	0.35	#FF7879FF
Candida_africana	Candida	#377EB8FF	1	4	0	#377EB8FF
Candida_albicans	Candida	#377EB8FF	2	4	0.11666666666666665	#4C8DC7FF
Candida_g	Candida	#377EB8FF	3	4	0.2333333333333333	#5F9BD6FF
Candida_tropicalis	Candida	#377EB8FF	4	4	0.35	#71AAE5FF
Cryptococcus_g	Cryptococcus	#4DAF4AFF	1	3	0	#4DAF4AFF
Cryptococcus_gattii	Cryptococcus	#4DAF4AFF	2	3	0.175	#61C05EFF
Cryptococcus_neoformans	Cryptococcus	#4DAF4AFF	3	3	0.35	#73D271FF
Cutaneotrichosporon_dermatis	Cutaneotrichosporon	#984EA3FF	1	3	0	#984EA3FF
Cutaneotrichosporon_g	Cutaneotrichosporon	#984EA3FF	2	3	0.175	#B069BBFF
Cutaneotrichosporon_mucoides	Cutaneotrichosporon	#984EA3FF	3	3	0.35	#C883D4FF
Fusarium_g	Fusarium	#FF7F00FF	1	2	0	#FF7F00FF
Fusarium_keratoplasticum	Fusarium	#FF7F00FF	2	2	0.35	#FFAF8FFF
Malassezia_g	Malassezia	#FFFF33FF	1	2	0	#FFFF33FF
Malassezia_globosa	Malassezia	#FFFF33FF	2	2	0.35	#FFFF9BFF
Nakaseomyces_g	Nakaseomyces	#A65628FF	1	2	0	#A65628FF
Nakaseomyces_glabratus	Nakaseomyces	#A65628FF	2	2	0.35	#DC8763FF
Penicillium_chrysogenum	Penicillium	#f55cacFF	1	3	0	#f55cacFF
Penicillium_flavigenum	Penicillium	#f55cacFF	2	3	0.175	#FF79BBFF
Penicillium_g	Penicillium	#f55cacFF	3	3	0.35	#FF99C8FF
Saccharomyces_arboricola	Saccharomyces	#E6AB02FF	1	4	0	#E6AB02FF
Saccharomyces_cerevisiae	Saccharomyces	#E6AB02FF	2	4	0.11666666666666665	#EFB325FF
Saccharomyces_g	Saccharomyces	#E6AB02FF	3	4	0.2333333333333333	#F8BC37FF
Saccharomyces_uvarum	Saccharomyces	#E6AB02FF	4	4	0.35	#FFC552FF
Trichophyton_g	Trichophyton	#1B9E77FF	1	3	0	#1B9E77FF
Trichophyton_interdigitale	Trichophyton	#1B9E77FF	2	3	0.175	#3FB28AFF
Trichophyton_mentagrophytes	Trichophyton	#1B9E77FF	3	3	0.35	#5AC59EFF
