run_id	sample_id	preprocess_method	read_strategy	total_reads
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	1D	ITSxpress	PE	91754
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	1Q	ITSxpress	PE	143572
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	1Z	ITSxpress	PE	95759
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	2D	ITSxpress	PE	110714
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	2Q	ITSxpress	PE	131997
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	2Z	ITSxpress	PE	107516
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	3D	ITSxpress	PE	130202
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	3Q	ITSxpress	PE	117117
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	3Z	ITSxpress	PE	124140
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	4D	ITSxpress	PE	130872
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	4Q	ITSxpress	PE	97959
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	4Z	ITSxpress	PE	116254
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ST1D	ITSxpress	PE	126237
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ST1Q	ITSxpress	PE	127959
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ST1Z	ITSxpress	PE	125307
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ST2D	ITSxpress	PE	129789
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ST2Q	ITSxpress	PE	113018
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ST2Z	ITSxpress	PE	116637
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ST3D	ITSxpress	PE	136300
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ST3Q	ITSxpress	PE	121973
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ST3Z	ITSxpress	PE	142514
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ST4D	ITSxpress	PE	140690
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ST4Q	ITSxpress	PE	147969
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ST4Z	ITSxpress	PE	155105
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	STD	ITSxpress	PE	60780
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	STQ	ITSxpress	PE	71319
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	STZ	ITSxpress	PE	39133
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	1D	ITSxpress	SE	91881
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	1Q	ITSxpress	SE	143786
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	1Z	ITSxpress	SE	96007
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	2D	ITSxpress	SE	110927
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	2Q	ITSxpress	SE	132285
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	2Z	ITSxpress	SE	107709
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	3D	ITSxpress	SE	130735
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	3Q	ITSxpress	SE	117405
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	3Z	ITSxpress	SE	124332
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	4D	ITSxpress	SE	131135
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	4Q	ITSxpress	SE	98123
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	4Z	ITSxpress	SE	116494
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	ST1D	ITSxpress	SE	126491
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	ST1Q	ITSxpress	SE	128250
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	ST1Z	ITSxpress	SE	125674
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	ST2D	ITSxpress	SE	129991
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	ST2Q	ITSxpress	SE	113199
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	ST2Z	ITSxpress	SE	116852
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	ST3D	ITSxpress	SE	136529
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	ST3Q	ITSxpress	SE	122385
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	ST3Z	ITSxpress	SE	142807
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	ST4D	ITSxpress	SE	140952
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	ST4Q	ITSxpress	SE	148395
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	ST4Z	ITSxpress	SE	155417
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	STD	ITSxpress	SE	60883
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	STQ	ITSxpress	SE	71433
fig4_q30_SE_itsxpress_unite_blast_top1_rescue	STZ	ITSxpress	SE	41032
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	Cutadapt	PE	80582
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	Cutadapt	PE	124078
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Cutadapt	PE	84162
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2D	Cutadapt	PE	99196
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2Q	Cutadapt	PE	115658
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2Z	Cutadapt	PE	95401
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	3D	Cutadapt	PE	115307
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	3Q	Cutadapt	PE	102741
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	3Z	Cutadapt	PE	109341
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	4D	Cutadapt	PE	116987
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	4Q	Cutadapt	PE	88337
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	4Z	Cutadapt	PE	103247
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	ST1D	Cutadapt	PE	110637
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	ST1Q	Cutadapt	PE	112951
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	ST1Z	Cutadapt	PE	111518
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	ST2D	Cutadapt	PE	113570
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	ST2Q	Cutadapt	PE	98553
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	ST2Z	Cutadapt	PE	102434
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	ST3D	Cutadapt	PE	120277
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	ST3Q	Cutadapt	PE	107996
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	ST3Z	Cutadapt	PE	125444
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	ST4D	Cutadapt	PE	124197
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	ST4Q	Cutadapt	PE	131333
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	ST4Z	Cutadapt	PE	135841
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	Cutadapt	PE	132705
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	Cutadapt	PE	141560
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STZ	Cutadapt	PE	103070
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	1D	Cutadapt	SE	86518
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	1Q	Cutadapt	SE	134209
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	1Z	Cutadapt	SE	90497
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	2D	Cutadapt	SE	105468
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	2Q	Cutadapt	SE	124302
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	2Z	Cutadapt	SE	101908
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	3D	Cutadapt	SE	123767
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	3Q	Cutadapt	SE	110427
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	3Z	Cutadapt	SE	117392
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	4D	Cutadapt	SE	124433
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	4Q	Cutadapt	SE	93555
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	4Z	Cutadapt	SE	110207
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	ST1D	Cutadapt	SE	119242
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	ST1Q	Cutadapt	SE	121341
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	ST1Z	Cutadapt	SE	119463
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	ST2D	Cutadapt	SE	122351
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	ST2Q	Cutadapt	SE	106500
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	ST2Z	Cutadapt	SE	110394
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	ST3D	Cutadapt	SE	128869
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	ST3Q	Cutadapt	SE	115557
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	ST3Z	Cutadapt	SE	135056
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	ST4D	Cutadapt	SE	133184
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	ST4Q	Cutadapt	SE	140488
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	ST4Z	Cutadapt	SE	146562
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	STD	Cutadapt	SE	134496
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	STQ	Cutadapt	SE	142060
fig4_q30_SE_cutadapt_unite_blast_top1_rescue	STZ	Cutadapt	SE	105551
