qacc	staxids	sacc	evalue	bitscore	qcovus	pident	length	TaxID	candidate_rank
0191681120840e940a5629f6f9c23e63	900007	NR_130691	1.5	20.2	46	76.667	30	900007	1
0191681120840e940a5629f6f9c23e63	900003	NR_144900	1.5	19.3	37	100.0	10	900003	2
0191681120840e940a5629f6f9c23e63	900007	NR_130691	5.1	17.5	46	100.0	9	900007	3
0191681120840e940a5629f6f9c23e63	900009	NR_111007	5.1	17.5	42	100.0	9	900009	4
0191681120840e940a5629f6f9c23e63	900001	NR_121481	5.1	17.5	42	100.0	9	900001	5
026c5263ced8f41669b14f7ee3ab05a6	900001	NR_121481	0.000725	31.0	37	88.462	26	900001	1
026c5263ced8f41669b14f7ee3ab05a6	900004	NR_077145	0.000725	31.0	35	88.462	26	900004	2
026c5263ced8f41669b14f7ee3ab05a6	900003	NR_144900	0.031	24.7	43	84.0	25	900003	3
026c5263ced8f41669b14f7ee3ab05a6	900005	NR_130690	0.11	22.9	42	100.0	12	900005	4
026c5263ced8f41669b14f7ee3ab05a6	900002	NR_171785	0.11	22.9	43	88.235	17	900002	5
040c1e07de80d76e56f1d8b0b573ca34	900001	NR_121481	0.009000000000000001	26.5	54	84.615	26	900001	1
040c1e07de80d76e56f1d8b0b573ca34	900004	NR_077145	0.009000000000000001	26.5	37	84.615	26	900004	2
040c1e07de80d76e56f1d8b0b573ca34	900005	NR_130690	1.3	20.2	49	92.30799999999999	13	900005	3
040c1e07de80d76e56f1d8b0b573ca34	900002	NR_171785	1.3	20.2	58	83.333	18	900002	4
040c1e07de80d76e56f1d8b0b573ca34	900003	NR_144900	1.3	20.2	49	80.0	25	900003	5
04a58f1fa63710803570b8b5e2d3733e	900001	NR_121481	1.7e-05	36.5	61	82.927	41	900001	1
04a58f1fa63710803570b8b5e2d3733e	900004	NR_077145	0.00020800000000000001	32.8	49	88.889	27	900004	2
04a58f1fa63710803570b8b5e2d3733e	900003	NR_144900	0.00020800000000000001	32.8	61	78.26100000000001	46	900003	3
04a58f1fa63710803570b8b5e2d3733e	900004	NR_077145	0.38	21.1	49	87.5	16	900004	4
04a58f1fa63710803570b8b5e2d3733e	900009	NR_111007	1.3	20.2	51	92.30799999999999	13	900009	5
05d6255f92dbd4b2b793b809c524de21	900010	NR_130667	0.42	22.0	45	85.714	21	900010	1
05d6255f92dbd4b2b793b809c524de21	900008	NR_111475	0.42	21.1	38	100.0	11	900008	2
