ASV	BLAST_Top1_Accession	BLAST_Top1_TaxID	BLAST_Top1_Evalue	BLAST_Top1_Bitscore	BLAST_Top1_Pident	BLAST_Top1_Qcovus	BLAST_Top1_AlignmentLength	BLAST_AmbiguousTopHit	BLAST_SelectionStatus	BLAST_Top1_Kingdom	BLAST_Top1_Phylum	BLAST_Top1_Class	BLAST_Top1_Order	BLAST_Top1_Family	BLAST_Top1_Genus	BLAST_Top1_Species	BLAST_Top2_Accession	BLAST_Top2_Species	BLAST_Top2_Evalue	BLAST_Top2_Bitscore	BLAST_Top2_Pident	BLAST_Top2_Qcovus
04a58f1fa63710803570b8b5e2d3733e	NR_174830	2777685	4.11e-76	280.0	100.0	100	155	False	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia_celtidis						
05dcbd64ea8517b09449bf3ddd4a83dd	NR_073233	42661	3.36e-84	308.0	99.422	100	173	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Udeniomyces	Udeniomyces_pyricola						
061f5ddd4c902be6adec1f0e62e8f2f4	NR_198413	3031043	7.9e-86	313.0	100.0	100	173	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Xylodon_muchuanensis						
06a0c0a16a03d41b0e21de876ccd4a1a	NR_189881	2942256	7.9e-86	313.0	100.0	100	173	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fuscoporia	Fuscoporia_gilvoides						
0adfbaa4d24ec21c5bd7da91cc36bf83	NR_111007	4932	7.9e-86	313.0	100.0	100	173	True	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	NR_111355	Saccharomyces_kudriavzevii	7.9e-86	313.0	100.0	100
0b16710fc341de52d3db3a987523142b	NR_119812	70558	3.29e-84	307.0	100.0	100	170	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sumatraense	NR_153214	Penicillium_meleagrinum	3.29e-84	307.0	100.0	100
0d7f1fa221989e0cc733a52a1d979bfa	NR_111530	887084	1.04e-70	263.0	99.324	100	148	True	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_angustisporum	NR_111532	Cladosporium_exile	1.04e-70	263.0	99.324	100
0fd1d727176f466547928eba1e93d32c	NR_103583	76777	7.9e-86	313.0	100.0	100	173	False	candidate_available	Eukaryota	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_sympodialis						
12c2997f0d90a475f5ebdb10a5bc0738	NR_171802	1867788	1.16e-83	306.0	99.419	100	172	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Hymenochaetales	unclassified_Hymenochaetales_family	Peniophorella	Peniophorella_crystallifera						
12da108a541069a69ac639ae2edcd700	NR_125332	5476	8.710000000000002e-72	267.0	99.333	100	150	False	candidate_available	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida_albicans						
1a3a25327947f82ebb909ce5f5832571	NR_111257	4950	3.36e-84	308.0	99.422	100	173	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora_delbrueckii						
1a947799bb1e2fa52ae4560b796f282e	NR_130691	5478	3.36e-84	308.0	99.422	100	173	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus						
1f2562bcd89888cd5dc1ecfc90af6ca5	NR_175033	798071	2.15e-66	249.0	99.286	100	140	False	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma_chrysanthemicola						
22a3bd58cea56c64d6c04ce292d4536f	NR_137659	183959	7.9e-86	313.0	100.0	100	173	False	candidate_available	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_carnicolor						
2502cb3a6108ac2eaa7d36cba4a08694	NR_130685	1036732	1.37e-82	302.0	100.0	100	167	False	candidate_available	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Sarocladiaceae	Sarocladium	Sarocladium_zeae						
287262dba4d69007a0d2f229a8d6e234	NR_130682	5207	7.9e-86	313.0	100.0	100	173	True	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_neoformans	NR_165941	Cryptococcus_gattii	7.9e-86	313.0	100.0	100
29672ac01b5c6750735fed1907ddd347	NR_165938	4979	9.02e-58	220.0	99.194	100	124	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella_oryzae						
29ef50e61eafd8ec49fa6292da0e3dca	NR_175188	2849271	3.36e-84	308.0	99.422	100	173	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Mycoaciella	Mycoaciella_efibulata						
2ce0943ee52455e0ef499cf2ef2d4e04	NR_077145	5076	8.410000000000001e-79	290.0	99.387	100	163	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	8.410000000000001e-79	290.0	99.387	100
2d783fc0a24c9350fd6e4c008ade61f1	NR_077145	5076	1.98e-80	295.0	100.0	100	163	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	1.98e-80	295.0	100.0	100
30c66d5481541d89952d4ca5765d73bc	NR_120178	1290441	2.74e-85	311.0	100.0	100	172	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Trechisporales	unclassified_Trechisporales_family	Sistotremastrum	Sistotremastrum_guttuliferum						
31fe6db9ce878dc354cb87b45c498d9e	NR_126116	36080	2.28e-86	315.0	100.0	100	174	False	candidate_available	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor_circinelloides						
