sample	matrix_type	replicate	kit_code
ST1D	mock_plus_stool	1	DNeasy
ST1Q	mock_plus_stool	1	QIAamp
ST1Z	mock_plus_stool	1	Zymo
ST2D	mock_plus_stool	2	DNeasy
ST2Q	mock_plus_stool	2	QIAamp
ST2Z	mock_plus_stool	2	Zymo
ST3D	mock_plus_stool	3	DNeasy
ST3Q	mock_plus_stool	3	QIAamp
ST3Z	mock_plus_stool	3	Zymo
ST4D	mock_plus_stool	4	DNeasy
ST4Q	mock_plus_stool	4	QIAamp
ST4Z	mock_plus_stool	4	Zymo
STD	stool	NA	DNeasy
STQ	stool	NA	QIAamp
STZ	stool	NA	Zymo
1D	mock_only	1	DNeasy
1Q	mock_only	1	QIAamp
1Z	mock_only	1	Zymo
2D	mock_only	2	DNeasy
2Q	mock_only	2	QIAamp
2Z	mock_only	2	Zymo
3D	mock_only	3	DNeasy
3Q	mock_only	3	QIAamp
3Z	mock_only	3	Zymo
4D	mock_only	4	DNeasy
4Q	mock_only	4	QIAamp
4Z	mock_only	4	Zymo
PBSD	PBS_negative_control	NA	DNeasy
PBSQ	PBS_negative_control	NA	QIAamp
PBSZ	PBS_negative_control	NA	Zymo
