ASV	raw_hit_count	strict_cutoff_pass_hit_count	retained_top_n_count	selection_status
006332ce4ff87f6466c8309cd667b472	138	138	5	candidate_available
006daa04951eb9299f5610b4c6c17dc5	113	113	5	candidate_available
026c5263ced8f41669b14f7ee3ab05a6	92	92	5	candidate_available
02d4c47b6b2f2c61e8e6fb701b5f4dea	95	95	5	candidate_available
040c1e07de80d76e56f1d8b0b573ca34	98	98	5	candidate_available
04a58f1fa63710803570b8b5e2d3733e	98	98	5	candidate_available
06170a68f344fc34f5fbbd044733994e	88	88	5	candidate_available
0673e25cd741e9931970123bad8cd6ae	90	90	5	candidate_available
07a2672158a9694178ccf1ab878fb08e	115	115	5	candidate_available
07b93f1e7b4522a701d9b3ef5874f881	98	98	5	candidate_available
0ad03262fa2155cc0cae6071e227df84	126	126	5	candidate_available
0b16710fc341de52d3db3a987523142b	135	135	5	candidate_available
0ba4b040a2a556ef91e5ec66381abfaf	113	113	5	candidate_available
0d7f1fa221989e0cc733a52a1d979bfa	83	83	5	candidate_available
0db72d18219924f45026b9dfa92538ec	181	181	5	candidate_available
0e5c75d336000a526d2c07363fd305d0	107	107	5	candidate_available
0ed3a8becd603707260c02ce989b1e2d	153	153	5	candidate_available
12ae8aec67f6e9580e434bbd62c83dcd	89	89	5	candidate_available
12da108a541069a69ac639ae2edcd700	96	96	5	candidate_available
1452b25fcc2cf988fd7ab91920806410	122	122	5	candidate_available
168e27f59b5437d613141aaa2f916072	43	43	5	candidate_available
17586e36e8ab48f597210c14bb4b14a1	130	130	5	candidate_available
19258a7686e049de551d076a284dea99	154	154	5	candidate_available
19589d9adc9d312e7f28d4bddc000468	128	128	5	candidate_available
19e8704f50ae86ef8705db9c3141d9da	106	106	5	candidate_available
1a08b9d790491512c9b5ccdbebb31c4d	158	158	5	candidate_available
1aa1322a555933d26756115adcdd8306	108	108	5	candidate_available
1bf9d2e36256be1150b1fc46095f0716	84	84	5	candidate_available
1f2562bcd89888cd5dc1ecfc90af6ca5	80	80	5	candidate_available
206ac16e519bcdd9dd9f8a782ddfd8df	83	83	5	candidate_available
2502cb3a6108ac2eaa7d36cba4a08694	124	124	5	candidate_available
257c7dbafd43e052b6ff952661ed50db	105	105	5	candidate_available
269110b876ccca673ccbec357552a076	110	110	5	candidate_available
29672ac01b5c6750735fed1907ddd347	74	74	5	candidate_available
2a03599d48e1a5883a372e8a8261d445	84	84	5	candidate_available
2aa87d0ebccf12b39baf51d91e447b2d	158	158	5	candidate_available
2b12210b988a471a2a2e6a89aee198f1	142	142	5	candidate_available
2bffa5bd228042e3fc0e3f30f48c6c13	95	95	5	candidate_available
2ce0943ee52455e0ef499cf2ef2d4e04	127	127	5	candidate_available
