qacc	staxids	sacc	evalue	bitscore	qcovus	pident	length	TaxID	candidate_rank
0067abbe4f3ec2c8b1f93f21dab22215	70558	NR_119812	2.6200000000000002e-132	468.0	100	99.248	266	70558	1
01b9bca264d99ceaedcce67eeee0c285	2126488	NR_156400	3.1700000000000003e-144	508.0	100	100.0	281	2126488	1
01b9bca264d99ceaedcce67eeee0c285	1858585	NR_158281	3.1700000000000003e-144	508.0	100	100.0	281	1858585	2
01b9bca264d99ceaedcce67eeee0c285	1717680	NR_158272	2e-140	495.0	100	99.288	281	1717680	3
03de5f5896c6815c01fb82e636a2d449	129132	NR_130667	3.1700000000000003e-144	508.0	100	100.0	281	129132	1
03de5f5896c6815c01fb82e636a2d449	82522	NR_073246	1.64e-141	499.0	100	99.288	281	82522	2
03de5f5896c6815c01fb82e636a2d449	82518	NR_073252	5.73e-141	497.0	100	99.291	282	82518	3
05bc9afc08b64748dca00ebba463b277	746128	NR_121481	0.0	637.0	100	100.0	353	746128	1
05bc9afc08b64748dca00ebba463b277	1774284	NR_138362	2.56e-178	621.0	100	99.15	353	1774284	2
0688c26b368b7fdfa3039ec0e57440b9	2316195	NR_163312	3.88e-143	505.0	100	99.645	282	2316195	1
0a135d06258a4917295be19c2f72f676	5076;1304711;1304713	NR_077145	6.87e-140	494.0	100	99.64	278	5076	1
0a135d06258a4917295be19c2f72f676	254877;293375	NR_103695	6.87e-140	494.0	100	99.64	278	254877	2
0a135d06258a4917295be19c2f72f676	1303720	NR_111812	6.87e-140	494.0	100	99.64	278	1303720	3
0a135d06258a4917295be19c2f72f676	5078	NR_103692	8.37e-139	489.0	100	99.281	278	5078	4
0a135d06258a4917295be19c2f72f676	60175	NR_103694	8.37e-139	489.0	100	99.281	278	60175	5
0e6108700c9a01c0be9929564a203813	115111	NR_073309	8.01e-159	556.0	100	100.0	308	115111	1
0ea5c361d3337b625fb478ae11fb59bb	114524	NR_111355	3.7300000000000004e-163	572.0	99	99.08	326	114524	1
