ASV	BLAST_Top1_Accession	BLAST_Top1_TaxID	BLAST_Top1_Evalue	BLAST_Top1_Bitscore	BLAST_Top1_Pident	BLAST_Top1_Qcovus	BLAST_Top1_AlignmentLength	BLAST_AmbiguousTopHit	BLAST_SelectionStatus	BLAST_Top1_Kingdom	BLAST_Top1_Phylum	BLAST_Top1_Class	BLAST_Top1_Order	BLAST_Top1_Family	BLAST_Top1_Genus	BLAST_Top1_Species	BLAST_Top2_Accession	BLAST_Top2_Species	BLAST_Top2_Evalue	BLAST_Top2_Bitscore	BLAST_Top2_Pident	BLAST_Top2_Qcovus	BLAST_Top2_AlignmentLength	CustomDB_Taxon	CustomDB_Confidence
006332ce4ff87f6466c8309cd667b472	NR_171785	900002	0.51	21.1	100.0	53	11	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_111007	Saccharomyces_cerevisiae	0.51	21.1	100.0	51	11	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus; s__Cryptococcus_neoformans	100.0
006daa04951eb9299f5610b4c6c17dc5	NR_130667	900010	0.003	29.2	78.723	62	47	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_171785	Cryptococcus_neoformans	0.48	21.1	100.0	38	11	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_dermatis	78.723
026c5263ced8f41669b14f7ee3ab05a6	NR_121481	900001	0.000725	31.0	88.462	37	26	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_077145	Penicillium_chrysogenum	0.000725	31.0	88.462	35	26	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus_fumigatus	88.462
02d4c47b6b2f2c61e8e6fb701b5f4dea	NR_130667	900010	3.3299999999999997e-15	68.9	78.947	71	95	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_171785	Cryptococcus_neoformans	3.8e-08	44.6	69.608	62	102	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_dermatis	78.947
040c1e07de80d76e56f1d8b0b573ca34	NR_121481	900001	0.009000000000000001	26.5	84.615	54	26	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_077145	Penicillium_chrysogenum	0.009000000000000001	26.5	84.615	37	26	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus_fumigatus	84.615
04a58f1fa63710803570b8b5e2d3733e	NR_121481	900001	1.7e-05	36.5	82.927	61	41	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_077145	Penicillium_chrysogenum	0.000208	32.8	88.889	49	27	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus_fumigatus	82.927
06170a68f344fc34f5fbbd044733994e	NR_130667	900010	0.000868	30.1	85.185	37	27	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_130667	Cutaneotrichosporon_dermatis	0.13	22.9	100.0	37	12	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_dermatis	85.185
0673e25cd741e9931970123bad8cd6ae	NR_130691	900007	0.47	22.0	92.857	39	14	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	NR_144900	Trichophyton_interdigitale	0.47	22.0	92.857	35	14	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Nakaseomyces; s__Nakaseomyces_glabratus	92.857
07a2672158a9694178ccf1ab878fb08e	NR_130667	900010	0.003	28.3	90.0	47	20	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_171785	Cryptococcus_neoformans	0.039	24.7	88.889	38	18	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_dermatis	90.0
07b93f1e7b4522a701d9b3ef5874f881	NR_171785	900002	0.003	28.3	68.367	47	98	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_121481	Aspergillus_fumigatus	0.14	22.9	81.818	42	22	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus; s__Cryptococcus_neoformans	68.367
0ad03262fa2155cc0cae6071e227df84	NR_171785	900002	8.31e-05	34.6	73.611	55	72	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_171785	Cryptococcus_neoformans	0.52	22.0	92.857	55	14	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus; s__Cryptococcus_neoformans	73.611
0b16710fc341de52d3db3a987523142b	NR_121481	900001	1.2699999999999996e-64	233.0	94.231	91	156	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_077145	Penicillium_chrysogenum	3.3999999999999993e-59	214.0	89.941	99	169	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus_fumigatus	94.231
0ba4b040a2a556ef91e5ec66381abfaf	NR_130667	900010	0.003	28.3	100.0	56	15	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_130667	Cutaneotrichosporon_dermatis	0.011	27.4	78.125	56	32	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_dermatis	100.0
0d7f1fa221989e0cc733a52a1d979bfa	NR_130690	900005	0.029	25.6	82.14299999999999	45	28	False	candidate_available	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_keratoplasticum	NR_121481	Aspergillus_fumigatus	0.36	21.1	90.0	50	20	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_keratoplasticum	82.14299999999999
0db72d18219924f45026b9dfa92538ec	NR_144900	900003	1.6	20.2	92.308	34	13	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton_interdigitale	NR_111007	Saccharomyces_cerevisiae	1.6	19.3	100.0	70	10	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Onygenales; f__Arthrodermataceae; g__Trichophyton; s__Trichophyton_interdigitale	92.308
0e5c75d336000a526d2c07363fd305d0	NR_171785	900002	0.001	30.1	84.615	36	26	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_130667	Cutaneotrichosporon_dermatis	0.003	28.3	100.0	54	15	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus; s__Cryptococcus_neoformans	84.615
0ed3a8becd603707260c02ce989b1e2d	NR_111007	900009	5.27e-21	88.7	83.90799999999999	56	87	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	NR_130691	Nakaseomyces_glabratus	4.94e-15	68.9	85.484	55	62	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces_cerevisiae	83.90799999999999
12ae8aec67f6e9580e434bbd62c83dcd	NR_130690	900005	1.2	20.2	93.333	34	15	False	candidate_available	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_keratoplasticum	NR_111007	Saccharomyces_cerevisiae	1.2	20.2	92.308	52	13	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_keratoplasticum	93.333
12da108a541069a69ac639ae2edcd700	NR_125332	900006	5.349999999999998e-75	267.0	99.333	100	150	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida_albicans	NR_111007	Saccharomyces_cerevisiae	0.1	22.9	74.359	51	39	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Candida; s__Candida_albicans	99.333
1452b25fcc2cf988fd7ab91920806410	NR_144900	900003	7.949999999999997e-93	325.0	100.0	100	180	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton_interdigitale	NR_121481	Aspergillus_fumigatus	3.87e-08	45.5	68.96600000000001	78	116	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Onygenales; f__Arthrodermataceae; g__Trichophyton; s__Trichophyton_interdigitale	100.0
168e27f59b5437d613141aaa2f916072	NR_111007	900009	0.13	22.0	77.778	84	27	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	NR_125332	Candida_albicans	0.46	19.3	100.0	62	10	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces_cerevisiae	77.778
17586e36e8ab48f597210c14bb4b14a1	NR_130667	900010	0.49	21.1	88.889	50	18	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_130667	Cutaneotrichosporon_dermatis	1.7	19.3	100.0	50	10	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_dermatis	88.889
19258a7686e049de551d076a284dea99	NR_111007	900009	8.96e-18	77.0	87.87899999999998	62	66	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	NR_130691	Nakaseomyces_glabratus	1.3300000000000001e-15	70.7	85.507	59	69	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces_cerevisiae	87.87899999999998
19589d9adc9d312e7f28d4bddc000468	NR_077145	900004	3.4899999999999993e-84	297.0	100.0	100	164	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_121481	Aspergillus_fumigatus	3.269999999999999e-78	277.0	97.576	100	165	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_chrysogenum	100.0
19e8704f50ae86ef8705db9c3141d9da	NR_171785	900002	0.000271	31.9	81.25	33	32	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_144900	Trichophyton_interdigitale	0.49	22.0	92.857	20	14	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus; s__Cryptococcus_neoformans	81.25
1a08b9d790491512c9b5ccdbebb31c4d	NR_130667	900010	0.15	22.9	100.0	42	12	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_111475	Malassezia_globosa	0.15	22.9	88.235	47	17	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_dermatis	100.0
1aa1322a555933d26756115adcdd8306	NR_077145	900004	0.12	23.8	79.31	53	29	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_130691	Nakaseomyces_glabratus	0.41	22.0	84.211	41	19	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_chrysogenum	79.31
1bf9d2e36256be1150b1fc46095f0716	NR_171785	900002	0.038	24.7	84.0	31	25	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_171785	Cryptococcus_neoformans	1.6	19.3	100.0	31	10	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus; s__Cryptococcus_neoformans	84.0
1f2562bcd89888cd5dc1ecfc90af6ca5	NR_171785	900002	0.028	24.7	88.889	31	18	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_121481	Aspergillus_fumigatus	0.34	22.0	80.76899999999998	37	26	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus; s__Cryptococcus_neoformans	88.889
206ac16e519bcdd9dd9f8a782ddfd8df	NR_171785	900002	0.049	24.7	82.609	31	23	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_130667	Cutaneotrichosporon_dermatis	0.17	22.9	100.0	31	12	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus; s__Cryptococcus_neoformans	82.609
2502cb3a6108ac2eaa7d36cba4a08694	NR_130690	900005	1.33e-32	125.0	76.571	98	175	False	candidate_available	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_keratoplasticum	NR_130691	Nakaseomyces_glabratus	0.033	24.7	100.0	47	13	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_keratoplasticum	76.571
