run_id	sample_id	DNA_kit	replicate	matrix_type	Trimm	Paired	Method	taxonomy_method	BLAST	metric	value
fig4_q20_PE_cutadapt_unite	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	F1-score	0.47619047619047616
fig4_q20_PE_cutadapt_unite	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	R²	0.18415012205867667
fig4_q20_PE_cutadapt_unite	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Bray–Curtis	0.6057091704794112
fig4_q20_PE_cutadapt_unite	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Precision	0.45454545454545453
fig4_q20_PE_cutadapt_unite	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Recall	0.5
fig4_q20_PE_cutadapt_unite	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	FDR	0.5454545454545454
fig4_q20_PE_cutadapt_unite	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+BLAST	BLAST	F1-score	0.5454545454545454
fig4_q20_PE_cutadapt_unite	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+BLAST	BLAST	R²	0.1860322039254995
fig4_q20_PE_cutadapt_unite	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+BLAST	BLAST	Bray–Curtis	0.6036328824348518
fig4_q20_PE_cutadapt_unite	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+BLAST	BLAST	Precision	0.5
fig4_q20_PE_cutadapt_unite	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+BLAST	BLAST	Recall	0.6
fig4_q20_PE_cutadapt_unite	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+BLAST	BLAST	FDR	0.5
fig4_q20_PE_cutadapt_unite	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	F1-score	0.47619047619047616
fig4_q20_PE_cutadapt_unite	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	R²	0.19023661279788115
fig4_q20_PE_cutadapt_unite	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Bray–Curtis	0.6262060836993024
fig4_q20_PE_cutadapt_unite	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Precision	0.45454545454545453
fig4_q20_PE_cutadapt_unite	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Recall	0.5
fig4_q20_PE_cutadapt_unite	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	FDR	0.5454545454545454
fig4_q20_PE_cutadapt_unite	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+BLAST	BLAST	F1-score	0.5454545454545454
fig4_q20_PE_cutadapt_unite	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+BLAST	BLAST	R²	0.19187824781293178
fig4_q20_PE_cutadapt_unite	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+BLAST	BLAST	Bray–Curtis	0.6243896925858952
fig4_q20_PE_cutadapt_unite	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+BLAST	BLAST	Precision	0.5
fig4_q20_PE_cutadapt_unite	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+BLAST	BLAST	Recall	0.6
fig4_q20_PE_cutadapt_unite	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+BLAST	BLAST	FDR	0.5
