ASV	BLAST_Top1_Accession	BLAST_Top1_TaxID	BLAST_Top1_Evalue	BLAST_Top1_Bitscore	BLAST_Top1_Pident	BLAST_Top1_Qcovus	BLAST_Top1_AlignmentLength	BLAST_AmbiguousTopHit	BLAST_SelectionStatus	BLAST_Top1_Kingdom	BLAST_Top1_Phylum	BLAST_Top1_Class	BLAST_Top1_Order	BLAST_Top1_Family	BLAST_Top1_Genus	BLAST_Top1_Species	BLAST_Top2_Accession	BLAST_Top2_Species	BLAST_Top2_Evalue	BLAST_Top2_Bitscore	BLAST_Top2_Pident	BLAST_Top2_Qcovus	BLAST_Top2_AlignmentLength
0067abbe4f3ec2c8b1f93f21dab22215	NR_119812	70558	2.62e-132	468.0	99.248	100	266	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sumatraense							
01b9bca264d99ceaedcce67eeee0c285	NR_156400	2126488	3.1700000000000003e-144	508.0	100.0	100	281	True	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neodidymella	Neodidymella_thailandicum	NR_158281	Vacuiphoma_oculihominis	3.1700000000000003e-144	508.0	100.0	100	281
03de5f5896c6815c01fb82e636a2d449	NR_130667	129132	3.1700000000000003e-144	508.0	100.0	100	281	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_073246	Cutaneotrichosporon_mucoides	1.64e-141	499.0	99.288	100	281
05bc9afc08b64748dca00ebba463b277	NR_121481	746128	0.0	637.0	100.0	100	353	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_138362	Aspergillus_oerlinghausenensis	2.56e-178	621.0	99.15	100	353
0688c26b368b7fdfa3039ec0e57440b9	NR_163312	2316195	3.88e-143	505.0	99.645	100	282	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Xylodon_exilis							
0a135d06258a4917295be19c2f72f676	NR_077145	5076	6.87e-140	494.0	99.64	100	278	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	6.87e-140	494.0	99.64	100	278
0e6108700c9a01c0be9929564a203813	NR_073309	115111	8.01e-159	556.0	100.0	100	308	False	candidate_available	Eukaryota	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	Leucosporidium_intermedium							
0ea5c361d3337b625fb478ae11fb59bb	NR_111355	114524	3.73e-163	572.0	99.08	99	326	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_kudriavzevii							
0f2841458644573d5efdd928ad1b992f	NR_126116	36080	1.64e-141	499.0	99.288	100	281	False	candidate_available	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor_circinelloides							
1e10e90c58289ef8eb06b210b1339a3c	NR_077149	41067	4.95e-168	588.0	99.099	100	333	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_candidus	NR_135396	Aspergillus_campestris	4.95e-168	588.0	99.099	100	333
20724af4e0f4acaddd718dafdbd09bfa	NR_130667	129132	4.63e-142	500.0	100.0	100	277	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_073246	Cutaneotrichosporon_mucoides	2.4e-139	491.0	99.278	100	277
261aaef3e9f437880fed728e842bf3ce	NR_175188	2849271	3.91e-143	504.0	99.296	100	284	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Mycoaciella	Mycoaciella_efibulata							
26f118e2e4997cc33c7b3c65fb658710	NR_121481	746128	5.69e-141	498.0	99.643	100	280	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus							
281db102e852e9efd030a38cc9bf92f7	NR_077149	41067	5.71e-141	497.0	99.286	100	280	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_candidus	NR_135396	Aspergillus_campestris	5.71e-141	497.0	99.286	100	280
29733cd0bf01391c2b1b07b45a29b756	NR_154752	129131	1.1e-143	506.0	100.0	100	280	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_debeurmannianum							
31803537c550591a1809288aa796b431	NR_125332	5476	2.9700000000000003e-164	574.0	100.0	100	318	False	candidate_available	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida_albicans	NR_138276	Candida_africana	6.55e-160	561.0	99.057	100	318
327ac8462f09dcda6956148eee117615	NR_103568	106018	3.59e-150	527.0	99.327	100	297	False	candidate_available	Eukaryota	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium_slooffiae							
3a527d6363a858cbdb36b1403f9f7df7	NR_165938	4979	5.22e-148	521.0	99.656	100	291	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella_oryzae							
3b4e11535ad357e303ef9030433d4713	NR_119729	643907	1.35e-142	503.0	99.644	100	281	True	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_colombiae	NR_119730	Cladosporium_pini-ponderosae	1.35e-142	503.0	99.644	100	281
3d70ec70dc3495e97569bc5f82356e79	NR_121299	5074	1.35e-142	503.0	99.644	100	281	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_brevicompactum	NR_138336	Penicillium_kongii	1.35e-142	503.0	99.644	100	281
489bc5e89193d4fe9dfdd84adf0546b3	NR_175188	2849271	3.21e-144	508.0	99.648	100	284	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Mycoaciella	Mycoaciella_efibulata							
49571ba106c5eaf7edcc41ad9aabb51c	NR_077145	5076	6.87e-140	494.0	99.64	100	278	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	6.87e-140	494.0	99.64	100	278
49a3e816a50dc0d518ef46b38d94ddb4	NR_121332	470172	2.57e-132	469.0	99.618	100	262	False	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_ossifragi	NR_119960	Cladosporium_grevilleae	3.14e-131	464.0	99.237	100	262
