sample_id	DNA_kit	kit_code	replicate	matrix_type	kit_source_label	qPCR_species_label	taxon	taxonomic_rank	qPCR_value	qPCR_total	qPCR_relative_abundance	expected_abundance	qPCR_bias	qPCR_relative_deviation_pct
1D	DNeasy	D	1	mock_only	DNeasy Kit	C.albicans	Candida_albicans	Species	0.0052992	0.01396773539999999	0.3793886301712159	0.1	0.27938863017121585	279.3886301712158
1D	DNeasy	D	1	mock_only	DNeasy Kit	C.neoformans	Cryptococcus_neoformans	Species	0.004395	0.01396773539999999	0.3146537269026445	0.1	0.21465372690264448	214.65372690264445
1D	DNeasy	D	1	mock_only	DNeasy Kit	S.cerevisiae	Saccharomyces_cerevisiae	Species	3.244e-4	0.01396773539999999	0.02322495313019747	0.1	-0.07677504686980254	-76.77504686980254
1D	DNeasy	D	1	mock_only	DNeasy Kit	N.glabratus	Nakaseomyces_glabratus	Species	0.001004	0.01396773539999999	0.07187994125375542	0.1	-0.028120058746244583	-28.12005874624458
1D	DNeasy	D	1	mock_only	DNeasy Kit	C.dermatis	Cutaneotrichosporon_dermatis	Species	6.31e-4	0.01396773539999999	0.04517554076804749	0.1	-0.05482445923195252	-54.82445923195252
1D	DNeasy	D	1	mock_only	DNeasy Kit	P.chrysogenum	Penicillium_chrysogenum	Species	7.25e-4	0.01396773539999999	0.05190533606471383	0.1	-0.04809466393528618	-48.09466393528618
1D	DNeasy	D	1	mock_only	DNeasy Kit	F.keratoplasticum	Fusarium_keratoplasticum	Species	9.998e-6	0.01396773539999999	7.1579248272415e-4	0.1	-0.09928420751727586	-99.28420751727586
1D	DNeasy	D	1	mock_only	DNeasy Kit	T.interdigitale	Trichophyton_interdigitale	Species	6.81938e-5	0.01396773539999999	0.00488223738831707	0.1	-0.095117762611682935	-95.11776261168293
1D	DNeasy	D	1	mock_only	DNeasy Kit	A.fumigatus	Aspergillus_fumigatus	Species	0.00148	0.01396773539999999	0.10595847913900204	0.1	0.005958479139002035	5.958479139002034
1D	DNeasy	D	1	mock_only	DNeasy Kit	M.globosa	Malassezia_globosa	Species	3.09436e-5	0.01396773539999999	0.00221536269938217	0.1	-0.09778463730061783	-97.78463730061783
