qacc	staxids	sacc	evalue	bitscore	qcovus	pident	length	TaxID	candidate_rank
0067abbe4f3ec2c8b1f93f21dab22215	70558	NR_119812	2.6200000000000002e-132	468.0	100	99.248	266	70558	1
0067abbe4f3ec2c8b1f93f21dab22215	439017	NR_153214	3.89e-111	398.0	85	99.119	227	439017	2
01b9bca264d99ceaedcce67eeee0c285	2126488	NR_156400	3.1700000000000003e-144	508.0	100	100.0	281	2126488	1
01b9bca264d99ceaedcce67eeee0c285	1858585	NR_158281	3.1700000000000003e-144	508.0	100	100.0	281	1858585	2
01b9bca264d99ceaedcce67eeee0c285	1717680	NR_158272	2e-140	495.0	100	99.288	281	1717680	3
01b9bca264d99ceaedcce67eeee0c285	2078567	NR_158235	1.04e-137	486.0	96	100.0	269	2078567	4
03adce78e88ff12a6e2bd982b4276941	5478	NR_130691	0.0	717.0	95	100.0	397	5478	1
03de5f5896c6815c01fb82e636a2d449	129132	NR_130667	3.1700000000000003e-144	508.0	100	100.0	281	129132	1
03de5f5896c6815c01fb82e636a2d449	82522	NR_073246	1.64e-141	499.0	100	99.288	281	82522	2
03de5f5896c6815c01fb82e636a2d449	82518	NR_073252	5.73e-141	497.0	100	99.291	282	82518	3
05bc9afc08b64748dca00ebba463b277	746128	NR_121481	0.0	637.0	100	100.0	353	746128	1
05bc9afc08b64748dca00ebba463b277	1774284	NR_138362	2.56e-178	621.0	100	99.15	353	1774284	2
0688c26b368b7fdfa3039ec0e57440b9	2316195	NR_163312	3.88e-143	505.0	100	99.645	282	2316195	1
0a135d06258a4917295be19c2f72f676	5076;1304711;1304713	NR_077145	6.87e-140	494.0	100	99.64	278	5076	1
0a135d06258a4917295be19c2f72f676	254877;293375	NR_103695	6.87e-140	494.0	100	99.64	278	254877	2
0a135d06258a4917295be19c2f72f676	1303720	NR_111812	6.87e-140	494.0	100	99.64	278	1303720	3
0a135d06258a4917295be19c2f72f676	5078	NR_103692	8.37e-139	489.0	100	99.281	278	5078	4
0a135d06258a4917295be19c2f72f676	60175	NR_103694	8.37e-139	489.0	100	99.281	278	60175	5
0e6108700c9a01c0be9929564a203813	115111	NR_073309	8.01e-159	556.0	100	100.0	308	115111	1
0ea5c361d3337b625fb478ae11fb59bb	114524	NR_111355	3.7300000000000004e-163	572.0	99	99.08	326	114524	1
0ea5c361d3337b625fb478ae11fb59bb	27291	NR_138272	9.379999999999999e-152	534.0	94	99.023	307	27291	2
0f2841458644573d5efdd928ad1b992f	36080	NR_126116	1.64e-141	499.0	100	99.288	281	36080	1
1154f8dee7969c131cbd0a8fcadd4c40	643907	NR_119729	1.99e-127	452.0	97	99.216	255	643907	1
1154f8dee7969c131cbd0a8fcadd4c40	1970647	NR_148192	1.99e-127	452.0	97	99.216	255	1970647	2
1154f8dee7969c131cbd0a8fcadd4c40	643908	NR_119730	2.9500000000000003e-125	444.0	95	99.203	251	643908	3
1154f8dee7969c131cbd0a8fcadd4c40	1116209;1116210	NR_120013	1.8600000000000001e-121	432.0	93	99.18	244	1116209	4
1154f8dee7969c131cbd0a8fcadd4c40	887074;887085;887088;887094;887098;887102	NR_119836	6.5e-121	431.0	92	99.585	241	887074	5
1d819ed956fe66695c8533e01cda3c40	129132	NR_130667	2.7800000000000002e-132	468.0	96	100.0	259	129132	1
1d819ed956fe66695c8533e01cda3c40	82522	NR_073246	1.44e-129	459.0	96	99.228	259	82522	2
1d819ed956fe66695c8533e01cda3c40	82518	NR_073252	5.0300000000000003e-129	457.0	96	99.231	260	82518	3
20724af4e0f4acaddd718dafdbd09bfa	129132	NR_130667	4.6299999999999996e-142	500.0	100	100.0	277	129132	1
20724af4e0f4acaddd718dafdbd09bfa	82522	NR_073246	2.3999999999999998e-139	491.0	100	99.278	277	82522	2
20724af4e0f4acaddd718dafdbd09bfa	82518	NR_073252	8.37e-139	489.0	100	99.281	278	82518	3
261aaef3e9f437880fed728e842bf3ce	2849271	NR_175188	3.91e-143	504.0	100	99.296	284	2849271	1
26f118e2e4997cc33c7b3c65fb658710	746128	NR_121481	5.69e-141	498.0	100	99.643	280	746128	1
2c484be9b08b9337d6451a774a820cc7	470172;470179	NR_121332	9.020000000000001e-132	466.0	100	99.24	263	470172	1
