run_id	sample_id	DNA_kit	replicate	matrix_type	Trimm	Paired	Method	taxonomy_method	BLAST	metric	value
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	F1-score	0.9473684210526316
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	R²	NA
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Bray–Curtis	0.39888560720756494
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Precision	1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Recall	0.9
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	FDR	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	F1-score	0.9473684210526316
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	R²	NA
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Bray–Curtis	0.4195183674785215
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Precision	1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Recall	0.9
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	FDR	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	F1-score	1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	R²	NA
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Bray–Curtis	0.4265250350514484
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Precision	1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Recall	1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	FDR	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2D	DNeasy	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	F1-score	0.9473684210526316
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2D	DNeasy	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	R²	NA
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2D	DNeasy	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Bray–Curtis	0.4001774265091333
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2D	DNeasy	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Precision	1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2D	DNeasy	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Recall	0.9
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2D	DNeasy	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	FDR	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2Q	QIAamp	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	F1-score	1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2Q	QIAamp	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	R²	NA
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2Q	QIAamp	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Bray–Curtis	0.4128032647979387
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2Q	QIAamp	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Precision	1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2Q	QIAamp	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Recall	1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2Q	QIAamp	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	FDR	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2Z	Zymo	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	F1-score	1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2Z	Zymo	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	R²	NA
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2Z	Zymo	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Bray–Curtis	0.40414146602236883
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2Z	Zymo	2	mock_only	Cutadapt	PE	Cutadapt_PE	CustomDB BLAST	CustomDB_BLAST	Precision	1
