ASV	BLAST_Top1_Accession	BLAST_Top1_TaxID	BLAST_Top1_Evalue	BLAST_Top1_Bitscore	BLAST_Top1_Pident	BLAST_Top1_Qcovus	BLAST_Top1_AlignmentLength	BLAST_AmbiguousTopHit	BLAST_SelectionStatus	BLAST_Top1_Kingdom	BLAST_Top1_Phylum	BLAST_Top1_Class	BLAST_Top1_Order	BLAST_Top1_Family	BLAST_Top1_Genus	BLAST_Top1_Species	BLAST_Top2_Accession	BLAST_Top2_Species	BLAST_Top2_Evalue	BLAST_Top2_Bitscore	BLAST_Top2_Pident	BLAST_Top2_Qcovus	BLAST_Top2_AlignmentLength
0191681120840e940a5629f6f9c23e63	NR_130691	900007	1.5	20.2	76.667	46	30	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	NR_144900	Trichophyton_interdigitale	1.5	19.3	100.0	37	10
026c5263ced8f41669b14f7ee3ab05a6	NR_121481	900001	0.000725	31.0	88.462	37	26	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_077145	Penicillium_chrysogenum	0.000725	31.0	88.462	35	26
040c1e07de80d76e56f1d8b0b573ca34	NR_121481	900001	0.009000000000000001	26.5	84.615	54	26	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_077145	Penicillium_chrysogenum	0.009000000000000001	26.5	84.615	37	26
04a58f1fa63710803570b8b5e2d3733e	NR_121481	900001	1.7e-05	36.5	82.927	61	41	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_077145	Penicillium_chrysogenum	0.000208	32.8	88.889	49	27
05d6255f92dbd4b2b793b809c524de21	NR_130667	900010	0.42	22.0	85.714	45	21	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_111475	Malassezia_globosa	0.42	21.1	100.0	38	11
05dcbd64ea8517b09449bf3ddd4a83dd	NR_111475	900008	0.035	25.6	85.714	53	21	False	candidate_available	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	NR_171785	Cryptococcus_neoformans	0.42	22.0	92.857	54	14
061f5ddd4c902be6adec1f0e62e8f2f4	NR_130667	900010	0.035	24.7	100.0	31	13	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_130691	Nakaseomyces_glabratus	1.5	20.2	92.308	45	13
06a0c0a16a03d41b0e21de876ccd4a1a	NR_171785	900002	0.035	24.7	82.609	50	23	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_171785	Cryptococcus_neoformans	0.42	22.0	84.211	50	19
0adfbaa4d24ec21c5bd7da91cc36bf83	NR_111007	900009	4.81e-89	313.0	100.0	100	173	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	NR_130691	Nakaseomyces_glabratus	5.5e-25	100.0	87.95200000000001	81	83
0b16710fc341de52d3db3a987523142b	NR_121481	900001	1.2699999999999996e-64	233.0	94.231	91	156	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_077145	Penicillium_chrysogenum	3.3999999999999993e-59	214.0	89.941	99	169
0d7f1fa221989e0cc733a52a1d979bfa	NR_130690	900005	0.029	25.6	82.14299999999999	45	28	False	candidate_available	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_keratoplasticum	NR_121481	Aspergillus_fumigatus	0.36	21.1	90.0	50	20
0f501f42f168efedff8209067a2ccc06	NR_171785	900002	0.035	25.6	77.419	38	31	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_171785	Cryptococcus_neoformans	0.42	21.1	100.0	38	11
0f8830963d0007509b4256e7708c4537	NR_111007	900009	1.5	20.2	92.308	59	13	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	NR_111007	Saccharomyces_cerevisiae	1.5	20.2	81.48100000000002	59	27
0fd1d727176f466547928eba1e93d32c	NR_111475	900008	0.01	27.4	72.581	50	62	False	candidate_available	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	NR_111475	Malassezia_globosa	0.035	24.7	100.0	50	13
0fdc8bc75eb918dcdf72a96e854a694e	NR_171785	900002	0.003	28.3	68.367	54	98	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_111475	Malassezia_globosa	1.5	19.3	100.0	46	10
