qacc	staxids	sacc	evalue	bitscore	qcovus	pident	length	TaxID	candidate_rank
02d4c47b6b2f2c61e8e6fb701b5f4dea	157611	NR_111083	8.04e-86	314.0	100	99.438	178	157611	1
04a58f1fa63710803570b8b5e2d3733e	2777685	NR_174830	4.11e-76	280.0	100	100.0	155	2777685	1
0b16710fc341de52d3db3a987523142b	70558	NR_119812	3.29e-84	307.0	100	100.0	170	70558	1
0b16710fc341de52d3db3a987523142b	439017	NR_153214	3.29e-84	307.0	100	100.0	170	439017	2
0b16710fc341de52d3db3a987523142b	1407461	NR_198469	1.3999999999999998e-82	303.0	100	99.412	170	1407461	3
0d7f1fa221989e0cc733a52a1d979bfa	887084;887105;887106	NR_111530	1.0400000000000001e-70	263.0	100	99.324	148	887084	1
0d7f1fa221989e0cc733a52a1d979bfa	887090;887099	NR_111532	1.0400000000000001e-70	263.0	100	99.324	148	887090	2
0d7f1fa221989e0cc733a52a1d979bfa	887093;887097	NR_111534	1.0400000000000001e-70	263.0	100	99.324	148	887093	3
0d7f1fa221989e0cc733a52a1d979bfa	887071;887096	NR_111536	1.0400000000000001e-70	263.0	100	99.324	148	887071	4
0d7f1fa221989e0cc733a52a1d979bfa	887089	NR_119843	1.0400000000000001e-70	263.0	100	99.324	148	887089	5
0ed3a8becd603707260c02ce989b1e2d	4950	NR_111257	3.0699999999999997e-131	464.0	100	100.0	257	4950	1
12da108a541069a69ac639ae2edcd700	5476	NR_125332	8.710000000000001e-72	267.0	100	99.333	150	5476	1
1452b25fcc2cf988fd7ab91920806410	101480	NR_144900	1.3e-89	325.0	100	100.0	180	101480	1
1452b25fcc2cf988fd7ab91920806410	2739387	NR_173767	1.93e-87	319.0	99	99.441	179	2739387	2
17586e36e8ab48f597210c14bb4b14a1	183961	NR_137660	7.07e-100	360.0	100	100.0	199	183961	1
17586e36e8ab48f597210c14bb4b14a1	86828	NR_136959	3.01e-98	355.0	100	99.497	199	86828	2
19258a7686e049de551d076a284dea99	27293	NR_138193	5.9e-121	431.0	100	99.585	241	27293	1
1f2562bcd89888cd5dc1ecfc90af6ca5	798071	NR_175033	2.15e-66	249.0	100	99.286	140	798071	1
2502cb3a6108ac2eaa7d36cba4a08694	1036732	NR_130685	1.37e-82	302.0	100	100.0	167	1036732	1
