qacc	staxids	sacc	evalue	bitscore	qcovus	pident	length	TaxID	candidate_rank
006332ce4ff87f6466c8309cd667b472	900002	NR_171785	0.51	21.1	53	100.0	11	900002	1
006daa04951eb9299f5610b4c6c17dc5	900010	NR_130667	0.003	29.2	62	78.723	47	900010	1
026c5263ced8f41669b14f7ee3ab05a6	900001	NR_121481	0.000725	31.0	37	88.462	26	900001	1
02d4c47b6b2f2c61e8e6fb701b5f4dea	900010	NR_130667	3.3299999999999997e-15	68.9	71	78.947	95	900010	1
040c1e07de80d76e56f1d8b0b573ca34	900001	NR_121481	0.009000000000000001	26.5	54	84.615	26	900001	1
04a58f1fa63710803570b8b5e2d3733e	900001	NR_121481	1.7e-05	36.5	61	82.927	41	900001	1
06170a68f344fc34f5fbbd044733994e	900010	NR_130667	0.000868	30.1	37	85.185	27	900010	1
0673e25cd741e9931970123bad8cd6ae	900007	NR_130691	0.47	22.0	39	92.85700000000001	14	900007	1
07a2672158a9694178ccf1ab878fb08e	900010	NR_130667	0.003	28.3	47	90.0	20	900010	1
07b93f1e7b4522a701d9b3ef5874f881	900002	NR_171785	0.003	28.3	47	68.367	98	900002	1
0ad03262fa2155cc0cae6071e227df84	900002	NR_171785	8.31e-05	34.6	55	73.611	72	900002	1
0b16710fc341de52d3db3a987523142b	900001	NR_121481	1.2699999999999998e-64	233.0	91	94.23100000000001	156	900001	1
0ba4b040a2a556ef91e5ec66381abfaf	900010	NR_130667	0.003	28.3	56	100.0	15	900010	1
0d7f1fa221989e0cc733a52a1d979bfa	900005	NR_130690	0.028999999999999998	25.6	45	82.14299999999999	28	900005	1
0db72d18219924f45026b9dfa92538ec	900003	NR_144900	1.6	20.2	34	92.30799999999999	13	900003	1
0e5c75d336000a526d2c07363fd305d0	900002	NR_171785	0.001	30.1	36	84.615	26	900002	1
0ed3a8becd603707260c02ce989b1e2d	900009	NR_111007	5.27e-21	88.7	56	83.90799999999999	87	900009	1
12ae8aec67f6e9580e434bbd62c83dcd	900005	NR_130690	1.2	20.2	34	93.333	15	900005	1
12da108a541069a69ac639ae2edcd700	900006	NR_125332	5.349999999999999e-75	267.0	100	99.333	150	900006	1
1452b25fcc2cf988fd7ab91920806410	900003	NR_144900	7.949999999999999e-93	325.0	100	100.0	180	900003	1
168e27f59b5437d613141aaa2f916072	900009	NR_111007	0.13	22.0	84	77.778	27	900009	1
17586e36e8ab48f597210c14bb4b14a1	900010	NR_130667	0.49	21.1	50	88.889	18	900010	1
19258a7686e049de551d076a284dea99	900009	NR_111007	8.96e-18	77.0	62	87.87899999999999	66	900009	1
19589d9adc9d312e7f28d4bddc000468	900004	NR_077145	3.4899999999999997e-84	297.0	100	100.0	164	900004	1
19e8704f50ae86ef8705db9c3141d9da	900002	NR_171785	0.000271	31.9	33	81.25	32	900002	1
1a08b9d790491512c9b5ccdbebb31c4d	900010	NR_130667	0.15	22.9	42	100.0	12	900010	1
1aa1322a555933d26756115adcdd8306	900004	NR_077145	0.12	23.8	53	79.31	29	900004	1
1bf9d2e36256be1150b1fc46095f0716	900002	NR_171785	0.038	24.7	31	84.0	25	900002	1
1f2562bcd89888cd5dc1ecfc90af6ca5	900002	NR_171785	0.027999999999999997	24.7	31	88.889	18	900002	1
206ac16e519bcdd9dd9f8a782ddfd8df	900002	NR_171785	0.049	24.7	31	82.609	23	900002	1
2502cb3a6108ac2eaa7d36cba4a08694	900005	NR_130690	1.33e-32	125.0	98	76.571	175	900005	1
257c7dbafd43e052b6ff952661ed50db	900010	NR_130667	0.011000000000000001	26.5	41	78.788	33	900010	1
269110b876ccca673ccbec357552a076	900010	NR_130667	0.13	23.8	41	93.333	15	900010	1
29672ac01b5c6750735fed1907ddd347	900002	NR_171785	0.0005650000000000001	31.0	51	87.5	24	900002	1
2a03599d48e1a5883a372e8a8261d445	900005	NR_130690	1.04e-08	47.3	75	67.46	126	900005	1
2aa87d0ebccf12b39baf51d91e447b2d	900010	NR_130667	0.013000000000000001	26.5	43	100.0	14	900010	1
2b12210b988a471a2a2e6a89aee198f1	900009	NR_111007	0.16	23.8	41	93.333	15	900009	1
2bffa5bd228042e3fc0e3f30f48c6c13	900002	NR_171785	1.7	20.2	28	92.30799999999999	13	900002	1
2ce0943ee52455e0ef499cf2ef2d4e04	900004	NR_077145	5.139999999999999e-82	290.0	100	99.387	163	900004	1
2d5f90f732790862f85983cf328a51bf	900002	NR_171785	0.001	30.1	38	84.615	26	900002	1
2d783fc0a24c9350fd6e4c008ade61f1	900004	NR_077145	1.2099999999999998e-83	295.0	100	100.0	163	900004	1
2dbcbbad059800b66cce2a8752f950b6	900002	NR_171785	0.039	25.6	34	77.419	31	900002	1
2e3204476045187561769297cb5deb63	900003	NR_144900	0.14	22.9	42	76.744	43	900003	1
2f9d7e8bea9501d87407a5e5a59bf89b	900001	NR_121481	0.0006889999999999999	31.0	47	88.462	26	900001	1
2fac1bc2c61bb76209c62f3be67e15e8	900010	NR_130667	0.49	22.0	49	92.85700000000001	14	900010	1
301628c5f05bcb9636f353d42fcc04c6	900002	NR_171785	4.559999999999998e-96	336.0	100	100.0	186	900002	1
307336b90220c9e62068fc5a324cd764	900005	NR_130690	0.52	21.1	43	100.0	11	900005	1
315affd4c31c0bc2a94bf5db590086cd	900009	NR_111007	4.7399999999999995e-116	403.0	100	99.13799999999999	232	900009	1
358e5aeac803d1eb8da09407f491871c	900010	NR_130667	0.011000000000000001	26.5	33	78.788	33	900010	1
36461ec46bb917ed47cd574fbefddef4	900005	NR_130690	0.37	21.1	86	100.0	11	900005	1
37d4a335bf1d51f01582d9471a112681	900010	NR_130667	5.96e-06	38.3	58	95.652	23	900010	1
387de4923eb7c1950b022e185327224b	900007	NR_130691	0.39	21.1	47	100.0	11	900007	1
