ASV	BLAST_Top1_Accession	BLAST_Top1_TaxID	BLAST_Top1_Evalue	BLAST_Top1_Bitscore	BLAST_Top1_Pident	BLAST_Top1_Qcovus	BLAST_Top1_AlignmentLength	BLAST_AmbiguousTopHit	BLAST_SelectionStatus	BLAST_Top1_Kingdom	BLAST_Top1_Phylum	BLAST_Top1_Class	BLAST_Top1_Order	BLAST_Top1_Family	BLAST_Top1_Genus	BLAST_Top1_Species	BLAST_Top2_Accession	BLAST_Top2_Species	BLAST_Top2_Evalue	BLAST_Top2_Bitscore	BLAST_Top2_Pident	BLAST_Top2_Qcovus
0067abbe4f3ec2c8b1f93f21dab22215	NR_119812	70558	2.62e-132	468.0	99.248	100	266	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sumatraense	NR_153214	Penicillium_meleagrinum	3.89e-111	398.0	99.119	85
01b9bca264d99ceaedcce67eeee0c285	NR_156400	2126488	3.1700000000000003e-144	508.0	100.0	100	281	True	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neodidymella	Neodidymella_thailandicum	NR_158281	Vacuiphoma_oculihominis	3.1700000000000003e-144	508.0	100.0	100
03adce78e88ff12a6e2bd982b4276941	NR_130691	5478	0.0	717.0	100.0	95	397	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus						
03de5f5896c6815c01fb82e636a2d449	NR_130667	129132	3.1700000000000003e-144	508.0	100.0	100	281	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_073246	Cutaneotrichosporon_mucoides	1.64e-141	499.0	99.288	100
05bc9afc08b64748dca00ebba463b277	NR_121481	746128	0.0	637.0	100.0	100	353	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_138362	Aspergillus_oerlinghausenensis	2.56e-178	621.0	99.15	100
0688c26b368b7fdfa3039ec0e57440b9	NR_163312	2316195	3.88e-143	505.0	99.645	100	282	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Xylodon_exilis						
0a135d06258a4917295be19c2f72f676	NR_077145	5076	6.87e-140	494.0	99.64	100	278	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	6.87e-140	494.0	99.64	100
0e6108700c9a01c0be9929564a203813	NR_073309	115111	8.01e-159	556.0	100.0	100	308	False	candidate_available	Eukaryota	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	Leucosporidium_intermedium						
0ea5c361d3337b625fb478ae11fb59bb	NR_111355	114524	3.73e-163	572.0	99.08	99	326	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_kudriavzevii	NR_138272	Saccharomyces_paradoxus	9.379999999999999e-152	534.0	99.023	94
0f2841458644573d5efdd928ad1b992f	NR_126116	36080	1.64e-141	499.0	99.288	100	281	False	candidate_available	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor_circinelloides						
1154f8dee7969c131cbd0a8fcadd4c40	NR_119729	643907	1.99e-127	452.0	99.216	97	255	True	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_colombiae	NR_148192	Cladosporium_crousii	1.99e-127	452.0	99.216	97
1d819ed956fe66695c8533e01cda3c40	NR_130667	129132	2.78e-132	468.0	100.0	96	259	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_073246	Cutaneotrichosporon_mucoides	1.44e-129	459.0	99.228	96
20724af4e0f4acaddd718dafdbd09bfa	NR_130667	129132	4.63e-142	500.0	100.0	100	277	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_073246	Cutaneotrichosporon_mucoides	2.4e-139	491.0	99.278	100
261aaef3e9f437880fed728e842bf3ce	NR_175188	2849271	3.91e-143	504.0	99.296	100	284	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Mycoaciella	Mycoaciella_efibulata						
26f118e2e4997cc33c7b3c65fb658710	NR_121481	746128	5.69e-141	498.0	99.643	100	280	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus						
2c484be9b08b9337d6451a774a820cc7	NR_121332	470172	9.02e-132	466.0	99.24	100	263	False	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_ossifragi	NR_119729	Cladosporium_colombiae	1.63e-128	456.0	99.608	97
