ASV	BLAST_Top1_Accession	BLAST_Top1_TaxID	BLAST_Top1_Evalue	BLAST_Top1_Bitscore	BLAST_Top1_Pident	BLAST_Top1_Qcovus	BLAST_Top1_AlignmentLength	BLAST_AmbiguousTopHit	BLAST_SelectionStatus	BLAST_Top1_Kingdom	BLAST_Top1_Phylum	BLAST_Top1_Class	BLAST_Top1_Order	BLAST_Top1_Family	BLAST_Top1_Genus	BLAST_Top1_Species	BLAST_Top2_Accession	BLAST_Top2_Species	BLAST_Top2_Evalue	BLAST_Top2_Bitscore	BLAST_Top2_Pident	BLAST_Top2_Qcovus	BLAST_Top2_AlignmentLength
0067abbe4f3ec2c8b1f93f21dab22215	NR_121481	900001	1.4599999999999993e-110	386.0	93.258	100	267	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_077145	Penicillium_chrysogenum	1.6699999999999992e-103	361.0	90.977	100	266
013a0b22fa2570a9fca2281d979c43ce	NR_171785	900002	5.91e-21	87.8	78.182	74	110	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_111475	Malassezia_globosa	4.54e-16	72.5	83.58200000000002	53	67
01517fb3b2efbc8638ba652cff74ea45	NR_130691	900007	1.4e-30	121.0	89.88799999999998	48	89	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	NR_171785	Cryptococcus_neoformans	4.88e-30	119.0	89.773	45	88
01b9bca264d99ceaedcce67eeee0c285	NR_121481	900001	5.79e-40	150.0	89.565	63	115	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_077145	Penicillium_chrysogenum	3e-37	142.0	88.696	59	115
01f7633d99821e693602dae45808d71c	NR_171785	900002	2.4300000000000003e-20	86.0	92.982	49	57	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_130691	Nakaseomyces_glabratus	1.03e-18	80.6	92.593	46	54
02a08e7b3d2d977945313b9fb5d6cccc	NR_111007	900009	4.74e-05	35.6	100.0	45	19	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	NR_121481	Aspergillus_fumigatus	4.74e-05	35.6	100.0	32	19
02c332c3221a7fc18460f12ac0111d82	NR_130691	900007	3.2799999999999995e-32	125.0	91.011	45	89	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	NR_171785	Cryptococcus_neoformans	1.14e-31	123.0	90.909	42	88
03adce78e88ff12a6e2bd982b4276941	NR_130691	900007	0.0	717.0	100.0	95	397	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	NR_111007	Saccharomyces_cerevisiae	9.33e-84	297.0	93.564	65	202
03de5f5896c6815c01fb82e636a2d449	NR_130667	900010	1.8799999999999993e-147	508.0	100.0	100	281	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_171785	Cryptococcus_neoformans	1.05e-36	141.0	71.29	100	310
044c0abf07903b8b4131f54e35a7c56b	NR_171785	900002	7.200000000000001e-20	84.2	78.641	72	103	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_111475	Malassezia_globosa	4.54e-16	72.5	83.58200000000002	55	67
0579fae15ec314635f7bfd4b794ca07d	NR_111007	900009	1.15e-05	37.4	100.0	47	20	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	NR_130690	Fusarium_keratoplasticum	1.15e-05	37.4	100.0	37	20
05a29d43e7926471622da8fb7de61e0d	NR_121481	900001	1.83e-05	37.4	100.0	35	20	True	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_144900	Trichophyton_interdigitale	1.83e-05	37.4	100.0	35	20
05a56095084bcc3dde845c95ccb3f491	NR_130667	900010	2.04e-14	67.1	83.333	64	66	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_171785	Cryptococcus_neoformans	2.04e-14	67.1	81.15899999999998	65	69
05bc9afc08b64748dca00ebba463b277	NR_121481	900001	0.0	637.0	100.0	100	353	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_077145	Penicillium_chrysogenum	3.3199999999999986e-158	544.0	94.93	100	355
066d3a6a9990f7d9069cd4f072317dbe	NR_171785	900002	2.4300000000000003e-20	86.0	92.982	48	57	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_130691	Nakaseomyces_glabratus	1.0399999999999999e-18	80.6	92.593	46	54
0688c26b368b7fdfa3039ec0e57440b9	NR_130667	900010	2.03e-20	86.9	70.877	100	285	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_111475	Malassezia_globosa	3.0099999999999998e-18	79.7	91.071	45	56
06dcdeaf8b7e48026a27971278d6783a	NR_121481	900001	3.13e-06	39.2	100.0	46	21	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_130690	Fusarium_keratoplasticum	3.13e-06	39.2	100.0	42	21
0752dc88c365db47a824bafc2310dd10	NR_130667	900010	4.2e-23	95.1	68.212	100	302	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_171785	Cryptococcus_neoformans	2.65e-19	82.4	77.193	65	114
080d5100561ec2c06ed6b12f04e6765e	NR_130691	900007	1.0	22.0	92.857	40	14	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	NR_144900	Trichophyton_interdigitale	1.0	22.0	80.76899999999998	31	26
09d930f2ed87b3557b31fac73c4ec6ac	NR_130691	900007	3.1e-32	125.0	91.011	62	89	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	NR_171785	Cryptococcus_neoformans	1.08e-31	123.0	90.909	43	88
09de61d81017f4d844ceb66d071f6718	NR_144900	900003	2.34e-06	39.2	100.0	47	21	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton_interdigitale	NR_130690	Fusarium_keratoplasticum	2.34e-06	39.2	100.0	39	21
