qacc	staxids	sacc	evalue	bitscore	qcovus	pident	length	TaxID	candidate_rank
006332ce4ff87f6466c8309cd667b472	900002	NR_171785	0.51	21.1	53	100.0	11	900002	1
006332ce4ff87f6466c8309cd667b472	900009	NR_111007	0.51	21.1	51	100.0	11	900009	2
006332ce4ff87f6466c8309cd667b472	900008	NR_111475	0.51	21.1	34	100.0	11	900008	3
006332ce4ff87f6466c8309cd667b472	900002	NR_171785	0.51	21.1	53	80.952	21	900002	4
006332ce4ff87f6466c8309cd667b472	900010	NR_130667	1.8	20.2	49	92.30799999999999	13	900010	5
006daa04951eb9299f5610b4c6c17dc5	900010	NR_130667	0.003	29.2	62	78.723	47	900010	1
006daa04951eb9299f5610b4c6c17dc5	900002	NR_171785	0.48	21.1	38	100.0	11	900002	2
006daa04951eb9299f5610b4c6c17dc5	900006	NR_125332	0.48	21.1	37	100.0	11	900006	3
006daa04951eb9299f5610b4c6c17dc5	900001	NR_121481	0.48	21.1	46	87.5	16	900001	4
006daa04951eb9299f5610b4c6c17dc5	900010	NR_130667	1.7	20.2	62	92.30799999999999	13	900010	5
026c5263ced8f41669b14f7ee3ab05a6	900001	NR_121481	0.000725	31.0	37	88.462	26	900001	1
026c5263ced8f41669b14f7ee3ab05a6	900004	NR_077145	0.000725	31.0	35	88.462	26	900004	2
026c5263ced8f41669b14f7ee3ab05a6	900003	NR_144900	0.031	24.7	43	84.0	25	900003	3
026c5263ced8f41669b14f7ee3ab05a6	900005	NR_130690	0.11	22.9	42	100.0	12	900005	4
026c5263ced8f41669b14f7ee3ab05a6	900002	NR_171785	0.11	22.9	43	88.235	17	900002	5
02d4c47b6b2f2c61e8e6fb701b5f4dea	900010	NR_130667	3.3299999999999997e-15	68.9	71	78.947	95	900010	1
02d4c47b6b2f2c61e8e6fb701b5f4dea	900002	NR_171785	3.7999999999999996e-08	44.6	62	69.608	102	900002	2
02d4c47b6b2f2c61e8e6fb701b5f4dea	900002	NR_171785	0.01	27.4	62	94.73700000000001	19	900002	3
02d4c47b6b2f2c61e8e6fb701b5f4dea	900006	NR_125332	0.43	22.0	44	85.714	21	900006	4
02d4c47b6b2f2c61e8e6fb701b5f4dea	900004	NR_077145	1.5	19.3	41	86.667	15	900004	5
040c1e07de80d76e56f1d8b0b573ca34	900001	NR_121481	0.009000000000000001	26.5	54	84.615	26	900001	1
040c1e07de80d76e56f1d8b0b573ca34	900004	NR_077145	0.009000000000000001	26.5	37	84.615	26	900004	2
040c1e07de80d76e56f1d8b0b573ca34	900005	NR_130690	1.3	20.2	49	92.30799999999999	13	900005	3
040c1e07de80d76e56f1d8b0b573ca34	900002	NR_171785	1.3	20.2	58	83.333	18	900002	4
040c1e07de80d76e56f1d8b0b573ca34	900003	NR_144900	1.3	20.2	49	80.0	25	900003	5
04a58f1fa63710803570b8b5e2d3733e	900001	NR_121481	1.7e-05	36.5	61	82.927	41	900001	1
04a58f1fa63710803570b8b5e2d3733e	900004	NR_077145	0.00020800000000000001	32.8	49	88.889	27	900004	2
04a58f1fa63710803570b8b5e2d3733e	900003	NR_144900	0.00020800000000000001	32.8	61	78.26100000000001	46	900003	3
04a58f1fa63710803570b8b5e2d3733e	900004	NR_077145	0.38	21.1	49	87.5	16	900004	4
04a58f1fa63710803570b8b5e2d3733e	900009	NR_111007	1.3	20.2	51	92.30799999999999	13	900009	5
06170a68f344fc34f5fbbd044733994e	900010	NR_130667	0.000868	30.1	37	85.185	27	900010	1
06170a68f344fc34f5fbbd044733994e	900010	NR_130667	0.13	22.9	37	100.0	12	900010	2
06170a68f344fc34f5fbbd044733994e	900002	NR_171785	0.13	22.9	40	77.778	27	900002	3
06170a68f344fc34f5fbbd044733994e	900007	NR_130691	0.45	22.0	40	84.211	19	900007	4
06170a68f344fc34f5fbbd044733994e	900007	NR_130691	1.6	20.2	40	92.30799999999999	13	900007	5
0673e25cd741e9931970123bad8cd6ae	900007	NR_130691	0.47	22.0	39	92.85700000000001	14	900007	1
0673e25cd741e9931970123bad8cd6ae	900003	NR_144900	0.47	22.0	35	92.85700000000001	14	900003	2
0673e25cd741e9931970123bad8cd6ae	900001	NR_121481	1.6	20.2	43	83.333	18	900001	3
0673e25cd741e9931970123bad8cd6ae	900007	NR_130691	1.6	19.3	39	100.0	10	900007	4
0673e25cd741e9931970123bad8cd6ae	900005	NR_130690	1.6	19.3	28	100.0	10	900005	5
07a2672158a9694178ccf1ab878fb08e	900010	NR_130667	0.003	28.3	47	90.0	20	900010	1
07a2672158a9694178ccf1ab878fb08e	900002	NR_171785	0.039	24.7	38	88.889	18	900002	2
07a2672158a9694178ccf1ab878fb08e	900005	NR_130690	0.14	22.9	37	88.235	17	900005	3
07a2672158a9694178ccf1ab878fb08e	900010	NR_130667	0.48	22.0	47	92.85700000000001	14	900010	4
07a2672158a9694178ccf1ab878fb08e	900003	NR_144900	0.48	22.0	47	84.211	19	900003	5
07b93f1e7b4522a701d9b3ef5874f881	900002	NR_171785	0.003	28.3	47	68.367	98	900002	1
07b93f1e7b4522a701d9b3ef5874f881	900001	NR_121481	0.14	22.9	42	81.818	22	900001	2
07b93f1e7b4522a701d9b3ef5874f881	900005	NR_130690	0.14	22.9	37	81.818	22	900005	3
07b93f1e7b4522a701d9b3ef5874f881	900008	NR_111475	1.7	19.3	45	100.0	10	900008	4
07b93f1e7b4522a701d9b3ef5874f881	900005	NR_130690	1.7	19.3	37	100.0	10	900005	5
0ad03262fa2155cc0cae6071e227df84	900002	NR_171785	8.31e-05	34.6	55	73.611	72	900002	1
0ad03262fa2155cc0cae6071e227df84	900002	NR_171785	0.52	22.0	55	92.85700000000001	14	900002	2
0ad03262fa2155cc0cae6071e227df84	900009	NR_111007	1.8	20.2	40	92.30799999999999	13	900009	3
0ad03262fa2155cc0cae6071e227df84	900001	NR_121481	1.8	20.2	32	92.30799999999999	13	900001	4
0ad03262fa2155cc0cae6071e227df84	900001	NR_121481	1.8	19.3	32	86.667	15	900001	5
0b16710fc341de52d3db3a987523142b	900001	NR_121481	1.2699999999999998e-64	233.0	91	94.23100000000001	156	900001	1
0b16710fc341de52d3db3a987523142b	900004	NR_077145	3.3999999999999997e-59	214.0	99	89.941	169	900004	2
0b16710fc341de52d3db3a987523142b	900003	NR_144900	2.01e-11	56.3	76	72.414	116	900003	3
0b16710fc341de52d3db3a987523142b	900001	NR_121481	0.034	24.7	91	79.31	29	900001	4
0b16710fc341de52d3db3a987523142b	900009	NR_111007	0.42	21.1	43	100.0	11	900009	5
0ba4b040a2a556ef91e5ec66381abfaf	900010	NR_130667	0.003	28.3	56	100.0	15	900010	1
0ba4b040a2a556ef91e5ec66381abfaf	900010	NR_130667	0.011000000000000001	27.4	56	78.125	32	900010	2
0ba4b040a2a556ef91e5ec66381abfaf	900002	NR_171785	0.011000000000000001	26.5	36	89.47399999999999	19	900002	3
0ba4b040a2a556ef91e5ec66381abfaf	900003	NR_144900	0.47	22.0	36	84.211	19	900003	4
0ba4b040a2a556ef91e5ec66381abfaf	900008	NR_111475	1.6	20.2	48	83.333	18	900008	5
0d7f1fa221989e0cc733a52a1d979bfa	900005	NR_130690	0.028999999999999998	25.6	45	82.14299999999999	28	900005	1
0d7f1fa221989e0cc733a52a1d979bfa	900001	NR_121481	0.36	21.1	50	90.0	20	900001	2
0d7f1fa221989e0cc733a52a1d979bfa	900004	NR_077145	0.36	21.1	40	90.0	20	900004	3
0d7f1fa221989e0cc733a52a1d979bfa	900003	NR_144900	1.2	20.2	56	83.333	18	900003	4
0d7f1fa221989e0cc733a52a1d979bfa	900001	NR_121481	1.2	20.2	50	80.0	25	900001	5
0db72d18219924f45026b9dfa92538ec	900003	NR_144900	1.6	20.2	34	92.30799999999999	13	900003	1
0db72d18219924f45026b9dfa92538ec	900009	NR_111007	1.6	19.3	70	100.0	10	900009	2
0db72d18219924f45026b9dfa92538ec	900008	NR_111475	1.6	19.3	38	88.235	17	900008	3
0db72d18219924f45026b9dfa92538ec	900007	NR_130691	5.5	18.4	59	92.85700000000001	14	900007	4
0db72d18219924f45026b9dfa92538ec	900007	NR_130691	5.5	17.5	59	100.0	9	900007	5
0e5c75d336000a526d2c07363fd305d0	900002	NR_171785	0.001	30.1	36	84.615	26	900002	1
0e5c75d336000a526d2c07363fd305d0	900010	NR_130667	0.003	28.3	54	100.0	15	900010	2
0e5c75d336000a526d2c07363fd305d0	900010	NR_130667	0.011000000000000001	27.4	54	78.125	32	900010	3
0e5c75d336000a526d2c07363fd305d0	900003	NR_144900	0.47	22.0	32	84.211	19	900003	4
0e5c75d336000a526d2c07363fd305d0	900008	NR_111475	1.6	20.2	40	83.333	18	900008	5
0ed3a8becd603707260c02ce989b1e2d	900009	NR_111007	5.27e-21	88.7	56	83.90799999999999	87	900009	1
0ed3a8becd603707260c02ce989b1e2d	900007	NR_130691	4.94e-15	68.9	55	85.484	62	900007	2
0ed3a8becd603707260c02ce989b1e2d	900009	NR_111007	6.87e-07	41.0	56	92.59299999999999	27	900009	3
0ed3a8becd603707260c02ce989b1e2d	900007	NR_130691	2.9199999999999998e-05	35.6	55	100.0	19	900007	4
0ed3a8becd603707260c02ce989b1e2d	900001	NR_121481	0.64	22.0	36	92.85700000000001	14	900001	5
12ae8aec67f6e9580e434bbd62c83dcd	900005	NR_130690	1.2	20.2	34	93.333	15	900005	1
12ae8aec67f6e9580e434bbd62c83dcd	900009	NR_111007	1.2	20.2	52	92.30799999999999	13	900009	2
12ae8aec67f6e9580e434bbd62c83dcd	900002	NR_171785	1.2	20.2	41	92.30799999999999	13	900002	3
12ae8aec67f6e9580e434bbd62c83dcd	900010	NR_130667	1.2	20.2	39	92.30799999999999	13	900010	4
12ae8aec67f6e9580e434bbd62c83dcd	900009	NR_111007	1.2	20.2	52	83.333	18	900009	5
12da108a541069a69ac639ae2edcd700	900006	NR_125332	5.349999999999999e-75	267.0	100	99.333	150	900006	1
12da108a541069a69ac639ae2edcd700	900009	NR_111007	0.1	22.9	51	74.359	39	900009	2
