ASV	BLAST_Top1_Accession	BLAST_Top1_TaxID	BLAST_Top1_Evalue	BLAST_Top1_Bitscore	BLAST_Top1_Pident	BLAST_Top1_Qcovus	BLAST_Top1_AlignmentLength	BLAST_AmbiguousTopHit	BLAST_SelectionStatus	BLAST_Top1_Kingdom	BLAST_Top1_Phylum	BLAST_Top1_Class	BLAST_Top1_Order	BLAST_Top1_Family	BLAST_Top1_Genus	BLAST_Top1_Species	BLAST_Top2_Accession	BLAST_Top2_Species	BLAST_Top2_Evalue	BLAST_Top2_Bitscore	BLAST_Top2_Pident	BLAST_Top2_Qcovus	BLAST_Top2_AlignmentLength
02d4c47b6b2f2c61e8e6fb701b5f4dea	NR_111083	157611	8.04e-86	314.0	99.438	100	178	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Bullera	Bullera_alba							
04a58f1fa63710803570b8b5e2d3733e	NR_174830	2777685	4.11e-76	280.0	100.0	100	155	False	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia_celtidis							
0b16710fc341de52d3db3a987523142b	NR_119812	70558	3.29e-84	307.0	100.0	100	170	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sumatraense	NR_153214	Penicillium_meleagrinum	3.29e-84	307.0	100.0	100	170
0d7f1fa221989e0cc733a52a1d979bfa	NR_111530	887084	1.04e-70	263.0	99.324	100	148	True	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_angustisporum	NR_111532	Cladosporium_exile	1.04e-70	263.0	99.324	100	148
0ed3a8becd603707260c02ce989b1e2d	NR_111257	4950	3.07e-131	464.0	100.0	100	257	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora_delbrueckii							
12da108a541069a69ac639ae2edcd700	NR_125332	5476	8.710000000000002e-72	267.0	99.333	100	150	False	candidate_available	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida_albicans							
1452b25fcc2cf988fd7ab91920806410	NR_144900	101480	1.3000000000000001e-89	325.0	100.0	100	180	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton_interdigitale	NR_173767	Trichophyton_indotineae	1.93e-87	319.0	99.441	99	179
17586e36e8ab48f597210c14bb4b14a1	NR_137660	183961	7.07e-100	360.0	100.0	100	199	False	candidate_available	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_phaffii	NR_136959	Sporobolomyces_ruberrimus	3.01e-98	355.0	99.497	100	199
19258a7686e049de551d076a284dea99	NR_138193	27293	5.9e-121	431.0	99.585	100	241	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Monosporozyma	Monosporozyma_servazzii							
19589d9adc9d312e7f28d4bddc000468	NR_077145	5076	5.71e-81	297.0	100.0	100	164	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	5.71e-81	297.0	100.0	100	164
1f2562bcd89888cd5dc1ecfc90af6ca5	NR_175033	798071	2.15e-66	249.0	99.286	100	140	False	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma_chrysanthemicola							
2502cb3a6108ac2eaa7d36cba4a08694	NR_130685	1036732	1.37e-82	302.0	100.0	100	167	False	candidate_available	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Sarocladiaceae	Sarocladium	Sarocladium_zeae							
257c7dbafd43e052b6ff952661ed50db	NR_154494	5325	1.49e-95	345.0	100.0	100	191	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes_versicolor							
269110b876ccca673ccbec357552a076	NR_163312	2316195	9.15e-92	334.0	99.465	100	187	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Xylodon_exilis							
29672ac01b5c6750735fed1907ddd347	NR_165938	4979	9.02e-58	220.0	99.194	100	124	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella_oryzae							
2bffa5bd228042e3fc0e3f30f48c6c13	NR_173318	2843180	8.510000000000001e-99	356.0	100.0	100	197	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Candolleomyces	Candolleomyces_subminutisporus							
2ce0943ee52455e0ef499cf2ef2d4e04	NR_077145	5076	8.410000000000001e-79	290.0	99.387	100	163	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	8.410000000000001e-79	290.0	99.387	100	163
2d783fc0a24c9350fd6e4c008ade61f1	NR_077145	5076	1.98e-80	295.0	100.0	100	163	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	1.98e-80	295.0	100.0	100	163
301628c5f05bcb9636f353d42fcc04c6	NR_130682	5207	7.47e-93	336.0	100.0	100	186	True	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_neoformans	NR_165941	Cryptococcus_gattii	7.47e-93	336.0	100.0	100	186
315affd4c31c0bc2a94bf5db590086cd	NR_111007	4932	7.86e-113	403.0	99.138	100	232	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae							
3aff115ea9dc889997fec9ab39973349	NR_130667	129132	1.98e-80	295.0	100.0	100	163	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_073246	Cutaneotrichosporon_mucoides	8.410000000000001e-79	290.0	99.387	100	163
410fa9b2d1c246b2da10b7c1800aecfe	NR_111042	5412	7.63e-113	404.0	99.558	100	226	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium_capitatum							
4410fbb6f29093b48a07044682c46bde	NR_130691	5478	1.82e-114	409.0	99.563	100	229	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus							
4f6bba767820d950766bc71d6d15fec4	NR_130682	5207	3.17e-91	332.0	99.462	100	186	True	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_neoformans	NR_165941	Cryptococcus_gattii	3.17e-91	332.0	99.462	100	186
4fe0a80f8c4b0a6cfc9a15c0926fd3f1	NR_119677	1150118	1.48e-75	279.0	99.363	99	157	True	candidate_available	Eukaryota	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Ophiognomonia	Ophiognomonia_pseudoischnostyla	NR_120057	Ophiognomonia_asiatica	1.48e-75	279.0	99.363	99	157
53c9feac786c2fec525605f3db4ae987	NR_077145	5076	1.98e-80	295.0	100.0	100	163	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	1.98e-80	295.0	100.0	100	163
54f44042aa65835826eb2207758c96d9	NR_119812	70558	4.92e-82	301.0	99.415	100	171	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sumatraense	NR_153214	Penicillium_meleagrinum	4.92e-82	301.0	99.415	100	171
58912136ad5c68dae72bb4653a569b4d	NR_153253	1633329	2.04e-100	361.0	100.0	100	200	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus_variabilicolor	NR_119871	Pluteus_castroae	3.02e-98	355.0	99.502	100	201
590e0069dcd5441f47684045349cd9c2	NR_103568	106018	7.19e-100	361.0	99.505	100	202	False	candidate_available	Eukaryota	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium_slooffiae							
5c3158d98ae7185c37026511e5dbdb2c	NR_153273	2029262	2.85e-78	288.0	100.0	100	159	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_exsudans							
5c36e4197af8694525d815e3fcfb8e1b	NR_130667	129132	8.410000000000001e-79	290.0	99.387	100	163	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis							
5fe8ba6be9294240d26f875ee767f4fe	NR_138193	27293	1.39e-122	435.0	100.0	100	241	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Monosporozyma	Monosporozyma_servazzii							
6092927047fe7a692354e4fd7c745e4c	NR_130667	129132	1.98e-80	295.0	100.0	100	163	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis							
61126afa4733fbaeff0e31a74c4e98ba	NR_163754	2562765	2.05e-73	271.0	100.0	100	150	True	candidate_available	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_pernambucanum	NR_164594	Fusarium_luffae	2.05e-73	271.0	100.0	100	150
