ASV	staxids	BLAST_Accession	BLAST_Evalue	BLAST_Bitscore	BLAST_Qcovus	BLAST_Pident	BLAST_AlignmentLength	BLAST_TaxID	BLAST_CandidateRank	BLAST_Kingdom	BLAST_Phylum	BLAST_Class	BLAST_Order	BLAST_Family	BLAST_Genus	BLAST_Species	selection_status
006332ce4ff87f6466c8309cd667b472	900002	NR_171785	0.51	21.1	53	100.0	11	900002	1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
006332ce4ff87f6466c8309cd667b472	900009	NR_111007	0.51	21.1	51	100.0	11	900009	2	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	candidate_available
006332ce4ff87f6466c8309cd667b472	900008	NR_111475	0.51	21.1	34	100.0	11	900008	3	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	candidate_available
006332ce4ff87f6466c8309cd667b472	900002	NR_171785	0.51	21.1	53	80.952	21	900002	4	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
006332ce4ff87f6466c8309cd667b472	900010	NR_130667	1.8	20.2	49	92.308	13	900010	5	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	candidate_available
006daa04951eb9299f5610b4c6c17dc5	900010	NR_130667	0.003	29.2	62	78.723	47	900010	1	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	candidate_available
006daa04951eb9299f5610b4c6c17dc5	900002	NR_171785	0.48	21.1	38	100.0	11	900002	2	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
006daa04951eb9299f5610b4c6c17dc5	900006	NR_125332	0.48	21.1	37	100.0	11	900006	3	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida_albicans	candidate_available
006daa04951eb9299f5610b4c6c17dc5	900001	NR_121481	0.48	21.1	46	87.5	16	900001	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	candidate_available
006daa04951eb9299f5610b4c6c17dc5	900010	NR_130667	1.7	20.2	62	92.308	13	900010	5	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	candidate_available
026c5263ced8f41669b14f7ee3ab05a6	900001	NR_121481	0.000725	31.0	37	88.462	26	900001	1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	candidate_available
026c5263ced8f41669b14f7ee3ab05a6	900004	NR_077145	0.000725	31.0	35	88.462	26	900004	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	candidate_available
026c5263ced8f41669b14f7ee3ab05a6	900003	NR_144900	0.031	24.7	43	84.0	25	900003	3	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton_interdigitale	candidate_available
026c5263ced8f41669b14f7ee3ab05a6	900005	NR_130690	0.11	22.9	42	100.0	12	900005	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_keratoplasticum	candidate_available
026c5263ced8f41669b14f7ee3ab05a6	900002	NR_171785	0.11	22.9	43	88.235	17	900002	5	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
02d4c47b6b2f2c61e8e6fb701b5f4dea	900010	NR_130667	3.3299999999999997e-15	68.9	71	78.947	95	900010	1	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	candidate_available
02d4c47b6b2f2c61e8e6fb701b5f4dea	900002	NR_171785	3.8e-08	44.6	62	69.608	102	900002	2	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
02d4c47b6b2f2c61e8e6fb701b5f4dea	900002	NR_171785	0.01	27.4	62	94.737	19	900002	3	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
02d4c47b6b2f2c61e8e6fb701b5f4dea	900006	NR_125332	0.43	22.0	44	85.714	21	900006	4	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida_albicans	candidate_available
02d4c47b6b2f2c61e8e6fb701b5f4dea	900004	NR_077145	1.5	19.3	41	86.667	15	900004	5	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	candidate_available
040c1e07de80d76e56f1d8b0b573ca34	900001	NR_121481	0.009000000000000001	26.5	54	84.615	26	900001	1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	candidate_available
040c1e07de80d76e56f1d8b0b573ca34	900004	NR_077145	0.009000000000000001	26.5	37	84.615	26	900004	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	candidate_available
040c1e07de80d76e56f1d8b0b573ca34	900005	NR_130690	1.3	20.2	49	92.308	13	900005	3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_keratoplasticum	candidate_available
040c1e07de80d76e56f1d8b0b573ca34	900002	NR_171785	1.3	20.2	58	83.333	18	900002	4	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
040c1e07de80d76e56f1d8b0b573ca34	900003	NR_144900	1.3	20.2	49	80.0	25	900003	5	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton_interdigitale	candidate_available
