ASV	BLAST_Top1_Accession	BLAST_Top1_TaxID	BLAST_Top1_Evalue	BLAST_Top1_Bitscore	BLAST_Top1_Pident	BLAST_Top1_Qcovus	BLAST_Top1_AlignmentLength	BLAST_AmbiguousTopHit	BLAST_SelectionStatus	BLAST_Top1_Kingdom	BLAST_Top1_Phylum	BLAST_Top1_Class	BLAST_Top1_Order	BLAST_Top1_Family	BLAST_Top1_Genus	BLAST_Top1_Species	BLAST_Top2_Accession	BLAST_Top2_Species	BLAST_Top2_Evalue	BLAST_Top2_Bitscore	BLAST_Top2_Pident	BLAST_Top2_Qcovus
010b07e3b6da2a38547e45cd063dd63d	NR_130667	129132	1.49e-115	412.0	100.0	100	228	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_073246	Cutaneotrichosporon_mucoides	7.71e-113	403.0	99.123	100
0b9eb13a7db8bebd0a71d05bfce5f411	NR_120178	1290441	5.17e-115	410.0	100.0	100	227	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Trechisporales	unclassified_Trechisporales_family	Sistotremastrum	Sistotremastrum_guttuliferum						
0d3edc0897c2b3a22e9e71d741ee679e	NR_111042	5412	6.33e-114	407.0	99.561	100	228	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium_capitatum						
0dc05c777d2a965f0a5d08d7b7a56458	NR_119840	102000	1.49e-115	412.0	100.0	100	228	True	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_colocasiae	NR_119855	Cladosporium_tenuissimum	1.49e-115	412.0	100.0	100
0e3a92d5368de742d7e37a8b3d7f4bfa	NR_131265	63405	8.73e-81	297.0	99.401	91	167	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Microsporum	Microsporum_canis	NR_144883	Microsporum_audouinii	8.73e-81	297.0	99.401	91
10bd3d3bd7cf83389aa23b472f7e1b02	NR_119386	42374	1.49e-115	412.0	100.0	100	228	False	candidate_available	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida_dubliniensis						
115c4ab3a2c4442ff28c495a79bd59ea	NR_198659	3095792	7.71e-113	403.0	99.123	100	228	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Candolleomyces	Candolleomyces_luridus						
117e36b53921c2986d9b3bf373166f23	NR_155027	1795765	1.49e-115	412.0	100.0	100	228	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phanerochaete	Phanerochaete_concrescens						
120b958eec2e26323850dffc01440286	NR_191198	2952681	6.33e-114	407.0	99.123	100	228	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis_rhombisporoides						
1458c99c0a4aa2958f73d7262165066a	NR_077145	5076	2.02e-153	539.0	99.668	100	301	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	2.02e-153	539.0	99.668	100
17952accf0a19bde02e3576f0b21a02f	NR_154344	2024343	9.25e-112	400.0	99.554	99	224	False	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma_pye						
1eb57cce3c3583ae58927522adab0277	NR_111530	887084	6.33e-114	407.0	99.561	100	228	True	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_angustisporum	NR_111532	Cladosporium_exile	6.33e-114	407.0	99.561	100
212a7f45c8b306a233e73d9c3263adb8	NR_119605	1052096	7.22e-107	383.0	100.0	93	212	False	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_halotolerans						
21feee196968505b63639074b75a7d27	NR_138193	27293	6.33e-114	407.0	99.561	100	228	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Monosporozyma	Monosporozyma_servazzii						
247c8459db6ae8b1257380e69c42b883	NR_137882	293560	1.17e-58	223.0	100.0	89	123	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_marinum	NR_137883	Penicillium_thymicola	1.17e-58	223.0	100.0	89
267cae1380db2b4584c9e1a67d952b7c	NR_111007	4932	1.12e-118	423.0	99.177	81	243	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae						
26c2e693490c7955c44b198bdf3e0088	NR_111257	4950	1.49e-115	412.0	100.0	100	228	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora_delbrueckii	NR_138200	Torulaspora_pretoriensis	2.21e-113	406.0	99.559	99
28545e23c1f29aea79e54c2490f42375	NR_165941	37769	7.04e-153	537.0	99.669	100	302	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_gattii	NR_171785	Cryptococcus_neoformans	2.46e-152	535.0	100.0	98
28b1e3694b1bcb9d577830df4fd6c876	NR_121481	746128	1.49e-115	412.0	100.0	100	228	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus						
2a28786ae739c0770d1372c549046931	NR_137882	293560	2.69e-20	93.3	100.0	100	51	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_marinum	NR_137883	Penicillium_thymicola	2.69e-20	93.3	100.0	100
