qacc	staxids	sacc	evalue	bitscore	qcovus	pident	length	TaxID	candidate_rank
0067abbe4f3ec2c8b1f93f21dab22215	900001	NR_121481	1.4599999999999996e-110	386.0	100	93.258	267	900001	1
013a0b22fa2570a9fca2281d979c43ce	900002	NR_171785	5.91e-21	87.8	74	78.182	110	900002	1
01517fb3b2efbc8638ba652cff74ea45	900007	NR_130691	1.4e-30	121.0	48	89.88799999999999	89	900007	1
01b9bca264d99ceaedcce67eeee0c285	900001	NR_121481	5.79e-40	150.0	63	89.565	115	900001	1
01f7633d99821e693602dae45808d71c	900002	NR_171785	2.4300000000000003e-20	86.0	49	92.98200000000001	57	900002	1
02a08e7b3d2d977945313b9fb5d6cccc	900009	NR_111007	4.74e-05	35.6	45	100.0	19	900009	1
02c332c3221a7fc18460f12ac0111d82	900007	NR_130691	3.2799999999999995e-32	125.0	45	91.01100000000001	89	900007	1
03adce78e88ff12a6e2bd982b4276941	900007	NR_130691	0.0	717.0	95	100.0	397	900007	1
03de5f5896c6815c01fb82e636a2d449	900010	NR_130667	1.8799999999999996e-147	508.0	100	100.0	281	900010	1
044c0abf07903b8b4131f54e35a7c56b	900002	NR_171785	7.200000000000001e-20	84.2	72	78.641	103	900002	1
0579fae15ec314635f7bfd4b794ca07d	900009	NR_111007	1.15e-05	37.4	47	100.0	20	900009	1
05a29d43e7926471622da8fb7de61e0d	900001	NR_121481	1.83e-05	37.4	35	100.0	20	900001	1
05a56095084bcc3dde845c95ccb3f491	900010	NR_130667	2.04e-14	67.1	64	83.333	66	900010	1
05bc9afc08b64748dca00ebba463b277	900001	NR_121481	0.0	637.0	100	100.0	353	900001	1
066d3a6a9990f7d9069cd4f072317dbe	900002	NR_171785	2.4300000000000003e-20	86.0	48	92.98200000000001	57	900002	1
0688c26b368b7fdfa3039ec0e57440b9	900010	NR_130667	2.0299999999999997e-20	86.9	100	70.877	285	900010	1
06dcdeaf8b7e48026a27971278d6783a	900001	NR_121481	3.13e-06	39.2	46	100.0	21	900001	1
0752dc88c365db47a824bafc2310dd10	900010	NR_130667	4.2e-23	95.1	100	68.212	302	900010	1
080d5100561ec2c06ed6b12f04e6765e	900007	NR_130691	1.0	22.0	40	92.85700000000001	14	900007	1
09d930f2ed87b3557b31fac73c4ec6ac	900007	NR_130691	3.1e-32	125.0	62	91.01100000000001	89	900007	1
09de61d81017f4d844ceb66d071f6718	900003	NR_144900	2.34e-06	39.2	47	100.0	21	900003	1
0a135d06258a4917295be19c2f72f676	900004	NR_077145	4.0899999999999986e-143	494.0	100	99.64	278	900004	1
0a830187c3805daf0287eb3179767638	900007	NR_130691	1.4e-30	121.0	48	89.88799999999999	89	900007	1
0b62be82e1459c48fa9aa6a73f45136b	900006	NR_125332	1.7999999999999997e-90	319.0	97	90.079	252	900006	1
0e00ccfc8a7aac1541f7536f41bc8369	900010	NR_130667	2.6899999999999997e-19	83.3	54	89.23100000000001	65	900010	1
0e6108700c9a01c0be9929564a203813	900010	NR_130667	2.82e-19	82.4	56	88.06	67	900010	1
0ea5c361d3337b625fb478ae11fb59bb	900009	NR_111007	3.9899999999999994e-144	498.0	89	98.962	289	900009	1
0f2841458644573d5efdd928ad1b992f	900010	NR_130667	1.9e-14	67.1	51	87.037	54	900010	1
1062b08fe389426eacd44013d0f1f831	900007	NR_130691	1.39e-30	121.0	45	89.88799999999999	89	900007	1
10eca292eb84a97e234c6e330e288bdd	900002	NR_171785	1.6600000000000001e-21	90.6	68	87.5	72	900002	1
11842fe4669d5dc87ff9d34dc08ef2f2	900006	NR_125332	1.4399999999999997e-142	492.0	100	98.929	280	900006	1
126e5a0ce844106e98f8b9bb7903dd6e	900010	NR_130667	1.3299999999999996e-98	345.0	100	88.256	281	900010	1
12bc1df8e5526b1c0c554f895543944a	900006	NR_125332	3.8899999999999996e-137	473.0	99	97.865	281	900006	1
12bedaf58ec89b5e05c19ad026fdaf9c	900007	NR_130691	1.37e-30	121.0	61	89.88799999999999	89	900007	1
12f2f6a9a7cbb3ff7cd71234932b8205	900007	NR_130691	3.29e-32	125.0	48	91.01100000000001	89	900007	1
138ac92150209d94b9e015e7735368f1	900001	NR_121481	5.769999999999998e-116	404.0	100	92.90799999999999	282	900001	1
13938a532131c6422d6bd44980ee26ad	900004	NR_077145	6.96e-06	37.4	43	92.0	25	900004	1
13e538015116992176a9c32705810203	900007	NR_130691	1.1199999999999998e-25	104.0	54	86.20700000000001	87	900007	1
14fc77bb4fb1b62493910ff14198fb48	900001	NR_121481	5.16e-05	35.6	37	100.0	19	900001	1
157e05e1b98eae47c6bd9e0ce5dbc881	900006	NR_125332	5.389999999999999e-110	383.0	100	90.74700000000001	281	900006	1
15f625a79a06fdc049afd9842e648080	900002	NR_171785	4.68e-16	71.6	68	82.609	69	900002	1
1611fa31357d5d95b54e5ce6e67b7336	900007	NR_130691	0.0006360000000000001	31.9	39	100.0	17	900007	1
1621173d9b15df3ab3f26d4c7dd234c5	900005	NR_130690	4.879999999999999e-07	39.2	70	100.0	21	900005	1
1797597fabec15ebe972f68a03ce19cd	900003	NR_144900	0.001	30.1	44	100.0	16	900003	1
1b241e7bdd60b771e4c856c64c3e9ad7	900005	NR_130690	9.159999999999999e-82	290.0	100	82.31299999999999	294	900005	1
1b69e545bedbbe7f5b89775d7ef84275	900009	NR_111007	0.000775	31.9	44	100.0	17	900009	1
1caf3038387e5ec2fbe3b12374ffabad	900005	NR_130690	1.67e-40	153.0	100	71.28699999999999	303	900005	1
1cfb9be7ca486afcfae835ecb3dfd32c	900007	NR_130691	9.12e-33	127.0	58	82.81200000000001	128	900007	1
1d819ed956fe66695c8533e01cda3c40	900010	NR_130667	1.6499999999999997e-135	468.0	96	100.0	259	900010	1
1e00172a134024897f0a1637e7f9f7eb	900001	NR_121481	1.94e-06	39.2	44	100.0	21	900001	1
1e10e90c58289ef8eb06b210b1339a3c	900001	NR_121481	4.3499999999999986e-150	517.0	100	94.955	337	900001	1
205ab5dacfd29a76e5283f8a2f1b2919	900007	NR_130691	3.29e-32	125.0	47	91.01100000000001	89	900007	1
20724af4e0f4acaddd718dafdbd09bfa	900010	NR_130667	2.7499999999999997e-145	500.0	100	100.0	277	900010	1
216f8b39045b9b00c7f830736ee9bc59	900009	NR_111007	1.65e-05	37.4	44	100.0	20	900009	1
22133c804d861d83fe6ea04c05e550cb	900004	NR_077145	4.169999999999999e-48	178.0	100	75.084	297	900004	1
22e477ea80b688324c819bfe250a03ec	900010	NR_130667	4.24e-23	95.1	100	67.763	304	900010	1
242a0769509ab0072292f369fe9712cb	900005	NR_130690	6.39e-33	128.0	58	94.118	85	900005	1
248e2fe59d856b93e8bf1adcb9e172d4	900007	NR_130691	3.7499999999999995e-25	103.0	46	85.39299999999999	89	900007	1
2609534e889775b071bd4877a3cbdb06	900001	NR_121481	1.01e-06	39.2	50	100.0	21	900001	1
261aaef3e9f437880fed728e842bf3ce	900010	NR_130667	3.04e-18	79.7	60	87.838	74	900010	1
26f118e2e4997cc33c7b3c65fb658710	900001	NR_121481	3.379999999999999e-144	498.0	100	99.64299999999999	280	900001	1
27297b7c249900a4b843b2f365f2f58c	900010	NR_130667	2.04e-14	67.1	61	83.333	66	900010	1
280368cdff4f777ae988c6a3c9cca85f	900010	NR_130667	8.34e-20	84.2	65	90.476	63	900010	1
281db102e852e9efd030a38cc9bf92f7	900004	NR_077145	4.139999999999999e-124	431.0	100	94.64299999999999	280	900004	1
286dcb58947ebd65c54731a7b31e1426	900001	NR_121481	2.12e-06	39.2	52	100.0	21	900001	1
2881c8dcc461db66d6476faa81c6f034	900010	NR_130667	1.9699999999999995e-96	339.0	100	87.943	282	900010	1
295bfd812f42f8f02cd0ba4418aad5d9	900010	NR_130667	3.3e-24	99.6	100	69.72800000000001	294	900010	1
29733cd0bf01391c2b1b07b45a29b756	900010	NR_130667	7.009999999999997e-115	399.0	100	92.14299999999999	280	900010	1
2995053d4cdadcaafad9308b84e0e4a8	900010	NR_130667	2.7e-19	83.3	51	87.14299999999999	70	900010	1
2abd97d819164ca22fea7fc261ffc6f7	900007	NR_130691	0.018000000000000002	26.5	45	100.0	14	900007	1
2b6bf177cf258974855eb3b9d419ffbc	900010	NR_130667	3.84e-17	76.1	100	68.13600000000001	295	900010	1
2bc30a5545badee22da1375355460f31	900001	NR_121481	0.71	22.0	44	84.211	19	900001	1
2c24ade1f6d21508f680725d560471b9	900009	NR_111007	9.25e-08	44.6	47	100.0	24	900009	1
2d3b44850570682e08688c29f56403cd	900001	NR_121481	0.00011999999999999999	33.7	43	100.0	18	900001	1
2e034c1aa05be4c5111594d8a3c15afd	900007	NR_130691	3.2299999999999997e-32	125.0	60	91.01100000000001	89	900007	1
2e3950f5f6c1c1a1fb643cc894f2aec3	900010	NR_130667	7.49e-20	85.1	56	89.39399999999999	66	900010	1
2ef1afa1f22282539202afd02e736199	900010	NR_130667	2.66e-19	82.4	100	68.197	305	900010	1
2f59dd7e9fc446d7a14b08931d27996b	900001	NR_121481	9.340000000000001e-07	39.2	57	100.0	21	900001	1
2fadc7fa01c6d1e87be809237590227f	900009	NR_111007	0.000157	33.7	36	100.0	18	900009	1
2fbdf5a89725b2d9f30df08f41b4ad46	900001	NR_121481	6.16e-06	38.3	48	95.652	23	900001	1
30145686d304e71fdb7d7fa50e09e432	900001	NR_121481	0.000138	33.7	44	100.0	18	900001	1
30b16329ff6c395c2a4cfc8e6fcb799a	900007	NR_130691	1.7000000000000001e-29	116.0	50	88.764	89	900007	1
3126603ce7da70b1f82edec8c3993711	900005	NR_130690	3.42e-49	181.0	100	75.082	305	900005	1
31560b5d879415f9d225ce0802e2fd05	900007	NR_130691	4.4e-05	35.6	43	100.0	19	900007	1
3172b69504ea1e872af24e7b1e27224d	900010	NR_130667	2.16e-26	105.0	100	71.678	286	900010	1
31803537c550591a1809288aa796b431	900006	NR_125332	1.7599999999999994e-167	574.0	100	100.0	318	900006	1
31c5d2162fbc4550b1537c9a9bc92d55	900009	NR_111007	3.12e-06	39.2	50	100.0	21	900009	1
3251b8618a77585ac75c4825f24bdc34	900010	NR_130667	8.36e-20	84.2	62	90.476	63	900010	1
32743da7dde0b6ffb4f006884c7a7b8d	900007	NR_130691	1.7000000000000001e-29	116.0	47	88.764	89	900007	1
327ac8462f09dcda6956148eee117615	900002	NR_171785	2.6100000000000005e-19	83.3	71	86.765	68	900002	1
33dba7b0fe74ead03efdfb26e8f5b4c1	900010	NR_130667	8.279999999999999e-20	85.1	46	89.39399999999999	66	900010	1
33dea5eef821c3979a5126d39932b903	900002	NR_171785	1.77e-21	89.7	67	75.484	155	900002	1
33ea755d5d779ed211481b54b94a9919	900002	NR_171785	1.78e-21	89.7	67	75.484	155	900002	1
