qacc	staxids	sacc	evalue	bitscore	qcovus	pident	length	TaxID	candidate_rank
010b07e3b6da2a38547e45cd063dd63d	129132	NR_130667	1.4899999999999999e-115	412.0	100	100.0	228	129132	1
010b07e3b6da2a38547e45cd063dd63d	82522	NR_073246	7.71e-113	403.0	100	99.123	228	82522	2
010b07e3b6da2a38547e45cd063dd63d	82518	NR_073252	2.69e-112	401.0	100	99.127	229	82518	3
0b9eb13a7db8bebd0a71d05bfce5f411	1290441	NR_120178	5.17e-115	410.0	100	100.0	227	1290441	1
0d3edc0897c2b3a22e9e71d741ee679e	5412	NR_111042	6.33e-114	407.0	100	99.561	228	5412	1
0dc05c777d2a965f0a5d08d7b7a56458	102000	NR_119840	1.4899999999999999e-115	412.0	100	100.0	228	102000	1
0dc05c777d2a965f0a5d08d7b7a56458	70808	NR_119855	1.4899999999999999e-115	412.0	100	100.0	228	70808	2
0dc05c777d2a965f0a5d08d7b7a56458	29919	NR_152267	1.4899999999999999e-115	412.0	100	100.0	228	29919	3
0dc05c777d2a965f0a5d08d7b7a56458	1970641	NR_148191	6.33e-114	407.0	100	99.561	228	1970641	4
0dc05c777d2a965f0a5d08d7b7a56458	887084;887105;887106	NR_111530	7.71e-113	403.0	100	99.123	228	887084	5
10bd3d3bd7cf83389aa23b472f7e1b02	42374	NR_119386	1.4899999999999999e-115	412.0	100	100.0	228	42374	1
115c4ab3a2c4442ff28c495a79bd59ea	3095792	NR_198659	7.71e-113	403.0	100	99.123	228	3095792	1
117e36b53921c2986d9b3bf373166f23	1795765	NR_155027	1.4899999999999999e-115	412.0	100	100.0	228	1795765	1
120b958eec2e26323850dffc01440286	2952681	NR_191198	6.33e-114	407.0	100	99.123	228	2952681	1
1458c99c0a4aa2958f73d7262165066a	5076;1304711;1304713	NR_077145	2.0199999999999999e-153	539.0	100	99.668	301	5076	1
1458c99c0a4aa2958f73d7262165066a	254877;293375	NR_103695	2.0199999999999999e-153	539.0	100	99.668	301	254877	2
1458c99c0a4aa2958f73d7262165066a	1303720	NR_111812	2.0199999999999999e-153	539.0	100	99.668	301	1303720	3
1458c99c0a4aa2958f73d7262165066a	5078	NR_103692	2.46e-152	535.0	100	99.336	301	5078	4
1458c99c0a4aa2958f73d7262165066a	60175	NR_103694	2.46e-152	535.0	100	99.336	301	60175	5
17952accf0a19bde02e3576f0b21a02f	2024343	NR_154344	9.25e-112	400.0	99	99.554	224	2024343	1
1eb57cce3c3583ae58927522adab0277	887084;887105;887106	NR_111530	6.33e-114	407.0	100	99.561	228	887084	1
1eb57cce3c3583ae58927522adab0277	887090;887099	NR_111532	6.33e-114	407.0	100	99.561	228	887090	2
1eb57cce3c3583ae58927522adab0277	887083;887092;887101	NR_111533	6.33e-114	407.0	100	99.561	228	887083	3
1eb57cce3c3583ae58927522adab0277	887071;887096	NR_111536	6.33e-114	407.0	100	99.561	228	887071	4
1eb57cce3c3583ae58927522adab0277	887089	NR_119843	6.33e-114	407.0	100	99.561	228	887089	5
21feee196968505b63639074b75a7d27	27293	NR_138193	6.33e-114	407.0	100	99.561	228	27293	1
26c2e693490c7955c44b198bdf3e0088	4950	NR_111257	1.4899999999999999e-115	412.0	100	100.0	228	4950	1
26c2e693490c7955c44b198bdf3e0088	35629	NR_138200	2.21e-113	406.0	99	99.559	227	35629	2
26c2e693490c7955c44b198bdf3e0088	53488	NR_138217	2.69e-112	401.0	99	99.119	227	53488	3
28545e23c1f29aea79e54c2490f42375	37769	NR_165941	7.04e-153	537.0	100	99.669	302	37769	1
28545e23c1f29aea79e54c2490f42375	552467	NR_190908	8.58e-152	533.0	100	99.338	302	552467	2
28b1e3694b1bcb9d577830df4fd6c876	746128	NR_121481	1.4899999999999999e-115	412.0	100	100.0	228	746128	1
2a28786ae739c0770d1372c549046931	293560	NR_137882	2.69e-20	93.3	100	100.0	51	293560	1
2a28786ae739c0770d1372c549046931	293382	NR_137883	2.69e-20	93.3	100	100.0	51	293382	2
2a28786ae739c0770d1372c549046931	293380	NR_138316	2.69e-20	93.3	100	100.0	51	293380	3
2a28786ae739c0770d1372c549046931	707954	NR_138325	2.69e-20	93.3	100	100.0	51	707954	4
2a28786ae739c0770d1372c549046931	293559	NR_138334	2.69e-20	93.3	100	100.0	51	293559	5
2cd0dea7da04cbdb02a749d6ce0ce2a8	706196	NR_153296	6.100000000000001e-31	129.0	100	100.0	71	706196	1
2cd0dea7da04cbdb02a749d6ce0ce2a8	230603	NR_153310	6.100000000000001e-31	129.0	100	100.0	71	230603	2
2cd0dea7da04cbdb02a749d6ce0ce2a8	61262	NR_155227	6.100000000000001e-31	129.0	100	100.0	71	61262	3
2cd0dea7da04cbdb02a749d6ce0ce2a8	935788	NR_155231	6.100000000000001e-31	129.0	100	100.0	71	935788	4
2cd0dea7da04cbdb02a749d6ce0ce2a8	432099	NR_155237	6.100000000000001e-31	129.0	100	100.0	71	432099	5
2d5840001771d889fbe752a80463af2c	27293	NR_138193	1.4899999999999999e-115	412.0	100	100.0	228	27293	1
2e39d48abc07a6ccc13a028ccde00e00	1328300	NR_130690	6.33e-114	407.0	100	99.561	228	1328300	1
2e39d48abc07a6ccc13a028ccde00e00	2747962	NR_170733	7.71e-113	403.0	100	99.123	228	2747962	2
2ec4fcc1eb3651a961c3fb1428c3433b	183961	NR_137660	1.4899999999999999e-115	412.0	100	100.0	228	183961	1
2ec4fcc1eb3651a961c3fb1428c3433b	86828	NR_136959	6.33e-114	407.0	100	99.561	228	86828	2
3055f49397f6797b6af3d93deaed571e	5537	NR_073296	6.24e-114	407.0	100	100.0	225	5537	1
3055f49397f6797b6af3d93deaed571e	3057777	NR_189977	6.24e-114	407.0	100	100.0	225	3057777	2
3055f49397f6797b6af3d93deaed571e	100914	NR_153197	2.6499999999999998e-112	402.0	100	99.556	225	100914	3
3055f49397f6797b6af3d93deaed571e	2741679	NR_186947	3.23e-111	398.0	100	99.111	225	2741679	4
315a14f72987afaafb1b8701eaa0b075	5207	NR_130682	6.33e-114	407.0	100	99.561	228	5207	1
315a14f72987afaafb1b8701eaa0b075	37769	NR_165941	6.33e-114	407.0	100	99.561	228	37769	2
315a14f72987afaafb1b8701eaa0b075	5207	NR_171785	6.33e-114	407.0	100	99.561	228	5207	3
315a14f72987afaafb1b8701eaa0b075	552467	NR_190908	7.71e-113	403.0	100	99.123	228	552467	4
315a14f72987afaafb1b8701eaa0b075	1859122	NR_190909	7.71e-113	403.0	100	99.123	228	1859122	5
3307422fad2c09efd87bd795d113550c	2316195	NR_163312	6.33e-114	407.0	100	99.561	228	2316195	1
35f06e1185ad3c6c3effe47fae6c598c	241526	NR_138276	1.0499999999999999e-150	530.0	100	99.003	301	241526	1
3b19d4888b7cb5cae6d71495a64c1f99	798071	NR_175033	2.6499999999999998e-112	402.0	100	99.556	225	798071	1
3ca224352821ab4798e0ab4bb73ab267	2849271	NR_175188	6.33e-114	407.0	100	99.561	228	2849271	1
3d5f170d59af5aa3757284a921c5a385	129132	NR_130667	6.33e-114	407.0	100	99.561	228	129132	1
429ef104fcabfbb4b403c2c09309eadf	70558	NR_119812	6.33e-114	407.0	100	99.561	228	70558	1
429ef104fcabfbb4b403c2c09309eadf	439017	NR_153214	7.71e-113	404.0	99	99.558	226	439017	2
429ef104fcabfbb4b403c2c09309eadf	1407461	NR_198469	7.71e-113	403.0	100	99.123	228	1407461	3
43071ca5a252d644aa64b30a517cdb84	4979	NR_165938	6.33e-114	407.0	100	99.561	228	4979	1
448deac40229a7efe42560189717e686	70558	NR_119812	9.39e-112	399.0	100	99.123	228	70558	1
448deac40229a7efe42560189717e686	439017	NR_153214	3.28e-111	398.0	99	99.119	227	439017	2
484bd431a65762338ef456a194b5348e	5482	NR_111250	6.100000000000001e-31	129.0	100	100.0	71	5482	1
484bd431a65762338ef456a194b5348e	434039	NR_111409	6.100000000000001e-31	129.0	100	100.0	71	434039	2
484bd431a65762338ef456a194b5348e	434042	NR_111410	6.100000000000001e-31	129.0	100	100.0	71	434042	3
484bd431a65762338ef456a194b5348e	434046	NR_111411	6.100000000000001e-31	129.0	100	100.0	71	434046	4
484bd431a65762338ef456a194b5348e	42374	NR_119386	6.100000000000001e-31	129.0	100	100.0	71	42374	5
4932e029d9172067e8f5fd3ec92cf65f	1974180	NR_171595	9.39e-112	400.0	100	99.123	228	1974180	1
52ecfb22e1c990982f5951c06b4908b3	42661	NR_073233	6.33e-114	407.0	100	99.561	228	42661	1
53926185040b69b43d226af323a0598e	5478	NR_130691	1.4899999999999999e-115	412.0	100	100.0	228	5478	1
55c1f51cc4845985dae3c90e77b5d5b1	4932	NR_111007	1.1400000000000001e-110	396.0	100	99.123	228	4932	1
56c2041c40052605a6924e3e9ceef831	1633329	NR_153253	1.4899999999999999e-115	412.0	100	100.0	228	1633329	1
56c2041c40052605a6924e3e9ceef831	908289	NR_119871	2.21e-113	406.0	100	99.563	229	908289	2
5a06576196c23f808bdfe0399228553a	2843180	NR_173318	1.4899999999999999e-115	412.0	100	100.0	228	2843180	1
5aa8bf9dfef378818c857e66263bb473	887084;887105;887106	NR_111530	1.4899999999999999e-115	412.0	100	100.0	228	887084	1
5aa8bf9dfef378818c857e66263bb473	887090;887099	NR_111532	1.4899999999999999e-115	412.0	100	100.0	228	887090	2
5aa8bf9dfef378818c857e66263bb473	887083;887092;887101	NR_111533	1.4899999999999999e-115	412.0	100	100.0	228	887083	3
5aa8bf9dfef378818c857e66263bb473	887071;887096	NR_111536	1.4899999999999999e-115	412.0	100	100.0	228	887071	4
5aa8bf9dfef378818c857e66263bb473	887089	NR_119843	1.4899999999999999e-115	412.0	100	100.0	228	887089	5
5eb88a9a6282b223cd88dbc003040251	5207	NR_130682	1.4899999999999999e-115	412.0	100	100.0	228	5207	1
5eb88a9a6282b223cd88dbc003040251	37769	NR_165941	1.4899999999999999e-115	412.0	100	100.0	228	37769	2
5eb88a9a6282b223cd88dbc003040251	5207	NR_171785	1.4899999999999999e-115	412.0	100	100.0	228	5207	3
5eb88a9a6282b223cd88dbc003040251	552467	NR_190908	6.33e-114	407.0	100	99.561	228	552467	4
5eb88a9a6282b223cd88dbc003040251	1859122	NR_190909	6.33e-114	407.0	100	99.561	228	1859122	5
61645f9cde6903edbbd03f5235efd2d1	5322	NR_163515	6.33e-114	407.0	100	99.561	228	5322	1
628fa4d9864efdb099121fdc264211a5	5074	NR_121299	1.4899999999999999e-115	412.0	100	100.0	228	5074	1
628fa4d9864efdb099121fdc264211a5	1311263	NR_138336	1.4899999999999999e-115	412.0	100	100.0	228	1311263	2
628fa4d9864efdb099121fdc264211a5	1167569	NR_121321	7.71e-113	403.0	100	99.123	228	1167569	3
641f531733565284c1dd59890b5a5e83	5325	NR_154494	1.4899999999999999e-115	412.0	100	100.0	228	5325	1
661bf01ab3c55eee56f097097463b355	1134119	NR_111674	3.28e-111	398.0	100	99.127	229	1134119	1
66b54e2a443f697f121c66c80dc95df9	5478	NR_130691	3.37e-59	224.0	100	100.0	124	5478	1
66b54e2a443f697f121c66c80dc95df9	1040648	NR_154963	1.43e-57	220.0	99	99.194	124	1040648	2
66b54e2a443f697f121c66c80dc95df9	935788	NR_155231	1.43e-57	220.0	99	99.194	124	935788	3
66b54e2a443f697f121c66c80dc95df9	907290	NR_197463	1.43e-57	220.0	99	99.194	124	907290	4
674495db5026d621602634dd1d9ca190	2660709	NR_168823	5.11e-24	105.0	100	100.0	58	2660709	1
