qacc	staxids	sacc	evalue	bitscore	qcovus	pident	length	TaxID	candidate_rank
04a58f1fa63710803570b8b5e2d3733e	2777685	NR_174830	4.11e-76	280.0	100	100.0	155	2777685	1
05dcbd64ea8517b09449bf3ddd4a83dd	42661	NR_073233	3.36e-84	308.0	100	99.422	173	42661	1
061f5ddd4c902be6adec1f0e62e8f2f4	3031043	NR_198413	7.9e-86	313.0	100	100.0	173	3031043	1
06a0c0a16a03d41b0e21de876ccd4a1a	2942256	NR_189881	7.9e-86	313.0	100	100.0	173	2942256	1
0adfbaa4d24ec21c5bd7da91cc36bf83	4932	NR_111007	7.9e-86	313.0	100	100.0	173	4932	1
0adfbaa4d24ec21c5bd7da91cc36bf83	114524	NR_111355	7.9e-86	313.0	100	100.0	173	114524	2
0adfbaa4d24ec21c5bd7da91cc36bf83	27291	NR_138272	7.9e-86	313.0	100	100.0	173	27291	3
0adfbaa4d24ec21c5bd7da91cc36bf83	114526	NR_144772	7.9e-86	313.0	100	100.0	173	114526	4
0adfbaa4d24ec21c5bd7da91cc36bf83	1080349	NR_137586	3.36e-84	308.0	100	99.422	173	1080349	5
0b16710fc341de52d3db3a987523142b	70558	NR_119812	3.29e-84	307.0	100	100.0	170	70558	1
0b16710fc341de52d3db3a987523142b	439017	NR_153214	3.29e-84	307.0	100	100.0	170	439017	2
0b16710fc341de52d3db3a987523142b	1407461	NR_198469	1.3999999999999998e-82	303.0	100	99.412	170	1407461	3
0d7f1fa221989e0cc733a52a1d979bfa	887084;887105;887106	NR_111530	1.0400000000000001e-70	263.0	100	99.324	148	887084	1
0d7f1fa221989e0cc733a52a1d979bfa	887090;887099	NR_111532	1.0400000000000001e-70	263.0	100	99.324	148	887090	2
0d7f1fa221989e0cc733a52a1d979bfa	887093;887097	NR_111534	1.0400000000000001e-70	263.0	100	99.324	148	887093	3
0d7f1fa221989e0cc733a52a1d979bfa	887071;887096	NR_111536	1.0400000000000001e-70	263.0	100	99.324	148	887071	4
0d7f1fa221989e0cc733a52a1d979bfa	887089	NR_119843	1.0400000000000001e-70	263.0	100	99.324	148	887089	5
0fd1d727176f466547928eba1e93d32c	76777	NR_103583	7.9e-86	313.0	100	100.0	173	76777	1
12c2997f0d90a475f5ebdb10a5bc0738	1867788	NR_171802	1.1599999999999999e-83	306.0	100	99.419	172	1867788	1
12da108a541069a69ac639ae2edcd700	5476	NR_125332	8.710000000000001e-72	267.0	100	99.333	150	5476	1
1a3a25327947f82ebb909ce5f5832571	4950	NR_111257	3.36e-84	308.0	100	99.422	173	4950	1
1a947799bb1e2fa52ae4560b796f282e	5478	NR_130691	3.36e-84	308.0	100	99.422	173	5478	1
1f2562bcd89888cd5dc1ecfc90af6ca5	798071	NR_175033	2.15e-66	249.0	100	99.286	140	798071	1
22a3bd58cea56c64d6c04ce292d4536f	183959	NR_137659	7.9e-86	313.0	100	100.0	173	183959	1
2502cb3a6108ac2eaa7d36cba4a08694	1036732	NR_130685	1.37e-82	302.0	100	100.0	167	1036732	1
287262dba4d69007a0d2f229a8d6e234	5207	NR_130682	7.9e-86	313.0	100	100.0	173	5207	1
287262dba4d69007a0d2f229a8d6e234	37769	NR_165941	7.9e-86	313.0	100	100.0	173	37769	2
287262dba4d69007a0d2f229a8d6e234	5207	NR_171785	7.9e-86	313.0	100	100.0	173	5207	3
287262dba4d69007a0d2f229a8d6e234	552467	NR_190908	3.36e-84	308.0	100	99.422	173	552467	4
287262dba4d69007a0d2f229a8d6e234	1859122	NR_190909	3.36e-84	308.0	100	99.422	173	1859122	5
29672ac01b5c6750735fed1907ddd347	4979	NR_165938	9.02e-58	220.0	100	99.194	124	4979	1
29ef50e61eafd8ec49fa6292da0e3dca	2849271	NR_175188	3.36e-84	308.0	100	99.422	173	2849271	1
2ce0943ee52455e0ef499cf2ef2d4e04	5076;1304711;1304713	NR_077145	8.410000000000001e-79	290.0	100	99.387	163	5076	1
2ce0943ee52455e0ef499cf2ef2d4e04	254877;293375	NR_103695	8.410000000000001e-79	290.0	100	99.387	163	254877	2
2ce0943ee52455e0ef499cf2ef2d4e04	36650	NR_111155	8.410000000000001e-79	290.0	100	99.387	163	36650	3
2ce0943ee52455e0ef499cf2ef2d4e04	1303720	NR_111812	8.410000000000001e-79	290.0	100	99.387	163	1303720	4
2ce0943ee52455e0ef499cf2ef2d4e04	268347	NR_111816	8.410000000000001e-79	290.0	100	99.387	163	268347	5
2d783fc0a24c9350fd6e4c008ade61f1	5076;1304711;1304713	NR_077145	1.9800000000000002e-80	295.0	100	100.0	163	5076	1
2d783fc0a24c9350fd6e4c008ade61f1	254877;293375	NR_103695	1.9800000000000002e-80	295.0	100	100.0	163	254877	2
2d783fc0a24c9350fd6e4c008ade61f1	36650	NR_111155	1.9800000000000002e-80	295.0	100	100.0	163	36650	3
2d783fc0a24c9350fd6e4c008ade61f1	1303720	NR_111812	1.9800000000000002e-80	295.0	100	100.0	163	1303720	4
2d783fc0a24c9350fd6e4c008ade61f1	1108849	NR_111815	1.9800000000000002e-80	295.0	100	100.0	163	1108849	5
31fe6db9ce878dc354cb87b45c498d9e	36080	NR_126116	2.28e-86	315.0	100	100.0	174	36080	1
3aff115ea9dc889997fec9ab39973349	129132	NR_130667	1.9800000000000002e-80	295.0	100	100.0	163	129132	1
3aff115ea9dc889997fec9ab39973349	82522	NR_073246	8.410000000000001e-79	290.0	100	99.387	163	82522	2
3c251e4ab957b4744ba14e78227fd569	746128	NR_121481	7.01e-80	294.0	100	99.394	165	746128	1
3c251e4ab957b4744ba14e78227fd569	1774284	NR_138362	7.01e-80	294.0	100	99.394	165	1774284	2
3c251e4ab957b4744ba14e78227fd569	1903566	NR_145174	7.01e-80	294.0	100	99.394	165	1903566	3
3f44577f73ab9162efce5c7fb027b424	2849271	NR_175188	3.36e-84	308.0	100	99.422	173	2849271	1
42d420e7d403c74c113556d3aa5f7d95	5537	NR_073296	9.500000000000001e-85	309.0	100	100.0	171	5537	1
42d420e7d403c74c113556d3aa5f7d95	3057777	NR_189977	9.500000000000001e-85	309.0	100	100.0	171	3057777	2
42d420e7d403c74c113556d3aa5f7d95	100914	NR_153197	4.04e-83	305.0	100	99.415	171	100914	3
4404a71ee8b8a868175be7a2bf9a30df	157611	NR_111083	1.17e-83	306.0	100	99.425	174	157611	1
4633194a0263db268947d953c3df2544	5207	NR_130682	3.36e-84	308.0	100	99.422	173	5207	1
4633194a0263db268947d953c3df2544	37769	NR_165941	3.36e-84	308.0	100	99.422	173	37769	2
4633194a0263db268947d953c3df2544	5207	NR_171785	3.36e-84	308.0	100	99.422	173	5207	3
4a9eebc6771e1b0950879ee3dd5c5c70	5580	NR_144909	4.65e-69	257.0	92	100.0	142	5580	1
4fe0a80f8c4b0a6cfc9a15c0926fd3f1	1150118	NR_119677	1.48e-75	279.0	99	99.363	157	1150118	1
4fe0a80f8c4b0a6cfc9a15c0926fd3f1	1245691	NR_120057	1.48e-75	279.0	99	99.363	157	1245691	2
4fe0a80f8c4b0a6cfc9a15c0926fd3f1	1245689	NR_120059	1.48e-75	279.0	99	99.363	157	1245689	3
508bc8790f22bd6e6e7d77dbf30759fa	5207	NR_130682	3.36e-84	308.0	100	99.422	173	5207	1
508bc8790f22bd6e6e7d77dbf30759fa	37769	NR_165941	3.36e-84	308.0	100	99.422	173	37769	2
508bc8790f22bd6e6e7d77dbf30759fa	5207	NR_171785	3.36e-84	308.0	100	99.422	173	5207	3
54f44042aa65835826eb2207758c96d9	70558	NR_119812	4.92e-82	301.0	100	99.415	171	70558	1
54f44042aa65835826eb2207758c96d9	439017	NR_153214	4.92e-82	301.0	100	99.415	171	439017	2
57dff5e5f62d238d6f055b37452ac823	4932	NR_111007	8.949999999999999e-52	199.0	85	100.0	110	4932	1
57dff5e5f62d238d6f055b37452ac823	114524	NR_111355	8.949999999999999e-52	199.0	85	100.0	110	114524	2
57dff5e5f62d238d6f055b37452ac823	27291	NR_138272	8.949999999999999e-52	199.0	85	100.0	110	27291	3
57dff5e5f62d238d6f055b37452ac823	114526	NR_144772	8.949999999999999e-52	199.0	85	100.0	110	114526	4
57dff5e5f62d238d6f055b37452ac823	1080349	NR_137586	3.8e-50	195.0	85	99.091	110	1080349	5
5abc90d2b893634cb4e369cb1b289c56	2316195	NR_163312	3.36e-84	308.0	100	99.422	173	2316195	1
5c3158d98ae7185c37026511e5dbdb2c	2029262	NR_153273	2.85e-78	288.0	100	100.0	159	2029262	1
5c3158d98ae7185c37026511e5dbdb2c	1134119	NR_111674	1.7999999999999997e-74	276.0	98	99.363	157	1134119	2
5c36e4197af8694525d815e3fcfb8e1b	129132	NR_130667	8.410000000000001e-79	290.0	100	99.387	163	129132	1
5caba2baca9ecddfad50b0b99c30129a	183961	NR_137660	7.9e-86	313.0	100	100.0	173	183961	1
5caba2baca9ecddfad50b0b99c30129a	86828	NR_136959	3.36e-84	308.0	100	99.422	173	86828	2
6092927047fe7a692354e4fd7c745e4c	129132	NR_130667	1.9800000000000002e-80	295.0	100	100.0	163	129132	1
60c4503cc5091926c0fe5039f5800884	2024343	NR_154344	2.1700000000000002e-66	248.0	97	100.0	137	2024343	1
61126afa4733fbaeff0e31a74c4e98ba	2562765	NR_163754	2.05e-73	271.0	100	100.0	150	2562765	1
61126afa4733fbaeff0e31a74c4e98ba	2494467	NR_164594	2.05e-73	271.0	100	100.0	150	2494467	2
61126afa4733fbaeff0e31a74c4e98ba	2494466	NR_164595	2.05e-73	271.0	100	100.0	150	2494466	3
61126afa4733fbaeff0e31a74c4e98ba	2494460	NR_164593	8.710000000000001e-72	267.0	100	99.333	150	2494460	4
61126afa4733fbaeff0e31a74c4e98ba	2494465	NR_164596	8.710000000000001e-72	267.0	100	99.333	150	2494465	5
6143c50035fe5fc5272475693b56bdf1	5476	NR_125332	2.05e-73	271.0	100	100.0	150	5476	1
6143c50035fe5fc5272475693b56bdf1	241526	NR_138276	2.05e-73	271.0	100	100.0	150	241526	2
64ff5d05e3dad56364385a586b8236d4	4909	NR_131315	2.3800000000000002e-79	291.0	100	100.0	161	4909	1
6a0e3aee96bfc2772cd53575935a9820	230003	NR_137143	9.88e-78	286.0	100	100.0	158	230003	1
6a0e3aee96bfc2772cd53575935a9820	2133970	NR_158361	9.88e-78	286.0	100	100.0	158	2133970	2
6a0e3aee96bfc2772cd53575935a9820	1579462	NR_136120	4.2e-76	281.0	100	99.367	158	1579462	3
6a0e3aee96bfc2772cd53575935a9820	489833	NR_111832	5.12e-75	278.0	100	99.367	158	489833	4
6a0e3aee96bfc2772cd53575935a9820	156630	NR_135927	5.12e-75	278.0	100	99.367	158	156630	5
6ad6916c8792e0521d8ebf5ef3aeed16	101480	NR_144900	7.9e-86	313.0	100	100.0	173	101480	1
6ad6916c8792e0521d8ebf5ef3aeed16	2739387	NR_173767	3.36e-84	308.0	100	99.422	173	2739387	2
6bc0377ff54d84a0270fdb17ac5ddf05	76773	NR_111475	7.9e-86	313.0	100	100.0	173	76773	1
6f34c4e55147d909ea49aec08ad12131	1633329	NR_153253	7.9e-86	313.0	100	100.0	173	1633329	1
6f34c4e55147d909ea49aec08ad12131	908289	NR_119871	1.17e-83	306.0	100	99.425	174	908289	2
79267446d41d9eede7d4641c3f59b86e	5322	NR_163515	3.36e-84	308.0	100	99.422	173	5322	1
7b0c2826eb7474c7abe104a585597010	1150118	NR_119677	1.48e-75	279.0	99	99.363	157	1150118	1
7b0c2826eb7474c7abe104a585597010	1245691	NR_120057	1.48e-75	279.0	99	99.363	157	1245691	2
7b0c2826eb7474c7abe104a585597010	1245689	NR_120059	1.48e-75	279.0	99	99.363	157	1245689	3
7bae5c3eda249b5e319a1c10b526375b	5076;1304711;1304713	NR_077145	8.410000000000001e-79	290.0	100	99.387	163	5076	1
7bae5c3eda249b5e319a1c10b526375b	254877;293375	NR_103695	8.410000000000001e-79	290.0	100	99.387	163	254877	2
