metric	Method	DNA_kit	mean_value	sd_value	n	se_value
F1-score	ITSx_PE	DNeasy	0.9473684210526316	0	4	0
F1-score	ITSx_PE	QIAamp	0.9736842105263158	0.030386856273138165	4	0.015193428136569083
F1-score	ITSx_PE	Zymo	1	0	4	0
F1-score	ITSx_SE	DNeasy	0.9605263157894737	0.02631578947368418	4	0.01315789473684209
F1-score	ITSx_SE	QIAamp	0.9736842105263158	0.030386856273138165	4	0.015193428136569083
F1-score	ITSx_SE	Zymo	1	0	4	0
F1-score	Cutadapt_PE	DNeasy	0.9473684210526316	0	4	0
F1-score	Cutadapt_PE	QIAamp	0.9736842105263158	0.030386856273138165	4	0.015193428136569083
F1-score	Cutadapt_PE	Zymo	1	0	4	0
F1-score	Cutadapt_SE	DNeasy	0.9605263157894737	0.02631578947368418	4	0.01315789473684209
F1-score	Cutadapt_SE	QIAamp	0.9736842105263158	0.030386856273138165	4	0.015193428136569083
F1-score	Cutadapt_SE	Zymo	1	0	4	0
R²	ITSx_PE	DNeasy	NA	NA	0	NA
R²	ITSx_PE	QIAamp	NA	NA	0	NA
R²	ITSx_PE	Zymo	NA	NA	0	NA
R²	ITSx_SE	DNeasy	NA	NA	0	NA
R²	ITSx_SE	QIAamp	NA	NA	0	NA
R²	ITSx_SE	Zymo	NA	NA	0	NA
R²	Cutadapt_PE	DNeasy	NA	NA	0	NA
R²	Cutadapt_PE	QIAamp	NA	NA	0	NA
R²	Cutadapt_PE	Zymo	NA	NA	0	NA
R²	Cutadapt_SE	DNeasy	NA	NA	0	NA
R²	Cutadapt_SE	QIAamp	NA	NA	0	NA
R²	Cutadapt_SE	Zymo	NA	NA	0	NA
Bray–Curtis	ITSx_PE	DNeasy	0.3993010104668103	0.0015745428861976098	4	7.872714430988049e-4
Bray–Curtis	ITSx_PE	QIAamp	0.41540259528884593	0.003046078145424384	4	0.001523039072712192
Bray–Curtis	ITSx_PE	Zymo	0.41396729922173325	0.008865094080467885	4	0.004432547040233942
Bray–Curtis	ITSx_SE	DNeasy	0.3992526031377749	0.0016721417749948609	4	8.360708874974304e-4
Bray–Curtis	ITSx_SE	QIAamp	0.4151508294609385	0.0032158185623385547	4	0.0016079092811692773
Bray–Curtis	ITSx_SE	Zymo	0.4138721429384358	0.008849840652411988	4	0.004424920326205994
Bray–Curtis	Cutadapt_PE	DNeasy	0.39991958692577523	8.647453017604098e-4	4	4.323726508802049e-4
Bray–Curtis	Cutadapt_PE	QIAamp	0.41658738985408816	0.0031460904729298644	4	0.0015730452364649322
Bray–Curtis	Cutadapt_PE	Zymo	0.415146247575676	0.00959007653790633	4	0.004795038268953165
Bray–Curtis	Cutadapt_SE	DNeasy	0.3998905577288269	0.0015327827574535895	4	7.663913787267948e-4
Bray–Curtis	Cutadapt_SE	QIAamp	0.41620430575303086	0.0029579847416632173	4	0.0014789923708316086
Bray–Curtis	Cutadapt_SE	Zymo	0.41588958907021123	0.009881895326316328	4	0.004940947663158164
Precision	ITSx_PE	DNeasy	1	0	4	0
Precision	ITSx_PE	QIAamp	1	0	4	0
Precision	ITSx_PE	Zymo	1	0	4	0
Precision	ITSx_SE	DNeasy	1	0	4	0
Precision	ITSx_SE	QIAamp	1	0	4	0
Precision	ITSx_SE	Zymo	1	0	4	0
Precision	Cutadapt_PE	DNeasy	1	0	4	0
Precision	Cutadapt_PE	QIAamp	1	0	4	0
Precision	Cutadapt_PE	Zymo	1	0	4	0
Precision	Cutadapt_SE	DNeasy	1	0	4	0
Precision	Cutadapt_SE	QIAamp	1	0	4	0
Precision	Cutadapt_SE	Zymo	1	0	4	0
Recall	ITSx_PE	DNeasy	0.9	0	4	0
Recall	ITSx_PE	QIAamp	0.95	0.05773502691896256	4	0.02886751345948128
Recall	ITSx_PE	Zymo	1	0	4	0
Recall	ITSx_SE	DNeasy	0.925	0.04999999999999999	4	0.024999999999999994
Recall	ITSx_SE	QIAamp	0.95	0.05773502691896256	4	0.02886751345948128
Recall	ITSx_SE	Zymo	1	0	4	0
Recall	Cutadapt_PE	DNeasy	0.9	0	4	0
Recall	Cutadapt_PE	QIAamp	0.95	0.05773502691896256	4	0.02886751345948128
Recall	Cutadapt_PE	Zymo	1	0	4	0
Recall	Cutadapt_SE	DNeasy	0.925	0.04999999999999999	4	0.024999999999999994
Recall	Cutadapt_SE	QIAamp	0.95	0.05773502691896256	4	0.02886751345948128
Recall	Cutadapt_SE	Zymo	1	0	4	0
FDR	ITSx_PE	DNeasy	0	0	4	0
FDR	ITSx_PE	QIAamp	0	0	4	0
FDR	ITSx_PE	Zymo	0	0	4	0
FDR	ITSx_SE	DNeasy	0	0	4	0
FDR	ITSx_SE	QIAamp	0	0	4	0
FDR	ITSx_SE	Zymo	0	0	4	0
FDR	Cutadapt_PE	DNeasy	0	0	4	0
FDR	Cutadapt_PE	QIAamp	0	0	4	0
FDR	Cutadapt_PE	Zymo	0	0	4	0
FDR	Cutadapt_SE	DNeasy	0	0	4	0
FDR	Cutadapt_SE	QIAamp	0	0	4	0
FDR	Cutadapt_SE	Zymo	0	0	4	0
