qacc	staxids	sacc	evalue	bitscore	qcovus	pident	length	TaxID	candidate_rank
00b0c1b2dd29f6dde895345a89eab2d4	900002	NR_171785	1.99e-19	83.3	73	77.273	110	900002	1
00b0c1b2dd29f6dde895345a89eab2d4	900008	NR_111475	3.5899999999999997e-16	72.5	55	83.58200000000001	67	900008	2
00b0c1b2dd29f6dde895345a89eab2d4	900006	NR_125332	1.25e-15	69.8	49	88.679	53	900006	3
00b0c1b2dd29f6dde895345a89eab2d4	900010	NR_130667	1.8600000000000002e-13	62.6	53	83.051	59	900010	4
00b0c1b2dd29f6dde895345a89eab2d4	900007	NR_130691	6.490000000000001e-13	61.7	42	86.275	51	900007	5
00ee2a2c090f05308822650762e66a5b	900007	NR_130691	2.48e-32	125.0	45	91.01100000000001	89	900007	1
00ee2a2c090f05308822650762e66a5b	900002	NR_171785	8.66e-32	123.0	43	90.90899999999999	88	900002	2
00ee2a2c090f05308822650762e66a5b	900001	NR_121481	3.02e-31	123.0	58	90.0	90	900001	3
00ee2a2c090f05308822650762e66a5b	900003	NR_144900	3.02e-31	123.0	52	90.0	90	900003	4
00ee2a2c090f05308822650762e66a5b	900009	NR_111007	1.0499999999999999e-30	121.0	51	89.88799999999999	89	900009	5
010b07e3b6da2a38547e45cd063dd63d	900010	NR_130667	8.979999999999999e-119	412.0	100	100.0	228	900010	1
010b07e3b6da2a38547e45cd063dd63d	900002	NR_171785	7.4e-25	100.0	84	71.795	195	900002	2
010b07e3b6da2a38547e45cd063dd63d	900008	NR_111475	2.42e-18	79.7	63	88.525	61	900008	3
010b07e3b6da2a38547e45cd063dd63d	900006	NR_125332	4.379999999999999e-15	68.0	44	91.48899999999999	47	900006	4
010b07e3b6da2a38547e45cd063dd63d	900007	NR_130691	5.33e-14	65.3	49	86.792	53	900007	5
01bb26a8a1751eb3c5b4b7ecb7e47993	900007	NR_130691	2.48e-32	125.0	63	91.01100000000001	89	900007	1
01bb26a8a1751eb3c5b4b7ecb7e47993	900002	NR_171785	8.66e-32	123.0	45	90.90899999999999	88	900002	2
01bb26a8a1751eb3c5b4b7ecb7e47993	900001	NR_121481	1.0499999999999999e-30	121.0	65	89.88799999999999	89	900001	3
01bb26a8a1751eb3c5b4b7ecb7e47993	900009	NR_111007	1.0499999999999999e-30	121.0	53	89.88799999999999	89	900009	4
01bb26a8a1751eb3c5b4b7ecb7e47993	900003	NR_144900	1.0499999999999999e-30	121.0	42	89.88799999999999	89	900003	5
031b9c6bdcad084cb3a095a0d198cebd	900009	NR_111007	6.66e-08	44.6	56	100.0	24	900009	1
031b9c6bdcad084cb3a095a0d198cebd	900007	NR_130691	6.66e-08	44.6	44	100.0	24	900007	2
031b9c6bdcad084cb3a095a0d198cebd	900010	NR_130667	6.66e-08	44.6	41	100.0	24	900010	3
031b9c6bdcad084cb3a095a0d198cebd	900001	NR_121481	6.66e-08	44.6	39	100.0	24	900001	4
031b9c6bdcad084cb3a095a0d198cebd	900004	NR_077145	6.66e-08	44.6	36	100.0	24	900004	5
034dd71309f0853471154f43bc02abd1	900001	NR_121481	9.89e-06	37.4	53	100.0	20	900001	1
034dd71309f0853471154f43bc02abd1	900005	NR_130690	9.89e-06	37.4	49	100.0	20	900005	2
034dd71309f0853471154f43bc02abd1	900004	NR_077145	9.89e-06	37.4	46	100.0	20	900004	3
034dd71309f0853471154f43bc02abd1	900003	NR_144900	9.89e-06	37.4	46	100.0	20	900003	4
034dd71309f0853471154f43bc02abd1	900009	NR_111007	9.89e-06	37.4	42	100.0	20	900009	5
04054fce3ae97d78e67d2d454985add2	900001	NR_121481	9.89e-06	37.4	56	100.0	20	900001	1
04054fce3ae97d78e67d2d454985add2	900004	NR_077145	9.89e-06	37.4	53	100.0	20	900004	2
04054fce3ae97d78e67d2d454985add2	900009	NR_111007	9.89e-06	37.4	48	100.0	20	900009	3
04054fce3ae97d78e67d2d454985add2	900003	NR_144900	9.89e-06	37.4	46	100.0	20	900003	4
04054fce3ae97d78e67d2d454985add2	900006	NR_125332	9.89e-06	37.4	38	100.0	20	900006	5
04afb5de4ef391d0ab8c50f4bfe0e962	900001	NR_121481	2.82e-06	39.2	45	100.0	21	900001	1
04afb5de4ef391d0ab8c50f4bfe0e962	900009	NR_111007	2.82e-06	39.2	43	100.0	21	900009	2
04afb5de4ef391d0ab8c50f4bfe0e962	900005	NR_130690	2.82e-06	39.2	41	100.0	21	900005	3
04afb5de4ef391d0ab8c50f4bfe0e962	900007	NR_130691	2.82e-06	39.2	40	100.0	21	900007	4
04afb5de4ef391d0ab8c50f4bfe0e962	900003	NR_144900	2.82e-06	39.2	36	100.0	21	900003	5
05697bc7833ce61e4a0e0ca5e59744b4	900002	NR_171785	5.690000000000001e-20	85.1	62	89.06200000000001	64	900002	1
05697bc7833ce61e4a0e0ca5e59744b4	900010	NR_130667	6.93e-19	81.5	69	89.06200000000001	64	900010	2
05697bc7833ce61e4a0e0ca5e59744b4	900008	NR_111475	1.03e-16	73.4	49	89.09100000000001	55	900008	3
05697bc7833ce61e4a0e0ca5e59744b4	900007	NR_130691	5.33e-14	65.3	54	86.792	53	900007	4
05697bc7833ce61e4a0e0ca5e59744b4	900009	NR_111007	6.490000000000001e-13	61.7	43	86.792	53	900009	5
05b496404be4e237c87028a88f649e1a	900001	NR_121481	0.00042	31.9	46	100.0	17	900001	1
05b496404be4e237c87028a88f649e1a	900007	NR_130691	0.00042	31.9	45	100.0	17	900007	2
05b496404be4e237c87028a88f649e1a	900004	NR_077145	0.00042	31.9	43	100.0	17	900004	3
05b496404be4e237c87028a88f649e1a	900009	NR_111007	0.00042	31.9	43	100.0	17	900009	4
05b496404be4e237c87028a88f649e1a	900003	NR_144900	0.00042	31.9	41	100.0	17	900003	5
0768181f519364a9439b4901c0812f7d	900007	NR_130691	2.48e-32	125.0	51	91.01100000000001	89	900007	1
0768181f519364a9439b4901c0812f7d	900002	NR_171785	8.66e-32	123.0	45	90.90899999999999	88	900002	2
0768181f519364a9439b4901c0812f7d	900003	NR_144900	1.0499999999999999e-30	121.0	65	89.88799999999999	89	900003	3
0768181f519364a9439b4901c0812f7d	900001	NR_121481	1.0499999999999999e-30	121.0	57	89.88799999999999	89	900001	4
0768181f519364a9439b4901c0812f7d	900009	NR_111007	1.0499999999999999e-30	121.0	40	89.88799999999999	89	900009	5
091b9ab07282fb2810730607e7c73a6b	900006	NR_125332	0.000127	31.9	76	100.0	17	900006	1
091b9ab07282fb2810730607e7c73a6b	900007	NR_130691	0.000127	31.9	48	100.0	17	900007	2
091b9ab07282fb2810730607e7c73a6b	900003	NR_144900	0.000127	31.9	44	100.0	17	900003	3
091b9ab07282fb2810730607e7c73a6b	900005	NR_130690	0.000127	31.9	39	100.0	17	900005	4
091b9ab07282fb2810730607e7c73a6b	900004	NR_077145	0.000127	31.9	31	100.0	17	900004	5
0ae1e837235a2579609ba6290feae7d9	900007	NR_130691	1.0499999999999999e-30	121.0	51	89.88799999999999	89	900007	1
0ae1e837235a2579609ba6290feae7d9	900002	NR_171785	3.68e-30	119.0	45	89.773	88	900002	2
0ae1e837235a2579609ba6290feae7d9	900003	NR_144900	1.2799999999999998e-29	116.0	65	88.764	89	900003	3
0ae1e837235a2579609ba6290feae7d9	900001	NR_121481	1.2799999999999998e-29	116.0	57	88.764	89	900001	4
0ae1e837235a2579609ba6290feae7d9	900009	NR_111007	1.2799999999999998e-29	116.0	42	88.764	89	900009	5
0b670ea5bad69a636e48836a55475086	900007	NR_130691	2.48e-32	125.0	47	91.01100000000001	89	900007	1
0b670ea5bad69a636e48836a55475086	900002	NR_171785	8.66e-32	123.0	40	90.90899999999999	88	900002	2
0b670ea5bad69a636e48836a55475086	900003	NR_144900	1.0499999999999999e-30	121.0	62	89.88799999999999	89	900003	3
0b670ea5bad69a636e48836a55475086	900001	NR_121481	1.0499999999999999e-30	121.0	55	89.88799999999999	89	900001	4
0b670ea5bad69a636e48836a55475086	900009	NR_111007	1.0499999999999999e-30	121.0	49	89.88799999999999	89	900009	5
0b9eb13a7db8bebd0a71d05bfce5f411	900002	NR_171785	5.67e-20	85.1	55	89.06200000000001	64	900002	1
0b9eb13a7db8bebd0a71d05bfce5f411	900010	NR_130667	6.9e-19	81.5	61	89.06200000000001	64	900010	2
0b9eb13a7db8bebd0a71d05bfce5f411	900008	NR_111475	1.02e-16	73.4	39	89.09100000000001	55	900008	3
0b9eb13a7db8bebd0a71d05bfce5f411	900007	NR_130691	5.31e-14	65.3	53	86.792	53	900007	4
0b9eb13a7db8bebd0a71d05bfce5f411	900009	NR_111007	6.459999999999999e-13	61.7	42	86.792	53	900009	5
0d2054ad18668ff06200cd375bad78fc	900010	NR_130667	1.9599999999999998e-19	82.4	59	90.0	60	900010	1
0d2054ad18668ff06200cd375bad78fc	900008	NR_111475	1.01e-16	73.4	59	86.667	60	900008	2
0d2054ad18668ff06200cd375bad78fc	900002	NR_171785	1.83e-13	63.5	55	84.211	57	900002	3
0d2054ad18668ff06200cd375bad78fc	900009	NR_111007	7.8e-12	57.2	58	84.906	53	900009	4
0d2054ad18668ff06200cd375bad78fc	900007	NR_130691	2.7199999999999997e-11	56.3	61	83.01899999999999	53	900007	5
0d2a77295862dea2a5fc3940be192278	900004	NR_077145	0.001	30.1	44	100.0	16	900004	1
0d2a77295862dea2a5fc3940be192278	900003	NR_144900	0.001	30.1	43	100.0	16	900003	2
0d2a77295862dea2a5fc3940be192278	900001	NR_121481	0.001	30.1	41	100.0	16	900001	3
0d2a77295862dea2a5fc3940be192278	900007	NR_130691	0.001	30.1	39	100.0	16	900007	4
0d2a77295862dea2a5fc3940be192278	900006	NR_125332	0.001	30.1	37	100.0	16	900006	5
0d3edc0897c2b3a22e9e71d741ee679e	900002	NR_171785	3.8399999999999995e-22	92.4	45	92.06299999999999	63	900002	1
0d3edc0897c2b3a22e9e71d741ee679e	900010	NR_130667	4.670000000000001e-21	88.7	56	92.06299999999999	63	900010	2
0d3edc0897c2b3a22e9e71d741ee679e	900008	NR_111475	2.42e-18	79.7	52	91.071	56	900008	3
0d3edc0897c2b3a22e9e71d741ee679e	900006	NR_125332	6.490000000000001e-13	61.7	37	86.275	51	900006	4
0d3edc0897c2b3a22e9e71d741ee679e	900007	NR_130691	6.490000000000001e-13	60.8	71	84.906	53	900007	5
0dc05c777d2a965f0a5d08d7b7a56458	900003	NR_144900	4.09e-28	112.0	62	93.421	76	900003	1
0dc05c777d2a965f0a5d08d7b7a56458	900001	NR_121481	1.74e-26	105.0	72	88.235	85	900001	2
0dc05c777d2a965f0a5d08d7b7a56458	900004	NR_077145	1.74e-26	105.0	60	88.235	85	900004	3
0dc05c777d2a965f0a5d08d7b7a56458	900007	NR_130691	1.1e-22	93.3	48	96.429	56	900007	4
0dc05c777d2a965f0a5d08d7b7a56458	900006	NR_125332	1.1e-22	93.3	64	84.27	89	900006	5
0e3a92d5368de742d7e37a8b3d7f4bfa	900003	NR_144900	6.829999999999999e-89	313.0	82	100.0	173	900003	1
0e3a92d5368de742d7e37a8b3d7f4bfa	900001	NR_121481	2.91e-68	244.0	100	92.814	167	900001	2
0e3a92d5368de742d7e37a8b3d7f4bfa	900004	NR_077145	2.2399999999999995e-63	228.0	100	91.617	167	900004	3
0e3a92d5368de742d7e37a8b3d7f4bfa	900007	NR_130691	1.41e-59	215.0	84	96.899	129	900007	4
0e3a92d5368de742d7e37a8b3d7f4bfa	900005	NR_130690	2.5499999999999995e-56	205.0	82	92.30799999999999	143	900005	5
0f360b09103c67271c91a7874e444b09	900002	NR_171785	3.15e-23	96.0	77	75.155	161	900002	1
0f360b09103c67271c91a7874e444b09	900008	NR_111475	4.379999999999999e-15	68.9	45	85.484	62	900008	2
0f360b09103c67271c91a7874e444b09	900007	NR_130691	1.53e-14	67.1	55	82.81200000000001	64	900007	3
0f360b09103c67271c91a7874e444b09	900006	NR_125332	5.33e-14	65.3	49	86.792	53	900006	4
0f360b09103c67271c91a7874e444b09	900010	NR_130667	5.33e-14	65.3	55	83.07700000000001	65	900010	5
0f3757bb9559984673430e50398b09b4	900004	NR_077145	7.4e-25	101.0	100	71.545	246	900004	1
0f3757bb9559984673430e50398b09b4	900005	NR_130690	3.15e-23	96.0	100	70.196	255	900005	2
0f3757bb9559984673430e50398b09b4	900003	NR_144900	1.1e-22	93.3	62	86.84200000000001	76	900003	3
0f3757bb9559984673430e50398b09b4	900001	NR_121481	5.690000000000001e-20	85.1	67	82.955	88	900001	4
0f3757bb9559984673430e50398b09b4	900007	NR_130691	2.95e-17	76.1	53	90.741	54	900007	5
0fa00e784c08052273ca73e81a15e062	900010	NR_130667	1.99e-19	83.3	43	89.23100000000001	65	900010	1
0fa00e784c08052273ca73e81a15e062	900002	NR_171785	2.95e-17	76.1	54	85.93799999999999	64	900002	2
0fa00e784c08052273ca73e81a15e062	900008	NR_111475	1.03e-16	73.4	53	87.09700000000001	62	900008	3
0fa00e784c08052273ca73e81a15e062	900007	NR_130691	1.8600000000000002e-13	62.6	48	81.25	64	900007	4
0fa00e784c08052273ca73e81a15e062	900009	NR_111007	2.27e-12	59.0	60	81.25	64	900009	5
0fb48a8ab7edb9fc5d7e0721fd6a71ed	900007	NR_130691	1.96e-06	39.2	53	100.0	21	900007	1
0fb48a8ab7edb9fc5d7e0721fd6a71ed	900009	NR_111007	1.96e-06	39.2	47	100.0	21	900009	2
0fb48a8ab7edb9fc5d7e0721fd6a71ed	900004	NR_077145	1.96e-06	39.2	42	100.0	21	900004	3
0fb48a8ab7edb9fc5d7e0721fd6a71ed	900001	NR_121481	1.96e-06	39.2	42	100.0	21	900001	4
0fb48a8ab7edb9fc5d7e0721fd6a71ed	900005	NR_130690	1.96e-06	39.2	41	100.0	21	900005	5
103944e65cf9b9d2dac28c3bd3fabb2e	900002	NR_171785	1.53e-14	67.1	57	82.81200000000001	64	900002	1
103944e65cf9b9d2dac28c3bd3fabb2e	900010	NR_130667	1.53e-14	67.1	71	75.758	99	900010	2
103944e65cf9b9d2dac28c3bd3fabb2e	900008	NR_111475	5.33e-14	64.4	55	83.87100000000001	62	900008	3
103944e65cf9b9d2dac28c3bd3fabb2e	900009	NR_111007	2.27e-12	59.0	66	81.25	64	900009	4
103944e65cf9b9d2dac28c3bd3fabb2e	900007	NR_130691	7.91e-12	58.1	56	79.688	64	900007	5
1081bb0a739150388231c3df65f909dc	900010	NR_130667	9.89e-06	38.3	50	95.652	23	900010	1
1081bb0a739150388231c3df65f909dc	900001	NR_121481	9.89e-06	38.3	44	95.652	23	900001	2
1081bb0a739150388231c3df65f909dc	900005	NR_130690	9.89e-06	38.3	44	95.652	23	900005	3
1081bb0a739150388231c3df65f909dc	900006	NR_125332	9.89e-06	38.3	39	95.652	23	900006	4
1081bb0a739150388231c3df65f909dc	900003	NR_144900	9.89e-06	38.3	39	95.652	23	900003	5
10bd3d3bd7cf83389aa23b472f7e1b02	900006	NR_125332	1.3399999999999998e-78	279.0	100	89.13	230	900006	1
10bd3d3bd7cf83389aa23b472f7e1b02	900007	NR_130691	4.99e-27	108.0	64	85.87	92	900007	2
10bd3d3bd7cf83389aa23b472f7e1b02	900009	NR_111007	5.690000000000001e-20	85.1	72	78.571	112	900009	3
10bd3d3bd7cf83389aa23b472f7e1b02	900003	NR_144900	5.690000000000001e-20	84.2	53	87.14299999999999	70	900003	4
10bd3d3bd7cf83389aa23b472f7e1b02	900001	NR_121481	1.99e-19	83.3	50	89.23100000000001	65	900001	5
11472a6b13e3d38e37aa6d6f3b131991	900003	NR_144900	7.48e-06	37.4	58	100.0	20	900003	1
11472a6b13e3d38e37aa6d6f3b131991	900007	NR_130691	7.48e-06	37.4	43	100.0	20	900007	2
11472a6b13e3d38e37aa6d6f3b131991	900004	NR_077145	7.48e-06	37.4	37	100.0	20	900004	3
