qacc	staxids	sacc	evalue	bitscore	qcovus	pident	length	TaxID	candidate_rank
00b0c1b2dd29f6dde895345a89eab2d4	900002	NR_171785	1.99e-19	83.3	73	77.273	110	900002	1
00ee2a2c090f05308822650762e66a5b	900007	NR_130691	2.48e-32	125.0	45	91.01100000000001	89	900007	1
010b07e3b6da2a38547e45cd063dd63d	900010	NR_130667	8.979999999999999e-119	412.0	100	100.0	228	900010	1
01bb26a8a1751eb3c5b4b7ecb7e47993	900007	NR_130691	2.48e-32	125.0	63	91.01100000000001	89	900007	1
031b9c6bdcad084cb3a095a0d198cebd	900009	NR_111007	6.66e-08	44.6	56	100.0	24	900009	1
034dd71309f0853471154f43bc02abd1	900001	NR_121481	9.89e-06	37.4	53	100.0	20	900001	1
04054fce3ae97d78e67d2d454985add2	900001	NR_121481	9.89e-06	37.4	56	100.0	20	900001	1
04afb5de4ef391d0ab8c50f4bfe0e962	900001	NR_121481	2.82e-06	39.2	45	100.0	21	900001	1
05697bc7833ce61e4a0e0ca5e59744b4	900002	NR_171785	5.690000000000001e-20	85.1	62	89.06200000000001	64	900002	1
05b496404be4e237c87028a88f649e1a	900001	NR_121481	0.00042	31.9	46	100.0	17	900001	1
0768181f519364a9439b4901c0812f7d	900007	NR_130691	2.48e-32	125.0	51	91.01100000000001	89	900007	1
091b9ab07282fb2810730607e7c73a6b	900006	NR_125332	0.000127	31.9	76	100.0	17	900006	1
0ae1e837235a2579609ba6290feae7d9	900007	NR_130691	1.0499999999999999e-30	121.0	51	89.88799999999999	89	900007	1
0b670ea5bad69a636e48836a55475086	900007	NR_130691	2.48e-32	125.0	47	91.01100000000001	89	900007	1
0b9eb13a7db8bebd0a71d05bfce5f411	900002	NR_171785	5.67e-20	85.1	55	89.06200000000001	64	900002	1
0d2054ad18668ff06200cd375bad78fc	900010	NR_130667	1.9599999999999998e-19	82.4	59	90.0	60	900010	1
0d2a77295862dea2a5fc3940be192278	900004	NR_077145	0.001	30.1	44	100.0	16	900004	1
0d3edc0897c2b3a22e9e71d741ee679e	900002	NR_171785	3.8399999999999995e-22	92.4	45	92.06299999999999	63	900002	1
0dc05c777d2a965f0a5d08d7b7a56458	900003	NR_144900	4.09e-28	112.0	62	93.421	76	900003	1
0e3a92d5368de742d7e37a8b3d7f4bfa	900003	NR_144900	6.829999999999999e-89	313.0	82	100.0	173	900003	1
0f360b09103c67271c91a7874e444b09	900002	NR_171785	3.15e-23	96.0	77	75.155	161	900002	1
0f3757bb9559984673430e50398b09b4	900004	NR_077145	7.4e-25	101.0	100	71.545	246	900004	1
0fa00e784c08052273ca73e81a15e062	900010	NR_130667	1.99e-19	83.3	43	89.23100000000001	65	900010	1
0fb48a8ab7edb9fc5d7e0721fd6a71ed	900007	NR_130691	1.96e-06	39.2	53	100.0	21	900007	1
103944e65cf9b9d2dac28c3bd3fabb2e	900002	NR_171785	1.53e-14	67.1	57	82.81200000000001	64	900002	1
1081bb0a739150388231c3df65f909dc	900010	NR_130667	9.89e-06	38.3	50	95.652	23	900010	1
10bd3d3bd7cf83389aa23b472f7e1b02	900006	NR_125332	1.3399999999999998e-78	279.0	100	89.13	230	900006	1
11472a6b13e3d38e37aa6d6f3b131991	900003	NR_144900	7.48e-06	37.4	58	100.0	20	900003	1
115c4ab3a2c4442ff28c495a79bd59ea	900002	NR_171785	5.690000000000001e-20	84.2	75	76.991	113	900002	1
117e36b53921c2986d9b3bf373166f23	900010	NR_130667	6.93e-19	80.6	50	92.59299999999999	54	900010	1
119831b712be8db7b70c0d6d950624da	900007	NR_130691	8.110000000000001e-26	104.0	56	86.20700000000001	87	900007	1
120b958eec2e26323850dffc01440286	900010	NR_130667	6.93e-19	80.6	55	87.87899999999999	66	900010	1
127a250c366f54f7a8ff08616edff9c2	900003	NR_144900	1.91e-06	37.4	87	100.0	20	900003	1
12cc799b99ed75d931516e3b1cc680ad	900010	NR_130667	4.670000000000001e-21	87.8	67	81.633	98	900010	1
1458c99c0a4aa2958f73d7262165066a	900004	NR_077145	1.1999999999999995e-156	539.0	100	99.66799999999999	301	900004	1
1498268fea63f9f27158b65ab52ae8ed	900002	NR_171785	2.42e-18	79.7	76	77.273	110	900002	1
14f563b611081c3d96a3656b7e727a14	900007	NR_130691	2.48e-32	125.0	51	91.01100000000001	89	900007	1
15341b177fd17d7c5a13510e07a8a807	900003	NR_144900	7.11e-14	65.3	50	73.387	124	900003	1
1540d97c8f1d072ae65b7a4c33585746	900004	NR_077145	2.12e-25	102.0	65	87.95200000000001	83	900004	1
158508c453d93903d315196a844918ef	900007	NR_130691	3.2200000000000003e-05	35.6	56	100.0	19	900007	1
16703d0a4083f43db27f62158cbd405a	900004	NR_077145	6.08e-26	104.0	59	88.095	84	900004	1
169e5e3b66682ea6eb26c477ce213b7c	900001	NR_121481	2.82e-06	39.2	46	100.0	21	900001	1
17952accf0a19bde02e3576f0b21a02f	900001	NR_121481	3.1e-23	95.1	64	85.714	84	900001	1
17fd2c848707f61d8529a69db689f25d	900002	NR_171785	6.93e-19	80.6	59	78.218	101	900002	1
188f2c973193c37c726eb3e8437e22d6	900010	NR_130667	1.53e-14	67.1	59	83.333	66	900010	1
194c5d7ddd16e9c0363bffc3aef8ceb8	900009	NR_111007	6.65e-06	37.4	55	100.0	20	900009	1
1a06f4d3b11bdcb6ad8457f0d779d84b	900008	NR_111475	6.93e-19	80.6	58	89.831	59	900008	1
1ad0453306a32c66b7332becae773259	900001	NR_121481	0.76	21.1	36	100.0	11	900001	1
1b0ea89e8460365693bf9a78cd7193ef	900010	NR_130667	0.16	22.9	52	69.643	56	900010	1
1b2e8a0293b43f376c41093828fde254	900002	NR_171785	9.629999999999999e-30	116.0	56	100.0	64	900002	1
1b7d4ee38520a8d71abb44031eecc577	900010	NR_130667	2.37e-06	39.2	58	100.0	21	900010	1
1c8aea5d6f2451aac5a804b66803af1e	900004	NR_077145	0.00016	30.1	86	100.0	16	900004	1
1c8bbb1b54f02065db91f0386a39e0ad	900007	NR_130691	1.04e-30	121.0	66	89.88799999999999	89	900007	1
1c99b355daab861d42ef02ad4aecd425	900009	NR_111007	2.13e-05	36.5	53	95.455	22	900009	1
1d1e47a562efc72e0e1a703adb1156bc	900007	NR_130691	8.66e-32	123.0	60	81.89	127	900007	1
1eb57cce3c3583ae58927522adab0277	900003	NR_144900	4.09e-28	112.0	65	93.421	76	900003	1
1f918dc743f502eb0290572adf274b34	900009	NR_111007	9.89e-06	37.4	45	100.0	20	900009	1
210606b4fff7f1b545874ba7442c65b1	900006	NR_125332	0.00011999999999999999	33.7	40	100.0	18	900006	1
21feee196968505b63639074b75a7d27	900007	NR_130691	2.1199999999999996e-44	165.0	70	91.12899999999999	124	900007	1
22381edf2faa88f0c0f8bece81941d9f	900002	NR_171785	4.670000000000001e-21	88.7	58	78.07	114	900002	1
224d56ff798feaccbf5f4ce5eaf3ded3	900002	NR_171785	1.34e-21	89.7	71	75.484	155	900002	1
23ce5b9dd49c380e94ec122f11c8077f	900007	NR_130691	2.48e-32	125.0	51	91.01100000000001	89	900007	1
240d740ef91d43f334788e266d661f7b	900002	NR_171785	1.99e-19	83.3	66	86.765	68	900002	1
247c8459db6ae8b1257380e69c42b883	900004	NR_077145	7.149999999999999e-62	223.0	90	100.0	123	900004	1
24b8daa5b10dcf42144074fc7fbfb3d6	900007	NR_130691	2.48e-32	125.0	62	91.01100000000001	89	900007	1
24d7b4411285b730ba3e4413dd9c2988	900002	NR_171785	4.670000000000001e-21	87.8	75	78.182	110	900002	1
25a303dbf5b2a6790682c1e63eb0bc86	900001	NR_121481	0.00042	31.9	53	100.0	17	900001	1
25d556970166dcb7050422023be88e22	900009	NR_111007	9.89e-06	37.4	53	100.0	20	900009	1
260b8bebae425ab1944a3e6b09292088	900003	NR_144900	9.89e-06	37.4	48	100.0	20	900003	1
26461f63a0aa3891866f330d837eb06e	900003	NR_144900	3.45e-05	35.6	50	100.0	19	900003	1
267cae1380db2b4584c9e1a67d952b7c	900009	NR_111007	6.629999999999999e-122	423.0	84	99.177	243	900009	1
26c2e693490c7955c44b198bdf3e0088	900009	NR_111007	9.62e-49	179.0	81	89.43700000000001	142	900009	1
26c3adb423a4d6b98b84d34fa5beca3f	900005	NR_130690	5.06e-06	38.3	58	84.848	33	900005	1
28545e23c1f29aea79e54c2490f42375	900002	NR_171785	1.4599999999999995e-155	535.0	98	100.0	296	900002	1
28b1e3694b1bcb9d577830df4fd6c876	900001	NR_121481	8.979999999999999e-119	412.0	100	100.0	228	900001	1
291a78fb09fc52eec65489c0f9391ea3	900009	NR_111007	0.00020800000000000001	31.9	61	100.0	17	900009	1
29555bd5b7d79e088911358e619af0af	900009	NR_111007	3.45e-05	36.5	53	95.455	22	900009	1
299858db667f2d7fa90d17f8f1e54be0	900009	NR_111007	0.005	28.3	45	100.0	15	900009	1
29d62dfd66a91504472270a3fc584aad	900009	NR_111007	1.0799999999999999e-105	369.0	85	98.148	216	900009	1
2a28786ae739c0770d1372c549046931	900004	NR_077145	2.0100000000000003e-23	93.3	100	100.0	51	900004	1
2abd97d819164ca22fea7fc261ffc6f7	900007	NR_130691	0.018000000000000002	26.5	45	100.0	14	900007	1
2b01ef55e239b98907664a9962dd835b	900009	NR_111007	2.82e-06	39.2	50	100.0	21	900009	1
2cd0dea7da04cbdb02a749d6ce0ce2a8	900009	NR_111007	4.14e-34	129.0	100	100.0	71	900009	1
2d5840001771d889fbe752a80463af2c	900009	NR_111007	6.07e-45	168.0	75	92.56200000000001	121	900009	1
2e39d48abc07a6ccc13a028ccde00e00	900005	NR_130690	3.8199999999999996e-117	407.0	100	99.561	228	900005	1
2e723fe0c70769428c06e39a8f19d9d8	900007	NR_130691	8.110000000000001e-26	104.0	55	86.20700000000001	87	900007	1
