ASV	raw_hit_count	strict_cutoff_pass_hit_count	retained_top_n_count	selection_status
0067abbe4f3ec2c8b1f93f21dab22215	182	182	5	candidate_available
013a0b22fa2570a9fca2281d979c43ce	165	165	5	candidate_available
01517fb3b2efbc8638ba652cff74ea45	244	244	5	candidate_available
01b9bca264d99ceaedcce67eeee0c285	169	169	5	candidate_available
01f7633d99821e693602dae45808d71c	144	144	5	candidate_available
02a08e7b3d2d977945313b9fb5d6cccc	260	260	5	candidate_available
02c332c3221a7fc18460f12ac0111d82	240	240	5	candidate_available
03adce78e88ff12a6e2bd982b4276941	309	309	5	candidate_available
03de5f5896c6815c01fb82e636a2d449	185	185	5	candidate_available
044c0abf07903b8b4131f54e35a7c56b	166	166	5	candidate_available
0579fae15ec314635f7bfd4b794ca07d	204	204	5	candidate_available
05a29d43e7926471622da8fb7de61e0d	285	285	5	candidate_available
05a56095084bcc3dde845c95ccb3f491	179	179	5	candidate_available
05bc9afc08b64748dca00ebba463b277	249	249	5	candidate_available
066d3a6a9990f7d9069cd4f072317dbe	151	151	5	candidate_available
0688c26b368b7fdfa3039ec0e57440b9	163	163	5	candidate_available
06dcdeaf8b7e48026a27971278d6783a	236	236	5	candidate_available
0752dc88c365db47a824bafc2310dd10	147	147	5	candidate_available
080d5100561ec2c06ed6b12f04e6765e	234	234	5	candidate_available
09d930f2ed87b3557b31fac73c4ec6ac	273	273	5	candidate_available
09de61d81017f4d844ceb66d071f6718	179	179	5	candidate_available
0a135d06258a4917295be19c2f72f676	178	178	5	candidate_available
0a830187c3805daf0287eb3179767638	239	239	5	candidate_available
0b62be82e1459c48fa9aa6a73f45136b	200	200	5	candidate_available
0e00ccfc8a7aac1541f7536f41bc8369	192	192	5	candidate_available
0e6108700c9a01c0be9929564a203813	191	191	5	candidate_available
0ea5c361d3337b625fb478ae11fb59bb	237	237	5	candidate_available
0f2841458644573d5efdd928ad1b992f	261	261	5	candidate_available
1062b08fe389426eacd44013d0f1f831	229	229	5	candidate_available
10eca292eb84a97e234c6e330e288bdd	171	171	5	candidate_available
