ASV	staxids	BLAST_Accession	BLAST_Evalue	BLAST_Bitscore	BLAST_Qcovus	BLAST_Pident	BLAST_AlignmentLength	BLAST_TaxID	BLAST_CandidateRank	BLAST_Kingdom	BLAST_Phylum	BLAST_Class	BLAST_Order	BLAST_Family	BLAST_Genus	BLAST_Species	selection_status
0191681120840e940a5629f6f9c23e63	900007	NR_130691	1.5	20.2	46	76.667	30	900007	1	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	candidate_available
0191681120840e940a5629f6f9c23e63	900003	NR_144900	1.5	19.3	37	100.0	10	900003	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton_interdigitale	candidate_available
0191681120840e940a5629f6f9c23e63	900007	NR_130691	5.1	17.5	46	100.0	9	900007	3	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	candidate_available
0191681120840e940a5629f6f9c23e63	900009	NR_111007	5.1	17.5	42	100.0	9	900009	4	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	candidate_available
0191681120840e940a5629f6f9c23e63	900001	NR_121481	5.1	17.5	42	100.0	9	900001	5	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	candidate_available
026c5263ced8f41669b14f7ee3ab05a6	900001	NR_121481	0.000725	31.0	37	88.462	26	900001	1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	candidate_available
026c5263ced8f41669b14f7ee3ab05a6	900004	NR_077145	0.000725	31.0	35	88.462	26	900004	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	candidate_available
026c5263ced8f41669b14f7ee3ab05a6	900003	NR_144900	0.031	24.7	43	84.0	25	900003	3	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton_interdigitale	candidate_available
026c5263ced8f41669b14f7ee3ab05a6	900005	NR_130690	0.11	22.9	42	100.0	12	900005	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_keratoplasticum	candidate_available
026c5263ced8f41669b14f7ee3ab05a6	900002	NR_171785	0.11	22.9	43	88.235	17	900002	5	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
040c1e07de80d76e56f1d8b0b573ca34	900001	NR_121481	0.009000000000000001	26.5	54	84.615	26	900001	1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	candidate_available
040c1e07de80d76e56f1d8b0b573ca34	900004	NR_077145	0.009000000000000001	26.5	37	84.615	26	900004	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	candidate_available
040c1e07de80d76e56f1d8b0b573ca34	900005	NR_130690	1.3	20.2	49	92.308	13	900005	3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_keratoplasticum	candidate_available
040c1e07de80d76e56f1d8b0b573ca34	900002	NR_171785	1.3	20.2	58	83.333	18	900002	4	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
040c1e07de80d76e56f1d8b0b573ca34	900003	NR_144900	1.3	20.2	49	80.0	25	900003	5	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton_interdigitale	candidate_available
04a58f1fa63710803570b8b5e2d3733e	900001	NR_121481	1.7e-05	36.5	61	82.927	41	900001	1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	candidate_available
04a58f1fa63710803570b8b5e2d3733e	900004	NR_077145	0.000208	32.8	49	88.889	27	900004	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	candidate_available
04a58f1fa63710803570b8b5e2d3733e	900003	NR_144900	0.000208	32.8	61	78.26100000000002	46	900003	3	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton_interdigitale	candidate_available
04a58f1fa63710803570b8b5e2d3733e	900004	NR_077145	0.38	21.1	49	87.5	16	900004	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	candidate_available
04a58f1fa63710803570b8b5e2d3733e	900009	NR_111007	1.3	20.2	51	92.308	13	900009	5	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	candidate_available
05d6255f92dbd4b2b793b809c524de21	900010	NR_130667	0.42	22.0	45	85.714	21	900010	1	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	candidate_available
05d6255f92dbd4b2b793b809c524de21	900008	NR_111475	0.42	21.1	38	100.0	11	900008	2	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	candidate_available
05d6255f92dbd4b2b793b809c524de21	900003	NR_144900	1.5	19.3	46	100.0	10	900003	3	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton_interdigitale	candidate_available
05d6255f92dbd4b2b793b809c524de21	900003	NR_144900	5.1	17.5	46	100.0	9	900003	4	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton_interdigitale	candidate_available
05d6255f92dbd4b2b793b809c524de21	900008	NR_111475	5.1	17.5	38	100.0	9	900008	5	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	candidate_available
05dcbd64ea8517b09449bf3ddd4a83dd	900008	NR_111475	0.035	25.6	53	85.714	21	900008	1	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	candidate_available
05dcbd64ea8517b09449bf3ddd4a83dd	900002	NR_171785	0.42	22.0	54	92.857	14	900002	2	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
05dcbd64ea8517b09449bf3ddd4a83dd	900008	NR_111475	0.42	22.0	53	79.167	24	900008	3	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	candidate_available
05dcbd64ea8517b09449bf3ddd4a83dd	900002	NR_171785	1.5	20.2	54	92.308	13	900002	4	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
05dcbd64ea8517b09449bf3ddd4a83dd	900010	NR_130667	1.5	19.3	48	100.0	10	900010	5	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	candidate_available
061f5ddd4c902be6adec1f0e62e8f2f4	900010	NR_130667	0.035	24.7	31	100.0	13	900010	1	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	candidate_available
061f5ddd4c902be6adec1f0e62e8f2f4	900007	NR_130691	1.5	20.2	45	92.308	13	900007	2	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	candidate_available
061f5ddd4c902be6adec1f0e62e8f2f4	900010	NR_130667	1.5	20.2	31	92.308	13	900010	3	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	candidate_available
061f5ddd4c902be6adec1f0e62e8f2f4	900002	NR_171785	1.5	19.3	40	100.0	10	900002	4	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
061f5ddd4c902be6adec1f0e62e8f2f4	900007	NR_130691	5.2	17.5	45	100.0	9	900007	5	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	candidate_available
06a0c0a16a03d41b0e21de876ccd4a1a	900002	NR_171785	0.035	24.7	50	82.609	23	900002	1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
06a0c0a16a03d41b0e21de876ccd4a1a	900002	NR_171785	0.42	22.0	50	84.211	19	900002	2	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
06a0c0a16a03d41b0e21de876ccd4a1a	900009	NR_111007	0.42	21.1	61	100.0	11	900009	3	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	candidate_available
